# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
807.78587 0.033853 0.019857 0.289237 -0.035185 -0.024038 0.998655 0.029528 0.0000209167 0.0000035570 -0.0000383730 0.0000229435 -0.0000285370 0.0006140323 0.0025285007 -0.0000021987 0.0000039077 0.0025307320 0.0000181639 0.0026313722
807.81941 0.041146 0.022366 0.318187 -0.040430 -0.023482 0.998411 0.031447 0.0000208073 0.0000047593 -0.0000428080 0.0000216504 -0.0000290144 0.0006198305 0.0025266896 -0.0000023552 0.0000044173 0.0025297299 0.0000183022 0.0026375494
807.85242 0.047913 0.023843 0.344515 -0.045543 -0.023120 0.997977 0.037848 0.0000164381 0.0000049845 -0.0000401501 0.0000145586 -0.0000205259 0.0004911910 0.0025249405 -0.0000019654 0.0000039371 0.0025270759 0.0000160785 0.0026306193
807.88533 0.057255 0.025397 0.372057 -0.052585 -0.021601 0.997602 0.039487 0.0000144644 0.0000038510 -0.0000427695 0.0000126221 -0.0000161454 0.0004451402 0.0025251120 -0.0000013682 0.0000053751 0.0025265643 0.0000147822 0.0026272794
807.91864 0.068704 0.025362 0.395789 -0.060992 -0.020173 0.996914 0.045120 0.0000146174 0.0000037160 -0.0000474428 0.0000121263 -0.0000153992 0.0004268282 0.0025259156 -0.0000011167 0.0000077465 0.0025270053 0.0000126848 0.0026252709
807.95149 0.081556 0.025966 0.421548 -0.071291 -0.019640 0.996079 0.048558 0.0000152760 0.0000033896 -0.0000549938 0.0000117471 -0.0000155037 0.0004236782 0.0025269190 -0.0000009071 0.0000103238 0.0025282651 0.0000108213 0.0026201351
807.98454 0.095577 0.025690 0.441660 -0.080110 -0.018782 0.995231 0.052394 0.0000166838 0.0000032265 -0.0000617395 0.0000115008 -0.0000153986 0.0004179084 0.0025281672 -0.0000009035 0.0000124507 0.0025298771 0.0000091162 0.0026148652
808.05075 0.125041 0.023367 0.476392 -0.094772 -0.016486 0.993541 0.060190 0.0000199166 0.0000031620 -0.0000727139 0.0000110961 -0.0000146332 0.0004059586 0.0025308213 -0.0000010269 0.0000167213 0.0025340007 0.0000070953 0.0026114752
808.08391 0.141852 0.021624 0.491766 -0.101711 -0.015040 0.992666 0.063584 0.0000218979 0.0000033709 -0.0000782213 0.0000108078 -0.0000148563 0.0004018445 0.0025315219 -0.0000012068 0.0000176026 0.0025360563 0.0000055874 0.0026067279
808.11701 0.157962 0.019752 0.505524 -0.107985 -0.012917 0.991847 0.066428 0.0000237870 0.0000033821 -0.0000826423 0.0000107178 -0.0000137166 0.0003991495 0.0025327973 -0.0000014867 0.0000185166 0.0025388580 0.0000045585 0.0026037141
808.15020 0.175030 0.016518 0.520046 -0.113691 -0.010269 0.991015 0.069703 0.0000258480 0.0000032744 -0.0000869312 0.0000105682 -0.0000121993 0.0003966110 0.0025340031 -0.0000017209 0.0000192092 0.0025419987 0.0000033502 0.0026014791
