# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1540821366.99972 -0.009426 0.001525 0.061686 -0.040836 0.036086 -0.724378 0.687246 0.0010644298 0.0000783290 0.0000307564 0.0010533639 0.0001439855 0.0000729219 0.0005951341 0.0009167693 -0.0004862304 0.0019570010 -0.0003892702 0.0029829139
1540821367.03481 -0.011383 0.001305 0.076201 -0.040366 0.033359 -0.726757 0.684896 0.0010277085 0.0000756008 0.0000262567 0.0010541276 0.0001374725 0.0000713076 0.0002322518 0.0003228514 -0.0005438254 0.0012063321 -0.0002481028 0.0035030983
1540821367.06863 -0.011633 0.001852 0.086831 -0.040648 0.029746 -0.729149 0.682499 0.0010082403 0.0000764038 0.0000204202 0.0010508607 0.0001314166 0.0000699799 0.0002325384 0.0002663734 -0.0006288429 0.0011314709 -0.0001864515 0.0038894484
1540821367.10174 -0.013207 0.003078 0.102411 -0.041119 0.025819 -0.730888 0.680768 0.0010078546 0.0000784490 0.0000147323 0.0010481570 0.0001263106 0.0000690249 0.0002790306 0.0001858996 -0.0008029086 0.0007941469 -0.0000005731 0.0046285415
1540821367.13499 -0.013687 0.001817 0.113907 -0.041260 0.023245 -0.731273 0.680439 0.0010087295 0.0000790480 0.0000109453 0.0010506311 0.0001227981 0.0000685180 0.0003885230 0.0002231610 -0.0010798824 0.0010496804 0.0000590505 0.0056101641
1540821367.16817 -0.013603 -0.000035 0.124608 -0.039934 0.022101 -0.731592 0.680213 0.0010096505 0.0000791146 0.0000113140 0.0010531642 0.0001195190 0.0000681493 0.0005443007 0.0002709870 -0.0014220433 0.0014088585 0.0001437065 0.0067110243
1540821367.20126 -0.013766 -0.002495 0.134761 -0.039052 0.022294 -0.732308 0.679488 0.0010104340 0.0000789483 0.0000129219 0.0010553817 0.0001188943 0.0000684688 0.0007618243 0.0003337205 -0.0018357175 0.0019062268 0.0002562390 0.0079308496
1540821367.23444 -0.014517 -0.005402 0.144474 -0.039112 0.023251 -0.733491 0.678174 0.0010110726 0.0000787059 0.0000143044 0.0010573866 0.0001206672 0.0000693963 0.0010587973 0.0004166834 -0.0023300545 0.0025836908 0.0004009810 0.0092781586
1540821367.26818 -0.017035 -0.006530 0.156909 -0.040963 0.024160 -0.734606 0.676825 0.0009914521 0.0000721634 0.0000126115 0.0010425954 0.0001229996 0.0000707322 0.0002627121 -0.0000142036 -0.0008032358 0.0027943279 0.0013858450 0.0066417354
1540821367.30136 -0.018443 -0.010362 0.165694 -0.044077 0.025155 -0.734642 0.676554 0.0009928647 0.0000726046 0.0000102851 0.0010434822 0.0001279810 0.0000725630 0.0003000403 -0.0000713576 -0.0008991637 0.0037233397 0.0018359531 0.0075954070
1540821367.33440 -0.019317 -0.014183 0.172733 -0.044164 0.025948 -0.734555 0.676613 0.0009943565 0.0000725840 0.0000117263 0.0010453350 0.0001294156 0.0000735236 0.0003448806 -0.0001386213 -0.0009983532 0.0048895955 0.0023624723 0.0086125149
1540821367.36758 -0.019824 -0.018228 0.178236 -0.041433 0.026971 -0.735059 0.676199 0.0009956076 0.0000719518 0.0000169453 0.0010484108 0.0001278308 0.0000737618 0.0004020166 -0.0002167931 -0.0011016698 0.0063630474 0.0029820878 0.0097158141
1540821367.40079 -0.020314 -0.022874 0.182825 -0.038155 0.027778 -0.736558 0.674726 0.0009964451 0.0000711140 0.0000223584 0.0010522837 0.0001253458 0.0000738657 0.0004747393 -0.0003052559 -0.0012083347 0.0081951585 0.0037026284 0.0109066425
1540821367.43462 -0.021874 -0.011147 0.180273 -0.034771 0.028481 -0.739501 0.671654 0.0009864590 0.0000724660 0.0000282764 0.0010234305 0.0001196444 0.0000737818 0.0002241620 0.0003671225 -0.0002271646 0.0030303943 0.0009322913 0.0039006893
1540821367.46819 -0.023394 -0.020142 0.180292 -0.032227 0.029854 -0.743676 0.667095 0.0009838948 0.0000685122 0.0000310319 0.0010169352 0.0001170366 0.0000741049 0.0002038223 0.0002459374 -0.0001909849 0.0015327023 0.0001189147 0.0022045686
1540821367.50141 -0.024866 -0.025121 0.183759 -0.031193 0.029960 -0.747843 0.662465 0.0009838176 0.0000678718 0.0000324423 0.0010217653 0.0001164712 0.0000747307 0.0002104027 0.0002718036 -0.0001820242 0.0017554303 0.0001743666 0.0022926561
1540821367.53450 -0.025753 -0.031053 0.187755 -0.032707 0.028791 -0.751140 0.658703 0.0009844669 0.0000679022 0.0000287679 0.0010259982 0.0001169711 0.0000753833 0.0002208271 0.0003043030 -0.0001702024 0.0020231105 0.0002375856 0.0023799461
1540821367.56767 -0.025199 -0.038637 0.192604 -0.037461 0.025342 -0.752665 0.656849 0.0009861927 0.0000690362 0.0000183637 0.0010295187 0.0001175182 0.0000759221 0.0002339377 0.0003449808 -0.0001553451 0.0023457979 0.0003123360 0.0024671383
1540821367.60028 -0.027408 -0.072224 0.177511 -0.042526 0.021491 -0.753065 0.656219 0.0009856650 0.0000703759 0.0000058309 0.0010223958 0.0001184033 0.0000767202 0.0002235849 0.0002001983 -0.0002317962 0.0012398746 -0.0001633767 0.0018017715
1540821367.63270 -0.025532 -0.070971 0.172342 -0.046872 0.017803 -0.753932 0.655036 0.0009864493 0.0000723885 -0.0000018415 0.0010233395 0.0001178380 0.0000774067 0.0002184816 0.0001886828 -0.0002345916 0.0011494001 -0.0000945563 0.0017289903
1540821367.66654 -0.023200 -0.084634 0.176238 -0.048213 0.016325 -0.755715 0.652920 0.0009857168 0.0000738763 -0.0000080656 0.0010242315 0.0001165108 0.0000778027 0.0001993618 0.0001731728 -0.0001929085 0.0011274200 -0.0000423579 0.0015414269
1540821367.69971 -0.021556 -0.097500 0.177390 -0.047501 0.015590 -0.757746 0.650632 0.0009868337 0.0000737516 -0.0000076734 0.0010289428 0.0001149061 0.0000782399 0.0002038385 0.0001674543 -0.0001944681 0.0011579270 -0.0000425674 0.0015301193
1540821367.73310 -0.019843 -0.111978 0.179766 -0.046622 0.013934 -0.758599 0.649738 0.0009810096 0.0000744042 -0.0000103104 0.0010330435 0.0001120097 0.0000776198 0.0001957147 0.0001777610 -0.0001836711 0.0011415495 -0.0000511634 0.0014972287
1540821367.76627 -0.016650 -0.124906 0.180376 -0.044477 0.011911 -0.758545 0.649992 0.0009826919 0.0000746101 -0.0000099747 0.0010378242 0.0001065452 0.0000771954 0.0001995980 0.0001742867 -0.0001834434 0.0011725750 -0.0000532963 0.0014791165
1540821367.79958 -0.013636 -0.137207 0.180668 -0.041480 0.010342 -0.758625 0.650123 0.0009843797 0.0000745690 -0.0000077163 0.0010427852 0.0001009486 0.0000767654 0.0002037260 0.0001708391 -0.0001832652 0.0012097833 -0.0000555844 0.0014589905
1540821367.83302 -0.012481 -0.146425 0.179788 -0.042562 0.006968 -0.759392 0.649202 0.0009846115 0.0000770303 -0.0000101844 0.0010276262 0.0000961275 0.0000768324 0.0001989136 0.0001685574 -0.0001624766 0.0011911944 -0.0000300803 0.0013460245
1540821367.86631 -0.010397 -0.155985 0.179463 -0.045264 0.003101 -0.760781 0.647421 0.0009839343 0.0000787145 -0.0000206465 0.0010223152 0.0000921549 0.0000775331 0.0001981186 0.0001613261 -0.0001505737 0.0011911187 -0.0000119133 0.0012828997
