# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1405.11265 0.030300 0.023942 0.199480 -0.055929 -0.011847 0.998331 0.008118 0.0002089516 0.0000517819 -0.0000726859 0.0001922653 -0.0000125836 0.0009343134 0.0041914632 -0.0016340484 0.0000586970 0.0047073374 -0.0000031021 0.0028217315
1405.14965 0.040710 0.021473 0.224824 -0.066389 -0.010706 0.997705 0.007915 0.0001026578 -0.0000019614 -0.0000686175 0.0000936065 -0.0000018425 0.0008078943 0.0026530798 -0.0000248680 -0.0000015423 0.0026857462 0.0000034532 0.0027569286
1405.18249 0.047377 0.022012 0.251230 -0.077245 -0.007398 0.996957 0.007470 0.0000646130 -0.0000023614 -0.0000669972 0.0000598097 -0.0000064745 0.0006530167 0.0025823715 -0.0000182699 -0.0000223251 0.0026044768 0.0000072256 0.0027224340
1405.21565 0.054867 0.020364 0.275278 -0.087852 -0.002696 0.996105 0.007092 0.0000507105 -0.0000031430 -0.0000732082 0.0000452835 -0.0000026122 0.0005840505 0.0025567912 -0.0000118593 -0.0000172079 0.0025725665 0.0000134543 0.0027107266
1405.25043 0.061775 0.021789 0.304067 -0.098610 0.001095 0.995110 0.005621 0.0000416945 -0.0000028826 -0.0000795118 0.0000304539 0.0000037789 0.0005083677 0.0025389602 -0.0000061623 -0.0000055146 0.0025528118 0.0000151865 0.0026767329
1405.28392 0.073247 0.022098 0.329081 -0.112480 0.003045 0.993633 0.005670 0.0000459227 -0.0000036978 -0.0000898032 0.0000297609 0.0000062132 0.0004997090 0.0025354556 -0.0000055424 -0.0000016907 0.0025490206 0.0000156976 0.0026793388
1405.31729 0.084577 0.021828 0.352161 -0.124082 0.005707 0.992243 0.004958 0.0000464374 -0.0000035960 -0.0001023939 0.0000235425 0.0000051717 0.0004731793 0.0025316162 -0.0000040201 0.0000036094 0.0025442873 0.0000163132 0.0026658495
1405.35037 0.096467 0.022047 0.374277 -0.133453 0.006729 0.991022 0.004506 0.0000462690 -0.0000031525 -0.0001090519 0.0000192393 0.0000098447 0.0004504620 0.0025305065 -0.0000033565 0.0000056638 0.0025412209 0.0000161564 0.0026521366
1405.38320 0.109620 0.021159 0.392639 -0.142296 0.007197 0.989793 0.003230 0.0000447095 -0.0000015356 -0.0001137399 0.0000143283 0.0000084682 0.0004308008 0.0025301787 -0.0000024703 0.0000066698 0.0025391693 0.0000138067 0.0026351202
1405.41599 0.123859 0.019808 0.408825 -0.150791 0.007527 0.988537 0.000773 0.0000468430 -0.0000011000 -0.0001188970 0.0000134283 0.0000080543 0.0004214166 0.0025305319 -0.0000019567 0.0000076506 0.0025398072 0.0000116445 0.0026274370
1405.44898 0.138619 0.018529 0.425246 0.158290 -0.007560 -0.987363 0.000854 0.0000493848 -0.0000012579 -0.0001245166 0.0000133216 0.0000089519 0.0004144269 0.0025312899 -0.0000015303 0.0000096732 0.0025415389 0.0000097367 0.0026242408
1405.48219 0.153789 0.016480 0.439631 0.166845 -0.007383 -0.985951 0.002934 0.0000527695 -0.0000013534 -0.0001315747 0.0000134326 0.0000091261 0.0004082258 0.0025323623 -0.0000012297 0.0000122154 0.0025441102 0.0000081156 0.0026224885
1405.51553 0.168821 0.013672 0.452252 0.175957 -0.007166 -0.984361 0.004533 0.0000571443 -0.0000015339 -0.0001387880 0.0000136179 0.0000094985 0.0004015464 0.0025334612 -0.0000009778 0.0000147228 0.0025470145 0.0000071590 0.0026201772
1405.54863 0.183999 0.009834 0.460850 0.186007 -0.007341 -0.982504 0.005851 0.0000622498 -0.0000015020 -0.0001454677 0.0000135590 0.0000091349 0.0003947536 0.0025347250 -0.0000006874 0.0000167163 0.0025500892 0.0000062225 0.0026152004
