# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1540821371.34385 -0.050636 0.008996 0.060316 0.033544 -0.072164 0.995939 0.042109 0.0018402065 -0.0011298846 -0.0002554967 0.0037052832 0.0009492668 0.0012452045 0.0669528673 0.0048643562 0.0065880109 0.0024572334 0.0005609922 0.0029308533
1540821371.37650 -0.027165 0.005837 0.066526 0.033265 -0.079844 0.995415 0.040835 0.0018024330 -0.0011201396 -0.0002644219 0.0036870456 0.0009790771 0.0012747363 0.0367705897 0.0071790831 0.0021290854 0.0024568575 0.0010505737 0.0025072089
1540821371.40967 -0.031396 0.005249 0.067993 0.033604 -0.086469 0.994903 0.039531 0.0018020099 -0.0011118942 -0.0002782160 0.0036668350 0.0010194299 0.0013137391 0.0391968928 0.0076507509 0.0024579907 0.0026835439 0.0013492546 0.0032870354
1540821371.44368 -0.036850 0.006096 0.081592 0.033409 -0.093007 0.994382 0.037933 0.0017586927 -0.0010714383 -0.0002781439 0.0036286179 0.0010422232 0.0013436602 0.0376203118 0.0066814566 0.0009349287 0.0021820747 0.0004346796 0.0014967231
1540821371.47645 -0.044848 0.006439 0.082611 0.033350 -0.096317 0.994116 0.036658 0.0017195176 -0.0010529886 -0.0002763188 0.0036142185 0.0010595394 0.0013687669 0.0393635200 0.0071409898 0.0014915054 0.0022102548 0.0002971706 0.0008827787
1540821371.50962 -0.049963 0.003677 0.073190 0.032113 -0.095096 0.994315 0.035540 0.0017242495 -0.0010551268 -0.0002680270 0.0036311488 0.0010518760 0.0013700050 0.0418035960 0.0075003909 0.0016932237 0.0023204265 0.0003125691 0.0010127163
1540821371.54242 -0.048514 0.002564 0.056906 0.032712 -0.086629 0.995071 0.035487 0.0016768586 -0.0009975943 -0.0002246539 0.0035065875 0.0009596204 0.0013279133 0.0379296170 0.0073215962 0.0021645278 0.0023500647 0.0004337157 0.0010226004
1540821371.57559 -0.051587 -0.001718 0.040311 0.030548 -0.076463 0.996001 0.034684 0.0016877516 -0.0010069343 -0.0002000514 0.0035552070 0.0009097505 0.0012948625 0.0395745838 0.0076640023 0.0024707276 0.0024887628 0.0004925016 0.0011565875
1540821371.60908 -0.048363 -0.005299 0.021693 0.029086 -0.064199 0.996953 0.033412 0.0016506458 -0.0009677875 -0.0001593292 0.0035579514 0.0008403243 0.0012590679 0.0384721912 0.0070515497 0.0026021091 0.0023299436 0.0004888390 0.0012323718
1540821371.64207 -0.048639 -0.011495 0.002635 0.027423 -0.052131 0.997759 0.031745 0.0016509021 -0.0009671356 -0.0001281202 0.0036065350 0.0007793125 0.0012284267 0.0400104370 0.0071191641 0.0029065440 0.0023695995 0.0005168414 0.0013725294
