# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
935.34801 0.065404 0.013956 0.289545 -0.047331 -0.043461 0.996426 0.054826 0.0000423005 0.0000092263 -0.0000307637 0.0000632028 -0.0000448784 0.0006615684 0.0025848216 -0.0000148882 0.0000337330 0.0025567442 0.0000204948 0.0028467897
935.38106 0.072923 0.012359 0.311067 -0.050185 -0.047955 0.996059 0.055214 0.0000388889 0.0000104996 -0.0000343657 0.0000570571 -0.0000506288 0.0006667915 0.0025735376 -0.0000104027 0.0000437554 0.0025512453 0.0000244620 0.0028629551
935.41377 0.080991 0.009266 0.333263 -0.053747 -0.049590 0.995802 0.055057 0.0000373500 0.0000086463 -0.0000334580 0.0000460110 -0.0000461540 0.0006220298 0.0025625246 -0.0000049609 0.0000528443 0.0025458394 0.0000256734 0.0028823390
935.44691 0.087425 0.006509 0.353371 -0.056643 -0.050051 0.995589 0.055584 0.0000334099 0.0000080136 -0.0000394122 0.0000410214 -0.0000551571 0.0006160033 0.0025545370 -0.0000015617 0.0000561500 0.0025437042 0.0000286786 0.0028975762
935.48021 0.094447 0.004106 0.373606 -0.060226 -0.048849 0.995385 0.056521 0.0000302384 0.0000093335 -0.0000476750 0.0000363424 -0.0000575077 0.0006179213 0.0025513899 0.0000000368 0.0000625312 0.0025436525 0.0000288893 0.0029162363
935.51333 0.102504 0.001854 0.391201 -0.066115 -0.046688 0.995001 0.058499 0.0000305802 0.0000106156 -0.0000570959 0.0000340864 -0.0000545862 0.0006190990 0.0025517726 0.0000007856 0.0000720196 0.0025446105 0.0000267152 0.0029440679
935.54665 0.111137 -0.000707 0.407298 -0.072714 -0.043485 0.994541 0.060902 0.0000317868 0.0000108791 -0.0000655849 0.0000316880 -0.0000537769 0.0006240894 0.0025534263 0.0000012137 0.0000826241 0.0025464934 0.0000241519 0.0029751846
935.58010 0.120652 -0.004064 0.422167 -0.080099 -0.040260 0.993916 0.063993 0.0000314393 0.0000110907 -0.0000805791 0.0000296013 -0.0000509760 0.0006224328 0.0025564730 0.0000011699 0.0000938832 0.0025487914 0.0000205330 0.0030065300
935.61328 0.131100 -0.007258 0.435561 -0.088086 -0.036061 0.993276 0.065909 0.0000348840 0.0000116248 -0.0000902062 0.0000299108 -0.0000475078 0.0006283376 0.0025609152 0.0000011621 0.0001064603 0.0025521274 0.0000165613 0.0030392211
935.64646 0.142222 -0.011458 0.447658 -0.096791 -0.032552 0.992357 0.069273 0.0000359972 0.0000122436 -0.0001031772 0.0000303029 -0.0000434028 0.0006335589 0.0025663301 0.0000007471 0.0001195963 0.0025557100 0.0000118176 0.0030689448
935.67956 0.154003 -0.015759 0.458807 -0.105663 -0.028286 0.991343 0.072622 0.0000377976 0.0000131673 -0.0001170485 0.0000308077 -0.0000396559 0.0006379719 0.0025727227 0.0000001199 0.0001325047 0.0025592267 0.0000065806 0.0030901389
935.71279 0.166613 -0.020696 0.471350 -0.114074 -0.023602 0.990222 0.076752 0.0000423911 0.0000132202 -0.0001289596 0.0000316662 -0.0000349899 0.0006425811 0.0025804410 -0.0000010356 0.0001464391 0.0025640303 -0.0000009336 0.0031112949
935.74606 0.180455 -0.025427 0.485013 -0.123118 -0.018387 0.988995 0.079951 0.0000470448 0.0000134769 -0.0001421788 0.0000325378 -0.0000301184 0.0006468831 0.0025896824 -0.0000026660 0.0001613872 0.0025693189 -0.0000086284 0.0031303691
935.77931 0.193627 -0.030885 0.494366 -0.132235 -0.013633 0.987661 0.082786 0.0000524458 0.0000134299 -0.0001549818 0.0000335049 -0.0000250416 0.0006515998 0.0026014445 -0.0000045241 0.0001800710 0.0025760727 -0.0000154967 0.0031568066
935.81243 0.206845 -0.036190 0.503106 -0.141301 -0.009967 0.986253 0.085082 0.0000582062 0.0000136650 -0.0001678541 0.0000346961 -0.0000215912 0.0006557390 0.0026147688 -0.0000070673 0.0001995115 0.0025828759 -0.0000233618 0.0031824141
935.84582 0.221357 -0.042479 0.514019 -0.150413 -0.006886 0.984672 0.088029 0.0000632222 0.0000144702 -0.0001787167 0.0000350323 -0.0000200964 0.0006545117 0.0026241224 -0.0000104825 0.0001943141 0.0025901199 -0.0000334966 0.0030829940
935.87905 0.233149 -0.048231 0.517030 -0.160014 -0.004493 0.983094 0.088891 0.0000687328 0.0000152102 -0.0001900014 0.0000357142 -0.0000189879 0.0006546390 0.0026371058 -0.0000141657 0.0002003708 0.0025979377 -0.0000411958 0.0030485100
935.91226 0.244961 -0.054294 0.521159 -0.169340 -0.001710 0.981508 0.089239 0.0000764961 0.0000152395 -0.0002025437 0.0000369691 -0.0000162839 0.0006570939 0.0026558898 -0.0000188152 0.0002216887 0.0026067630 -0.0000511018 0.0030699514
935.94547 0.255882 -0.060803 0.523946 -0.179849 0.000433 0.979601 0.089647 0.0000848304 0.0000152248 -0.0002147611 0.0000367609 -0.0000134270 0.0006515048 0.0026708263 -0.0000248923 0.0002334300 0.0026143494 -0.0000612357 0.0030691659
935.97874 0.265072 -0.067805 0.524696 -0.189005 0.004028 0.977880 0.089505 0.0000934977 0.0000143515 -0.0002266731 0.0000357983 -0.0000092503 0.0006512006 0.0026829699 -0.0000311267 0.0002392160 0.0026236227 -0.0000734716 0.0030634651
936.01172 0.273251 -0.075319 0.522626 -0.197046 0.008974 0.976306 0.088984 0.0001013865 0.0000121365 -0.0002376606 0.0000324543 -0.0000038803 0.0006506877 0.0026804137 -0.0000333481 0.0002210043 0.0026312539 -0.0000743369 0.0030103422
936.04489 0.279726 -0.083120 0.519475 -0.204238 0.014979 0.974839 0.088041 0.0001091591 0.0000100713 -0.0002476465 0.0000329026 0.0000030381 0.0006533581 0.0027002284 -0.0000403290 0.0002407781 0.0026419638 -0.0000859795 0.0030323267
936.07820 0.283913 -0.091632 0.514380 -0.210386 0.021726 0.973431 0.087738 0.0001157510 0.0000057083 -0.0002558534 0.0000295874 0.0000125356 0.0006546449 0.0026945450 -0.0000427828 0.0002301656 0.0026512141 -0.0000914371 0.0030190050
936.11135 0.287653 -0.100511 0.508564 -0.213951 0.029055 0.972495 0.087377 0.0001202035 -0.0000001205 -0.0002630009 0.0000225401 0.0000203084 0.0006593536 0.0026543684 -0.0000288877 0.0001736278 0.0026535495 -0.0000757614 0.0029441350
936.14460 0.287438 -0.109168 0.498845 -0.216328 0.036693 0.971667 0.087860 0.0001231347 -0.0000046573 -0.0002677590 0.0000210553 0.0000292029 0.0006657721 0.0026495418 -0.0000256572 0.0001637054 0.0026599970 -0.0000753228 0.0029325465
936.17772 0.286207 -0.118828 0.491265 -0.216154 0.043908 0.971415 0.087768 0.0001219830 -0.0000114353 -0.0002694962 0.0000165287 0.0000384720 0.0006717770 0.0026121773 -0.0000041787 0.0000981588 0.0026527940 -0.0000385792 0.0028044061
