# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1540821825.40758 -0.086330 -0.226633 -0.485915 -0.077628 -0.068111 0.994459 0.019669 0.0009731519 -0.0000004655 -0.0000003900 0.0009742419 -0.0000008015 0.0009725709 0.0229320263 -0.0000042050 0.0001857532 0.0229230984 0.0007019460 0.0028824767
1540821825.44075 -0.108672 -0.242943 -0.510645 -0.074081 -0.068461 0.994790 0.014749 0.0010050779 -0.0000005366 -0.0000003890 0.0010064334 -0.0000009067 0.0010045257 0.0254726474 -0.0000088181 0.0002842876 0.0254641037 0.0008034836 0.0029199581
1540821825.47392 -0.134215 -0.259962 -0.535622 -0.068241 -0.068098 0.995311 0.007834 0.0010379284 -0.0000006005 -0.0000004003 0.0010395268 -0.0000009816 0.0010374049 0.0282614497 -0.0000147913 0.0004086261 0.0282546176 0.0009169159 0.0029614700
1540821825.50710 -0.162061 -0.277454 -0.560677 0.060166 0.067481 -0.995905 0.000032 0.0010717100 -0.0000006555 -0.0000004237 0.0010735163 -0.0000010231 0.0010712156 0.0313178899 -0.0000220818 0.0005579962 0.0313144280 0.0010421985 0.0030074016
1540821825.54031 -0.191555 -0.295685 -0.585595 0.049578 0.066181 -0.996535 0.008926 0.0011064625 -0.0000006988 -0.0000004590 0.0011084387 -0.0000010371 0.0011060100 0.0346684270 -0.0000307150 0.0007320635 0.0346700035 0.0011817004 0.0030582836
1540821825.57348 -0.221484 -0.314758 -0.610541 0.038528 0.064297 -0.997005 0.019043 0.0011420866 -0.0000007227 -0.0000005039 0.0011442028 -0.0000010352 0.0011416946 0.0383237028 -0.0000405222 0.0009266084 0.0383316054 0.0013370301 0.0031141883
1540821825.60662 -0.250763 -0.334532 -0.635912 0.029095 0.062819 -0.997155 0.029833 0.0011785513 -0.0000007260 -0.0000005558 0.0011807935 -0.0000010296 0.0011782382 0.0422995276 -0.0000512244 0.0011365798 0.0423145190 0.0015086231 0.0031749387
1540821825.64135 -0.272524 -0.386555 -0.662830 0.021478 0.064642 -0.996816 0.041448 0.0004539671 -0.0001598666 0.0001161935 0.0011847633 0.0000235298 0.0011974992 0.0453663754 0.0057044956 0.0015093298 0.0198863689 0.0009940682 0.0032219135
1540821825.67105 -0.313248 -0.481515 -0.693841 0.017846 0.069515 -0.996035 0.052560 0.0003574161 -0.0001193239 0.0001304209 0.0012215780 0.0000237920 0.0012338045 0.0499313209 0.0055526319 0.0017243787 0.0172925607 0.0010078286 0.0032927446
1540821825.70422 -0.334827 -0.505725 -0.718772 0.015551 0.069107 -0.995630 0.060850 0.0003689220 -0.0001110123 0.0001362018 0.0012584364 0.0000228843 0.0012677028 0.0542983375 0.0061802316 0.0021169274 0.0184604049 0.0012362257 0.0033901216
1540821825.72412 -0.593526 -0.710703 -0.757508 0.022740 0.081558 -0.993290 0.078781 0.0002802320 -0.0001466111 0.0001645841 0.0010336814 -0.0000395897 0.0012632063 0.0481789709 0.0061447947 0.0018486604 0.0156786906 0.0011662803 0.0034294968
1540821825.79047 -0.636844 -0.768618 -0.805890 0.023920 0.080441 -0.992688 0.086764 0.0002878052 -0.0001307426 0.0001512917 0.0010966580 -0.0000536206 0.0013278859 0.0556497226 0.0073236445 0.0039305029 0.0169233353 0.0018962665 0.0038697106
1540821825.82360 -0.660083 -0.804465 -0.836831 0.025926 0.079763 -0.992551 0.088363 0.0003008303 -0.0001340712 0.0001529556 0.0011300457 -0.0000547993 0.0013686204 0.0606975961 0.0081599631 0.0042905092 0.0180987851 0.0020768715 0.0039760458
