# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1405.41618 0.116575 0.020876 0.380546 0.153173 -0.007359 -0.988163 0.004248 0.0000425140 -0.0000016060 -0.0001180345 0.0000122339 0.0000064825 0.0003916502 0.0025269413 0.0000002689 0.0000174447 0.0025321825 0.0000122977 0.0026487579
1405.44920 0.130044 0.019460 0.397165 0.161110 -0.007146 -0.986899 0.004858 0.0000458276 -0.0000017537 -0.0001221871 0.0000114165 0.0000065677 0.0003816251 0.0025276347 0.0000002087 0.0000182360 0.0025335113 0.0000104736 0.0026374671
1405.48239 0.144285 0.017767 0.411215 0.169746 -0.007033 -0.985440 0.006710 0.0000502546 -0.0000018181 -0.0001278854 0.0000114979 0.0000065073 0.0003768669 0.0025290684 0.0000004455 0.0000209299 0.0025359514 0.0000100959 0.0026372994
1405.51544 0.158820 0.015909 0.426062 0.178790 -0.007328 -0.983823 0.008494 0.0000549830 -0.0000019101 -0.0001335099 0.0000109120 0.0000068752 0.0003712848 0.0025298967 0.0000002203 0.0000211453 0.0025380795 0.0000075576 0.0026262853
1405.54862 0.173842 0.012146 0.438053 0.188566 -0.007377 -0.981989 0.009306 0.0000603575 -0.0000021070 -0.0001394834 0.0000106857 0.0000073331 0.0003643750 0.0025311658 0.0000001134 0.0000223469 0.0025399546 0.0000056470 0.0026224331
1405.58193 0.187742 0.007610 0.448761 0.197882 -0.007685 -0.980148 0.009702 0.0000656624 -0.0000023555 -0.0001448837 0.0000108048 0.0000077729 0.0003589521 0.0025328333 0.0000002366 0.0000247414 0.0025430894 0.0000051305 0.0026236666
1405.61513 0.200486 0.003155 0.458578 0.206242 -0.007982 -0.978413 0.010424 0.0000706314 -0.0000026046 -0.0001494681 0.0000098963 0.0000084569 0.0003510174 0.0025324143 -0.0000004946 0.0000230946 0.0025431929 0.0000011294 0.0026145383
1405.64831 0.212403 -0.001924 0.466633 0.213876 -0.008552 -0.976752 0.011822 0.0000751936 -0.0000030072 -0.0001533251 0.0000089765 0.0000090294 0.0003450642 0.0025314024 -0.0000005625 0.0000199901 0.0025449856 0.0000000937 0.0026025934
1405.68150 0.224278 -0.008242 0.474276 0.221235 -0.009002 -0.975076 0.014138 0.0000799298 -0.0000035759 -0.0001571681 0.0000083060 0.0000099103 0.0003392049 0.0025310782 -0.0000007694 0.0000179596 0.0025461119 -0.0000019068 0.0025956506
1405.71493 0.233883 -0.015967 0.478452 0.228067 -0.010560 -0.973450 0.016389 0.0000840976 -0.0000045069 -0.0001603743 0.0000077680 0.0000113594 0.0003345994 0.0025306027 -0.0000003686 0.0000156324 0.0025482171 -0.0000025729 0.0025883677
1405.74815 0.243412 -0.024163 0.483238 0.234316 -0.013744 -0.971878 0.018984 0.0000884165 -0.0000060541 -0.0001635581 0.0000075235 0.0000139354 0.0003301049 0.0025305041 0.0000002590 0.0000138037 0.0025501226 -0.0000028967 0.0025828388
1405.78135 0.252241 -0.032981 0.487417 0.240856 -0.019005 -0.970138 0.021438 0.0000927867 -0.0000084186 -0.0001665752 0.0000074110 0.0000179270 0.0003254081 0.0025302959 0.0000007801 0.0000122027 0.0025519371 -0.0000037094 0.0025792992
1405.81452 0.259181 -0.042900 0.488750 0.247559 -0.026000 -0.968220 0.024261 0.0000971241 -0.0000116061 -0.0001692965 0.0000078239 0.0000231824 0.0003204888 0.0025305654 0.0000016964 0.0000113188 0.0025539997 -0.0000039297 0.0025771332
1405.84784 0.264388 -0.054816 0.489125 0.253956 -0.033644 -0.966279 0.026052 0.0001013535 -0.0000151830 -0.0001716236 0.0000078739 0.0000284940 0.0003145616 0.0025280664 0.0000029745 0.0000071060 0.0025543090 -0.0000035603 0.0025704775
1405.88094 0.268056 -0.066761 0.489347 0.258656 -0.041213 -0.964664 0.028662 0.0001045175 -0.0000187096 -0.0001731983 0.0000085255 0.0000336881 0.0003099270 0.0025273705 0.0000048716 0.0000050385 0.0025543457 -0.0000025035 0.0025668803
1405.91414 0.268787 -0.079624 0.489189 0.260189 -0.050514 -0.963784 0.029491 0.0001052340 -0.0000225280 -0.0001730489 0.0000096995 0.0000397896 0.0003069493 0.0025268929 0.0000064388 0.0000035122 0.0025536364 -0.0000016621 0.0025645001
1405.94728 0.267157 -0.091662 0.488250 0.258975 -0.061008 -0.963516 0.029092 0.0001039483 -0.0000263382 -0.0001716713 0.0000114645 0.0000464958 0.0003057898 0.0025271984 0.0000079056 0.0000026845 0.0025523556 -0.0000008231 0.0025628108
1405.98026 0.262007 -0.103657 0.486552 0.255287 -0.070853 -0.963863 0.027879 0.0001009026 -0.0000295486 -0.0001691379 0.0000134401 0.0000528523 0.0003061240 0.0025275837 0.0000088901 0.0000021690 0.0025506787 -0.0000003473 0.0025619022
1406.01329 0.253788 -0.113375 0.483196 0.249292 -0.078553 -0.964815 0.028540 0.0000962657 -0.0000315975 -0.0001656628 0.0000151292 0.0000580151 0.0003083238 0.0025280220 0.0000097405 0.0000016566 0.0025481958 0.0000002835 0.0025607209
1406.04646 0.244826 -0.123073 0.482151 0.241105 -0.084580 -0.966395 0.028209 0.0000904018 -0.0000327189 -0.0001612960 0.0000165906 0.0000623739 0.0003119939 0.0025284463 0.0000100403 0.0000013822 0.0025452020 0.0000008238 0.0025598093
1406.07972 0.234154 -0.130366 0.479896 0.230283 -0.089182 -0.968608 0.028553 0.0000831764 -0.0000328173 -0.0001558148 0.0000177132 0.0000658243 0.0003174782 0.0025292278 0.0000103832 0.0000010690 0.0025421889 0.0000013806 0.0025588262
1406.11301 0.222340 -0.135691 0.478020 0.218164 -0.093233 -0.971017 0.028944 0.0000752170 -0.0000323665 -0.0001493250 0.0000187214 0.0000690315 0.0003239064 0.0025298949 0.0000103309 0.0000008786 0.0025391944 0.0000017513 0.0025581415
1406.14624 0.209339 -0.139546 0.475937 0.205825 -0.097597 -0.973296 0.028387 0.0000676002 -0.0000318943 -0.0001425057 0.0000198844 0.0000724761 0.0003298414 0.0025303997 0.0000101401 0.0000006159 0.0025360954 0.0000022315 0.0025573380
1406.17926 0.194787 -0.142143 0.474786 0.192928 -0.102871 -0.975417 0.027550 0.0000598469 -0.0000313728 -0.0001347973 0.0000213730 0.0000765468 0.0003356519 0.0025307034 0.0000098136 0.0000002744 0.0025331045 0.0000027528 0.0025563969
1406.21235 0.179685 -0.143129 0.474258 0.180619 -0.108113 -0.977249 0.025930 0.0000530143 -0.0000307408 -0.0001272263 0.0000229192 0.0000805323 0.0003406027 0.0025308495 0.0000092278 -0.0000000405 0.0025303605 0.0000031486 0.0025555376
1406.24546 0.165262 -0.142719 0.474226 0.169106 -0.113045 -0.978814 0.023402 0.0000471288 -0.0000300169 -0.0001201081 0.0000243980 0.0000841785 0.0003447114 0.0025307952 0.0000085564 -0.0000003798 0.0025277915 0.0000035739 0.0025545861
1406.27872 0.151182 -0.141280 0.475110 0.157107 -0.118006 -0.980309 0.019658 0.0000413155 -0.0000290182 -0.0001124211 0.0000258742 0.0000877770 0.0003486541 0.0025304886 0.0000077914 -0.0000006605 0.0025254671 0.0000040136 0.0025535428
1406.31169 0.137947 -0.136625 0.475186 0.145701 -0.121472 -0.981719 0.015624 0.0000361715 -0.0000275899 -0.0001050306 0.0000267297 0.0000901085 0.0003524677 0.0025299902 0.0000070255 -0.0000008773 0.0025235651 0.0000044095 0.0025523622
1406.34486 0.126614 -0.131372 0.477300 0.133407 -0.123596 -0.983268 0.010485 0.0000312750 -0.0000258099 -0.0000972437 0.0000273180 0.0000918975 0.0003564300 0.0025291911 0.0000060650 -0.0000009709 0.0025221089 0.0000046131 0.0025513453
1406.41123 0.107876 -0.115272 0.485724 -0.106488 0.123818 0.986572 0.002410 0.0000219614 -0.0000208700 -0.0000797708 0.0000268978 0.0000925185 0.0003658519 0.0025278508 0.0000043695 -0.0000011777 0.0025203747 0.0000047901 0.0025496342
1406.44452 0.101486 -0.105737 0.490766 -0.093406 0.123101 0.987934 0.010399 0.0000180806 -0.0000184368 -0.0000710835 0.0000264105 0.0000922555 0.0003696131 0.0025267532 0.0000036637 -0.0000010152 0.0025197514 0.0000049785 0.0025480563
1406.47773 0.097500 -0.094999 0.496074 -0.081092 0.122033 0.989028 0.018881 0.0000148753 -0.0000161000 -0.0000628666 0.0000256940 0.0000914789 0.0003730127 0.0025256449 0.0000030159 -0.0000007494 0.0025193853 0.0000050613 0.0025465434
1406.51102 0.095378 -0.083448 0.501909 -0.070926 0.121023 0.989682 0.029207 0.0000126231 -0.0000142621 -0.0000562993 0.0000250829 0.0000907058 0.0003755125 0.0025247222 0.0000025283 -0.0000005827 0.0025192721 0.0000051538 0.0025452868
1406.54419 0.095778 -0.071866 0.506787 -0.063571 0.120668 0.989823 0.040605 0.0000112323 -0.0000130624 -0.0000518760 0.0000247082 0.0000902710 0.0003768577 0.0025236968 0.0000020922 -0.0000003193 0.0025192992 0.0000051875 0.0025440703
1406.57730 0.098868 -0.060808 0.510273 -0.058697 0.120869 0.989571 0.051910 0.0000104571 -0.0000123765 -0.0000492224 0.0000245274 0.0000901301 0.0003775280 0.0025227881 0.0000017852 -0.0000000835 0.0025195370 0.0000051566 0.0025429560
1406.61038 0.105136 -0.049952 0.511905 -0.056286 0.121506 0.988997 0.062872 0.0000102144 -0.0000122016 -0.0000485565 0.0000244542 0.0000901229 0.0003775649 0.0025218756 0.0000015921 0.0000002597 0.0025199713 0.0000051319 0.0025417918
