# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
807.71640 0.023887 0.025520 0.229785 -0.023904 -0.023859 0.998910 0.032207 0.0001490317 -0.0000036269 -0.0000307871 0.0001577921 -0.0000340860 0.0009406382 0.0031587351 0.0001054282 0.0000239756 0.0027499094 0.0000243305 0.0028231113
807.75134 0.026057 0.027947 0.260896 -0.029247 -0.027723 0.998585 0.034705 0.0001369288 0.0000059577 -0.0000372505 0.0001214577 -0.0000299171 0.0009446053 0.0027004170 0.0000103666 0.0000192903 0.0026811522 0.0000170893 0.0028336814
807.78505 0.033572 0.032016 0.292570 -0.035179 -0.029855 0.998276 0.036290 0.0001128385 0.0000071068 -0.0000254482 0.0000943606 -0.0000229155 0.0008408899 0.0026262799 0.0000048166 0.0000067292 0.0026288773 0.0000128073 0.0028499897
807.81780 0.037627 0.035525 0.321893 -0.038349 -0.030146 0.998064 0.038590 0.0000945105 0.0000035043 -0.0000300764 0.0000715414 -0.0000164012 0.0007425972 0.0025860605 0.0000039410 0.0000010480 0.0025941915 0.0000128620 0.0028677034
807.85108 0.046082 0.037011 0.349247 -0.043636 -0.028896 0.997834 0.039846 0.0000751158 0.0000051704 -0.0000253559 0.0000573662 -0.0000206708 0.0006463580 0.0025618135 0.0000006319 0.0000009189 0.0025678223 0.0000167073 0.0028862601
807.88379 0.056925 0.037242 0.376015 -0.051175 -0.027206 0.997356 0.043839 0.0000727517 0.0000046655 -0.0000358594 0.0000544933 -0.0000196756 0.0006449120 0.0025530087 0.0000002055 0.0000055173 0.0025588388 0.0000201727 0.0029106357
807.91757 0.067955 0.035391 0.399852 -0.060005 -0.023946 0.996747 0.048173 0.0000542651 0.0000059849 -0.0000443428 0.0000461791 -0.0000216693 0.0006206025 0.0025448224 -0.0000014829 0.0000101583 0.0025489251 0.0000268024 0.0029233142
807.95053 0.080869 0.036070 0.421978 -0.069682 -0.023550 0.995990 0.050934 0.0000365735 0.0000034356 -0.0000536787 0.0000410801 -0.0000187115 0.0005883058 0.0025411848 -0.0000018429 0.0000122772 0.0025443620 0.0000306699 0.0029063358
807.98406 0.093625 0.034900 0.436942 -0.077909 -0.021596 0.995319 0.052955 0.0000264075 0.0000047230 -0.0000687434 0.0000367011 -0.0000191057 0.0005527864 0.0025397045 -0.0000022302 0.0000121759 0.0025443709 0.0000269488 0.0028256754
808.05062 0.124094 0.033127 0.472176 -0.092732 -0.019011 0.993714 0.059761 0.0000283273 0.0000052505 -0.0000849229 0.0000388063 -0.0000157084 0.0005329218 0.0025418485 -0.0000015866 0.0000254077 0.0025492410 0.0000235880 0.0028169744
808.08404 0.140389 0.031687 0.489939 -0.099862 -0.016485 0.992891 0.062639 0.0000285295 0.0000063446 -0.0000924414 0.0000364306 -0.0000164672 0.0005118416 0.0025432555 -0.0000013785 0.0000286826 0.0025514110 0.0000189355 0.0027722299
808.11727 0.157388 0.028656 0.508392 -0.106147 -0.014498 0.991979 0.067090 0.0000288487 0.0000054114 -0.0000970945 0.0000350933 -0.0000131978 0.0004995016 0.0025455049 -0.0000013436 0.0000335692 0.0025543912 0.0000154341 0.0027480780
808.15052 0.173539 0.025350 0.520527 -0.112470 -0.011374 0.991120 0.070019 0.0000302562 0.0000049902 -0.0001025483 0.0000338972 -0.0000111860 0.0004941440 0.0025482050 -0.0000012508 0.0000392134 0.0025578769 0.0000127422 0.0027383240
808.18353 0.190669 0.021051 0.534530 -0.117867 -0.008207 0.990271 0.073504 0.0000318479 0.0000052240 -0.0001063484 0.0000322423 -0.0000097998 0.0004872632 0.0025508237 -0.0000014021 0.0000422040 0.0025610998 0.0000088343 0.0027203880
808.21680 0.206675 0.015556 0.545655 -0.124038 -0.004955 0.989322 0.076364 0.0000338914 0.0000052125 -0.0001110836 0.0000293229 -0.0000093585 0.0004834411 0.0025531348 -0.0000012123 0.0000445680 0.0025654362 0.0000067234 0.0027074338
808.28312 0.238536 0.002917 0.564222 -0.136357 0.005870 0.987361 0.080565 0.0000402497 0.0000034814 -0.0001226982 0.0000283448 -0.0000013500 0.0004776611 0.0025614805 -0.0000013840 0.0000552469 0.0025742227 0.0000016180 0.0027067772
808.31613 0.254289 -0.004505 0.573416 -0.144656 0.012116 0.986045 0.081507 0.0000443573 0.0000026241 -0.0001294838 0.0000217545 0.0000016986 0.0004714437 0.0025590859 -0.0000018978 0.0000457553 0.0025785447 -0.0000019394 0.0026759120
808.34919 0.268245 -0.014401 0.575334 -0.155742 0.017757 0.984107 0.083447 0.0000497123 0.0000011685 -0.0001362837 0.0000194570 0.0000068851 0.0004574278 0.0025600194 -0.0000026789 0.0000438022 0.0025827838 -0.0000057651 0.0026646416
808.38211 0.281543 -0.023849 0.576475 -0.166875 0.023901 0.982090 0.084147 0.0000562306 -0.0000002214 -0.0001455530 0.0000180229 0.0000105402 0.0004512285 0.0025623627 -0.0000023790 0.0000442228 0.0025875041 -0.0000073646 0.0026582454
808.41560 0.293147 -0.033606 0.579064 -0.176160 0.030879 0.980220 0.084747 0.0000614590 -0.0000022790 -0.0001514533 0.0000143443 0.0000141111 0.0004387306 0.0025598601 -0.0000009902 0.0000368842 0.0025899765 -0.0000059813 0.0026396824
808.44879 0.304739 -0.043468 0.582666 -0.183940 0.037191 0.978429 0.086365 0.0000665828 -0.0000045913 -0.0001571230 0.0000123868 0.0000182028 0.0004298148 0.0025574678 0.0000000836 0.0000315845 0.0025922204 -0.0000066217 0.0026294841
