# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1404.98083 0.015481 0.014136 0.108278 -0.023303 -0.019682 0.999489 0.009586 0.0001461227 0.0000119110 -0.0000380825 0.0001452152 -0.0000389367 0.0009403694 0.0031092370 -0.0002791673 0.0000148719 0.0030741530 0.0000293695 0.0028207910
1405.01690 0.014213 0.017398 0.129167 -0.030228 -0.019526 0.999281 0.011945 0.0001229371 0.0000183736 -0.0000353955 0.0001073827 -0.0000295097 0.0008845253 0.0027545463 -0.0000651337 0.0000027688 0.0027820534 -0.0000181969 0.0027534913
1405.05059 0.017885 0.020150 0.153344 -0.039249 -0.018515 0.999018 0.008903 0.0001161438 0.0000216005 -0.0000428821 0.0001036711 -0.0000071883 0.0007550604 0.0026863590 -0.0000573554 -0.0000298346 0.0027339482 -0.0000186610 0.0026927431
1405.08412 0.023403 0.021035 0.176469 -0.048185 -0.016362 0.998686 0.006138 0.0001089877 0.0000187548 -0.0000546233 0.0000895737 0.0000005687 0.0007559137 0.0026372481 -0.0000387663 -0.0000212634 0.0026808354 -0.0000163036 0.0026877677
1405.11693 0.027667 0.022887 0.199560 -0.055573 -0.012973 0.998357 0.005156 0.0000978948 0.0000140856 -0.0000608902 0.0000568097 0.0000009710 0.0006971083 0.0025936481 -0.0000296568 -0.0000063624 0.0026441773 -0.0000140032 0.0026806997
1405.14968 0.034931 0.024496 0.221949 -0.065436 -0.010283 0.997794 0.004448 0.0000658997 0.0000058191 -0.0000674470 0.0000387593 0.0000060391 0.0006662950 0.0025697634 -0.0000225084 0.0000000251 0.0025997708 -0.0000029373 0.0026820592
1405.18276 0.042405 0.024589 0.244148 -0.075921 -0.007185 0.997080 0.003921 0.0000577082 0.0000075847 -0.0000732532 0.0000344033 0.0000060084 0.0006589056 0.0025595267 -0.0000225342 0.0000049179 0.0025826534 0.0000026319 0.0026811380
1405.21592 0.049822 0.024137 0.267488 -0.086453 -0.002620 0.996252 0.000637 0.0000543722 0.0000050239 -0.0000840161 0.0000269048 0.0000136008 0.0006082276 0.0025502958 -0.0000184855 0.0000087166 0.0025699001 0.0000061421 0.0026895180
1405.24887 0.059407 0.025340 0.289113 0.098893 0.000187 -0.995098 0.000251 0.0000495030 0.0000042601 -0.0000934370 0.0000253334 0.0000140364 0.0005928368 0.0025459872 -0.0000159934 0.0000102666 0.0025601209 0.0000112335 0.0026984935
1405.28215 0.069632 0.024955 0.310877 0.111862 -0.001981 -0.993721 0.001232 0.0000503388 0.0000033010 -0.0001028001 0.0000255310 0.0000132700 0.0005727589 0.0025440122 -0.0000141632 0.0000129084 0.0025554481 0.0000140464 0.0027096879
1405.31542 0.080751 0.025254 0.332306 0.123690 -0.004079 -0.992311 0.001717 0.0000493831 0.0000047586 -0.0001106028 0.0000221524 0.0000077716 0.0005513376 0.0025422119 -0.0000126367 0.0000157746 0.0025521681 0.0000165743 0.0027178635
1405.34865 0.092640 0.025056 0.351843 0.134083 -0.005531 -0.990953 0.001986 0.0000511014 0.0000038208 -0.0001145592 0.0000227885 0.0000088949 0.0005316891 0.0025427081 -0.0000113843 0.0000201772 0.0025512360 0.0000177503 0.0027303930
1405.38200 0.105438 0.024550 0.370833 0.143710 -0.006215 -0.989595 0.003094 0.0000557064 0.0000034031 -0.0001250384 0.0000232319 0.0000086813 0.0005294216 0.0025439413 -0.0000103107 0.0000253964 0.0025520134 0.0000182102 0.0027434453
1405.41537 0.119216 0.023304 0.387759 0.152406 -0.006391 -0.988290 0.003910 0.0000589102 0.0000030113 -0.0001350141 0.0000238921 0.0000084936 0.0005244732 0.0025458551 -0.0000091623 0.0000315163 0.0025535609 0.0000184332 0.0027558567
1405.44849 0.133367 0.022089 0.403468 0.160190 -0.006310 -0.987051 0.005360 0.0000625892 0.0000027586 -0.0001451395 0.0000247271 0.0000094423 0.0005172862 0.0025484200 -0.0000079867 0.0000383587 0.0025560815 0.0000187910 0.0027683818
1405.48175 0.148004 0.020150 0.417700 0.168808 -0.005989 -0.985603 0.007374 0.0000678751 0.0000028751 -0.0001546278 0.0000259288 0.0000099125 0.0005139238 0.0025517662 -0.0000069162 0.0000457980 0.0025594121 0.0000189247 0.0027809268
