# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1540821366.999724149703979,0.00067,0.00008,0.00011,0.00000,0.00000,0.00050,0.00136
1540821367.034806489944458,0.00077,0.00010,0.00041,0.00000,0.00000,0.00039,0.00167
1540821367.068625211715698,0.00067,0.00008,0.00045,0.00000,0.00000,0.00028,0.00148
1540821367.101743936538696,0.00072,0.00009,0.00009,0.00000,0.00000,0.00039,0.00129
1540821367.134988784790039,0.00073,0.00009,0.00002,0.00000,0.00000,0.00037,0.00121
1540821367.168165922164917,0.00084,0.00012,0.00002,0.00000,0.00000,0.00037,0.00135
1540821367.201261758804321,0.00070,0.00011,0.00002,0.00000,0.00000,0.00036,0.00119
1540821367.234435081481934,0.00067,0.00009,0.00002,0.00000,0.00000,0.00036,0.00114
1540821367.268182992935181,0.00066,0.00008,0.00019,0.00000,0.00000,0.00035,0.00128
1540821367.301357030868530,0.00070,0.00011,0.00000,0.00000,0.00000,0.00036,0.00117
1540821367.334403038024902,0.00063,0.00008,0.00004,0.00000,0.00000,0.00034,0.00110
1540821367.367575168609619,0.00063,0.00008,0.00001,0.00000,0.00000,0.00034,0.00107
1540821367.400793075561523,0.00065,0.00009,0.00004,0.00000,0.00000,0.00035,0.00113
1540821367.434617280960083,0.00078,0.00010,0.00103,0.00000,0.00000,0.00055,0.00247
1540821367.468189954757690,0.00082,0.00010,0.00099,0.00000,0.00000,0.00048,0.00239
1540821367.501405000686646,0.00085,0.00010,0.00007,0.00000,0.00000,0.00043,0.00145
1540821367.534497022628784,0.00081,0.00010,0.00004,0.00000,0.00000,0.00039,0.00134
1540821367.567668914794922,0.00070,0.00009,0.00003,0.00000,0.00000,0.00036,0.00118
1540821367.600281000137329,0.00072,0.00010,0.00007,0.00000,0.00000,0.00034,0.00124
1540821367.632699012756348,0.00069,0.00010,0.00008,0.00000,0.00000,0.00034,0.00122
1540821367.666536331176758,0.00080,0.00010,0.00031,0.00000,0.00000,0.00044,0.00165
1540821367.699706077575684,0.00078,0.00015,0.00006,0.00000,0.00000,0.00057,0.00156
1540821367.733098983764648,0.00075,0.00010,0.00019,0.00000,0.00000,0.00043,0.00148
1540821367.766274213790894,0.00074,0.00011,0.00000,0.00000,0.00000,0.00044,0.00130
1540821367.799581050872803,0.00072,0.00011,0.00006,0.00000,0.00000,0.00036,0.00125
1540821367.833020687103271,0.00068,0.00011,0.00093,0.00000,0.00000,0.00036,0.00209
1540821367.866312026977539,0.00072,0.00010,0.00089,0.00000,0.00000,0.00038,0.00208
1540821367.899610996246338,0.00079,0.00010,0.00007,0.00000,0.00000,0.00044,0.00139
1540821367.932658195495605,0.00072,0.00012,0.00004,0.00000,0.00000,0.00038,0.00126
1540821367.965831279754639,0.00077,0.00010,0.00003,0.00000,0.00000,0.00040,0.00130
1540821367.999045133590698,0.00073,0.00009,0.00002,0.00000,0.00000,0.00040,0.00125
1540821368.032178163528442,0.00081,0.00011,0.00005,0.00000,0.00000,0.00039,0.00137
1540821368.065608024597168,0.00073,0.00008,0.00031,0.00000,0.00000,0.00037,0.00149
1540821368.098829030990601,0.00070,0.00008,0.00001,0.00000,0.00000,0.00036,0.00116
1540821368.131999254226685,0.00069,0.00008,0.00003,0.00000,0.00000,0.00036,0.00116
1540821368.165099859237671,0.00068,0.00009,0.00003,0.00000,0.00000,0.00038,0.00118
1540821368.198379278182983,0.00072,0.00011,0.00006,0.00000,0.00000,0.00042,0.00130
1540821368.231442928314209,0.00100,0.00010,0.00028,0.00000,0.00000,0.00047,0.00185
1540821368.264656066894531,0.00074,0.00012,0.00032,0.00000,0.00000,0.00045,0.00163
1540821368.297812938690186,0.00079,0.00009,0.00005,0.00000,0.00000,0.00042,0.00136
1540821368.330963134765625,0.00081,0.00012,0.00005,0.00000,0.00000,0.00040,0.00138
1540821368.364166021347046,0.00079,0.00011,0.00005,0.00000,0.00000,0.00040,0.00135
1540821368.397309064865112,0.00075,0.00009,0.00004,0.00000,0.00000,0.00038,0.00125
1540821368.430480957031250,0.00072,0.00009,0.00004,0.00000,0.00000,0.00037,0.00122
1540821368.463603258132935,0.00068,0.00008,0.00045,0.00000,0.00000,0.00042,0.00163
1540821368.496729135513306,0.00081,0.00011,0.00003,0.00000,0.00000,0.00046,0.00140
1540821368.529999256134033,0.00079,0.00012,0.00005,0.00000,0.00000,0.00042,0.00139
1540821368.563076257705688,0.00076,0.00010,0.00003,0.00000,0.00000,0.00042,0.00131
1540821368.596323251724243,0.00073,0.00009,0.00006,0.00000,0.00000,0.00039,0.00128
1540821368.629545688629150,0.00072,0.00010,0.00095,0.00000,0.00000,0.00039,0.00216
1540821368.662651777267456,0.00072,0.00010,0.00110,0.00000,0.00000,0.00042,0.00234
1540821368.695866823196411,0.00064,0.00010,0.00005,0.00000,0.00000,0.00037,0.00116
1540821368.728997707366943,0.00071,0.00009,0.00003,0.00000,0.00000,0.00044,0.00128
1540821368.762178897857666,0.00069,0.00010,0.00003,0.00000,0.00000,0.00042,0.00125
1540821368.795344829559326,0.00072,0.00009,0.00004,0.00000,0.00000,0.00043,0.00128
1540821368.828587770462036,0.00069,0.00009,0.00006,0.00000,0.00000,0.00041,0.00126
1540821368.861670255661011,0.00075,0.00009,0.00001,0.00000,0.00037,0.00040,0.00161
1540821368.894850969314575,0.00076,0.00009,0.00003,0.00004,0.00001,0.00038,0.00131
1540821368.928034782409668,0.00073,0.00010,0.00001,0.00003,0.00002,0.00037,0.00126
1540821368.961218357086182,0.00074,0.00011,0.00002,0.00003,0.00000,0.00037,0.00127
1540821368.994395494461060,0.00077,0.00012,0.00004,0.00005,0.00008,0.00048,0.00155
1540821369.027698040008545,0.00084,0.00010,0.00003,0.00005,0.00108,0.00045,0.00255
1540821369.060785770416260,0.00082,0.00011,0.00003,0.00010,0.00123,0.00041,0.00270
1540821369.093900442123413,0.00080,0.00011,0.00001,0.00019,0.00006,0.00038,0.00155
1540821369.127078533172607,0.00078,0.00011,0.00003,0.00019,0.00002,0.00044,0.00158
1540821369.160151958465576,0.00072,0.00011,0.00003,0.00018,0.00001,0.00035,0.00142
1540821369.193285226821899,0.00069,0.00016,0.00002,0.00020,0.00002,0.00041,0.00150
1540821369.226444959640503,0.00096,0.00011,0.00002,0.00020,0.00022,0.00046,0.00196
1540821369.259471178054810,0.00088,0.00010,0.00001,0.00023,0.00023,0.00043,0.00188
1540821369.292654275894165,0.00079,0.00012,0.00001,0.00025,0.00002,0.00038,0.00157
1540821369.325899839401245,0.00077,0.00011,0.00001,0.00024,0.00002,0.00036,0.00152
1540821369.359133958816528,0.00070,0.00009,0.00001,0.00023,0.00000,0.00037,0.00140
1540821369.392489194869995,0.00074,0.00010,0.00002,0.00024,0.00006,0.00038,0.00155
1540821369.425765275955200,0.00073,0.00010,0.00001,0.00024,0.00021,0.00040,0.00168
1540821369.458865642547607,0.00081,0.00012,0.00003,0.00028,0.00026,0.00048,0.00198
1540821369.492119312286377,0.00086,0.00013,0.00003,0.00025,0.00005,0.00042,0.00175
1540821369.525314569473267,0.00081,0.00010,0.00001,0.00026,0.00003,0.00044,0.00165
1540821369.558634757995605,0.00071,0.00009,0.00003,0.00025,0.00001,0.00040,0.00149
1540821369.591772079467773,0.00070,0.00009,0.00000,0.00024,0.00004,0.00039,0.00146
1540821369.624907255172729,0.00068,0.00009,0.00000,0.00023,0.00002,0.00038,0.00141
1540821369.658055782318115,0.00071,0.00011,0.00003,0.00025,0.00003,0.00041,0.00155
1540821369.691159486770630,0.00071,0.00009,0.00002,0.00025,0.00001,0.00042,0.00150
1540821369.724358797073364,0.00079,0.00012,0.00002,0.00025,0.00002,0.00041,0.00162
1540821369.757442235946655,0.00087,0.00011,0.00003,0.00025,0.00002,0.00046,0.00174
1540821369.790570974349976,0.00098,0.00010,0.00001,0.00024,0.00008,0.00041,0.00181
1540821369.823720216751099,0.00080,0.00009,0.00004,0.00024,0.00017,0.00042,0.00176
1540821369.856659173965454,0.00076,0.00009,0.00007,0.00023,0.00021,0.00036,0.00172
1540821369.889808654785156,0.00088,0.00010,0.00002,0.00025,0.00004,0.00041,0.00170
1540821369.922904968261719,0.00083,0.00014,0.00004,0.00027,0.00001,0.00043,0.00173
1540821369.956120014190674,0.00082,0.00012,0.00002,0.00025,0.00001,0.00047,0.00169
1540821369.989313364028931,0.00089,0.00009,0.00001,0.00029,0.00005,0.00043,0.00176
1540821370.022496938705444,0.00084,0.00009,0.00003,0.00024,0.00002,0.00039,0.00161
1540821370.055809497833252,0.00085,0.00009,0.00001,0.00023,0.00003,0.00037,0.00158
1540821370.088958501815796,0.00080,0.00009,0.00001,0.00023,0.00003,0.00037,0.00153
1540821370.122227191925049,0.00081,0.00009,0.00002,0.00023,0.00002,0.00042,0.00159
1540821370.155414104461670,0.00087,0.00010,0.00001,0.00025,0.00002,0.00046,0.00170
1540821370.188604116439819,0.00105,0.00011,0.00001,0.00026,0.00006,0.00046,0.00195
1540821370.221793413162231,0.00089,0.00010,0.00001,0.00026,0.00018,0.00049,0.00194
1540821370.254938364028931,0.00089,0.00010,0.00001,0.00024,0.00041,0.00041,0.00206
1540821370.288289546966553,0.00086,0.00012,0.00016,0.00026,0.00022,0.00040,0.00202
1540821370.321439504623413,0.00082,0.00009,0.00016,0.00030,0.00001,0.00046,0.00184
1540821370.354759931564331,0.00093,0.00010,0.00001,0.00032,0.00023,0.00044,0.00203
1540821370.387996435165405,0.00086,0.00011,0.00019,0.00029,0.00026,0.00055,0.00227
1540821370.421273708343506,0.00086,0.00010,0.00018,0.00036,0.00025,0.00047,0.00222
1540821370.454525470733643,0.00095,0.00014,0.00025,0.00027,0.00005,0.00040,0.00207
1540821370.487673044204712,0.00078,0.00010,0.00012,0.00027,0.00003,0.00042,0.00173
1540821370.520837783813477,0.00075,0.00010,0.00003,0.00024,0.00004,0.00041,0.00157
1540821370.553957939147949,0.00080,0.00010,0.00002,0.00026,0.00003,0.00043,0.00165
1540821370.587075233459473,0.00078,0.00009,0.00002,0.00025,0.00042,0.00040,0.00194
1540821370.620169162750244,0.00080,0.00011,0.00003,0.00034,0.00016,0.00044,0.00188
1540821370.653239250183105,0.00076,0.00009,0.00001,0.00031,0.00044,0.00047,0.00208
1540821370.686389923095703,0.00082,0.00013,0.00002,0.00036,0.00005,0.00044,0.00182
1540821370.719462156295776,0.00077,0.00010,0.00003,0.00036,0.00001,0.00040,0.00167
1540821370.752617835998535,0.00078,0.00011,0.00003,0.00031,0.00001,0.00039,0.00163
1540821370.785783052444458,0.00077,0.00010,0.00010,0.00030,0.00004,0.00042,0.00173
1540821370.818964719772339,0.00073,0.00010,0.00007,0.00030,0.00005,0.00041,0.00166
1540821370.852148532867432,0.00082,0.00014,0.00004,0.00030,0.00006,0.00052,0.00188
1540821370.885330915451050,0.00079,0.00011,0.00001,0.00030,0.00003,0.00046,0.00171
1540821370.918510675430298,0.00082,0.00011,0.00003,0.00030,0.00005,0.00042,0.00173
1540821370.951742410659790,0.00084,0.00010,0.00001,0.00029,0.00003,0.00043,0.00169
1540821370.984898567199707,0.00079,0.00010,0.00001,0.00029,0.00025,0.00044,0.00188
1540821371.018105268478394,0.00081,0.00012,0.00002,0.00033,0.00036,0.00042,0.00206
1540821371.051303386688232,0.00078,0.00009,0.00003,0.00035,0.00020,0.00040,0.00186
1540821371.084561347961426,0.00079,0.00013,0.00004,0.00037,0.00026,0.00047,0.00206
1540821371.117852926254272,0.00131,0.00012,0.00002,0.00040,0.00001,0.00046,0.00233
1540821371.150941848754883,0.00103,0.00010,0.00002,0.00038,0.00001,0.00041,0.00196
1540821371.184198379516602,0.00093,0.00009,0.00013,0.00037,0.00023,0.00041,0.00216
1540821371.217376232147217,0.00091,0.00010,0.00002,0.00044,0.00027,0.00047,0.00222
1540821371.250435113906860,0.00095,0.00010,0.00021,0.00048,0.00028,0.00049,0.00251
1540821371.283717870712280,0.00094,0.00015,0.00001,0.00051,0.00004,0.00049,0.00214
1540821371.316841125488281,0.00096,0.00013,0.00004,0.00040,0.00003,0.00048,0.00203
1540821371.350001573562622,0.00096,0.00011,0.00002,0.00038,0.00002,0.00044,0.00192
1540821371.383046865463257,0.00096,0.00010,0.00003,0.00038,0.00026,0.00049,0.00222
1540821371.416205167770386,0.00106,0.00011,0.00009,0.00039,0.00016,0.00044,0.00225
1540821371.449372768402100,0.00091,0.00012,0.00001,0.00039,0.00022,0.00041,0.00205
1540821371.482537269592285,0.00082,0.00010,0.00002,0.00040,0.00006,0.00044,0.00184
1540821371.515709161758423,0.00091,0.00013,0.00003,0.00040,0.00000,0.00043,0.00189
1540821371.548889636993408,0.00091,0.00013,0.00003,0.00044,0.00002,0.00050,0.00203
1540821371.582069873809814,0.00086,0.00011,0.00002,0.00034,0.00003,0.00042,0.00179
1540821371.615339994430542,0.00086,0.00009,0.00001,0.00034,0.00009,0.00048,0.00187
1540821371.648545980453491,0.00094,0.00010,0.00009,0.00033,0.00007,0.00041,0.00193
1540821371.681710481643677,0.00088,0.00011,0.00003,0.00033,0.00003,0.00040,0.00178
1540821371.714780807495117,0.00088,0.00014,0.00003,0.00035,0.00003,0.00048,0.00191
1540821371.747962713241577,0.00096,0.00013,0.00001,0.00033,0.00004,0.00048,0.00195
1540821371.781119108200073,0.00088,0.00012,0.00004,0.00033,0.00005,0.00043,0.00185
1540821371.814425230026245,0.00093,0.00013,0.00004,0.00033,0.00017,0.00052,0.00213
1540821371.847491264343262,0.00091,0.00010,0.00005,0.00031,0.00022,0.00040,0.00199
1540821371.880693674087524,0.00087,0.00009,0.00002,0.00031,0.00004,0.00040,0.00173
1540821371.913841485977173,0.00089,0.00010,0.00002,0.00032,0.00000,0.00040,0.00172
1540821371.947004556655884,0.00095,0.00013,0.00004,0.00035,0.00001,0.00049,0.00198
1540821371.980101823806763,0.00098,0.00010,0.00003,0.00036,0.00025,0.00051,0.00223
1540821372.013356924057007,0.00090,0.00010,0.00013,0.00034,0.00007,0.00049,0.00203
1540821372.046534299850464,0.00109,0.00011,0.00001,0.00034,0.00026,0.00043,0.00225
1540821372.079730272293091,0.00094,0.00010,0.00002,0.00037,0.00022,0.00042,0.00208
1540821372.112919092178345,0.00094,0.00011,0.00012,0.00038,0.00042,0.00042,0.00240
1540821372.145953178405762,0.00097,0.00013,0.00002,0.00048,0.00003,0.00047,0.00211
1540821372.179089784622192,0.00102,0.00010,0.00027,0.00043,0.00025,0.00048,0.00256
1540821372.212261676788330,0.00092,0.00011,0.00011,0.00046,0.00038,0.00042,0.00239
1540821372.245408535003662,0.00094,0.00011,0.00016,0.00046,0.00061,0.00044,0.00274
1540821372.278618335723877,0.00097,0.00011,0.00011,0.00047,0.00026,0.00043,0.00235
1540821372.311754226684570,0.00088,0.00010,0.00003,0.00044,0.00000,0.00042,0.00188
1540821372.344915628433228,0.00091,0.00011,0.00018,0.00038,0.00002,0.00052,0.00211
1540821372.378095149993896,0.00096,0.00015,0.00003,0.00037,0.00002,0.00046,0.00199
1540821372.411268472671509,0.00093,0.00010,0.00002,0.00037,0.00008,0.00048,0.00199
1540821372.444438457489014,0.00094,0.00013,0.00004,0.00036,0.00005,0.00043,0.00193
1540821372.477642774581909,0.00079,0.00009,0.00002,0.00034,0.00005,0.00041,0.00170
1540821372.510784864425659,0.00082,0.00009,0.00002,0.00027,0.00004,0.00041,0.00166
1540821372.543947935104370,0.00075,0.00009,0.00001,0.00027,0.00004,0.00038,0.00154
1540821372.577180624008179,0.00092,0.00009,0.00002,0.00034,0.00024,0.00043,0.00204
1540821372.610451459884644,0.00089,0.00011,0.00004,0.00029,0.00015,0.00046,0.00194
1540821372.643525362014771,0.00090,0.00012,0.00004,0.00029,0.00076,0.00048,0.00258
1540821372.676766395568848,0.00111,0.00012,0.00003,0.00033,0.00004,0.00044,0.00206
1540821372.709977388381958,0.00089,0.00011,0.00005,0.00028,0.00020,0.00041,0.00194
