# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1540821825.407578706741333,0.20504,0.00012,0.00133,0.00000,0.00000,0.00120,0.20770
1540821825.440750598907471,0.19645,0.00012,0.00297,0.00000,0.00000,0.00108,0.20062
1540821825.473924636840820,0.19970,0.00011,0.00285,0.00000,0.00000,0.00111,0.20377
1540821825.507097482681274,0.20838,0.00012,0.00303,0.00000,0.00000,0.00121,0.21274
1540821825.540310382843018,0.20328,0.00012,0.00311,0.00000,0.00000,0.00125,0.20775
1540821825.585977315902710,0.21819,0.00017,0.00426,0.00000,0.00000,0.00179,0.22441
1540821825.620255231857300,0.20264,0.00014,0.00316,0.00000,0.00000,0.00127,0.20721
1540821825.652148246765137,0.20316,0.00012,0.00301,0.00000,0.00000,0.00650,0.21279
1540821825.684217691421509,0.21528,0.00013,0.00105,0.00000,0.00000,0.00153,0.21799
1540821825.713973999023438,0.21470,0.00012,0.00109,0.00000,0.00000,0.00157,0.21748
1540821825.744697332382202,0.20928,0.00013,0.00147,0.00000,0.00000,0.00156,0.21245
1540821825.809927225112915,0.21160,0.00018,0.00159,0.00000,0.00000,0.00142,0.21480
1540821825.843929290771484,0.20843,0.00013,0.00151,0.00000,0.00000,0.00173,0.21180
1540821825.879149675369263,0.21332,0.00013,0.00186,0.00000,0.00000,0.00151,0.21682
1540821825.912429809570312,0.20958,0.00013,0.00155,0.00000,0.00000,0.00161,0.21286
1540821825.945623397827148,0.20921,0.00015,0.00107,0.00000,0.00000,0.00140,0.21183
1540821825.979518651962280,0.21675,0.00013,0.00112,0.00000,0.00000,0.00139,0.21939
1540821826.012636423110962,0.21956,0.00013,0.00091,0.00000,0.00000,0.00148,0.22209
1540821826.046068429946899,0.20081,0.00011,0.00092,0.00000,0.00000,0.00154,0.20339
1540821826.079081535339355,0.20913,0.00012,0.00088,0.00000,0.00000,0.00149,0.21162
1540821826.112387895584106,0.21202,0.00013,0.00072,0.00000,0.00000,0.00146,0.21433
1540821826.145407438278198,0.21670,0.00011,0.00085,0.00000,0.00000,0.00140,0.21907
1540821826.178479671478271,0.22228,0.00012,0.00082,0.00000,0.00000,0.00139,0.22461
1540821826.211617946624756,0.20109,0.00012,0.00062,0.00000,0.00000,0.00146,0.20331
1540821826.244843006134033,0.21419,0.00012,0.00075,0.00000,0.00000,0.00135,0.21641
1540821826.278142213821411,0.19996,0.00011,0.00089,0.00000,0.00006,0.00129,0.20231
1540821826.311115741729736,0.20594,0.00012,0.00117,0.00000,0.00003,0.00144,0.20871
1540821826.344196319580078,0.20148,0.00016,0.00070,0.00000,0.00014,0.00139,0.20387
1540821826.377166748046875,0.20492,0.00013,0.00099,0.00000,0.00004,0.00140,0.20749
1540821826.410352706909180,0.19976,0.00016,0.00082,0.00000,0.00002,0.00142,0.20218
1540821826.443425893783569,0.20841,0.00013,0.00073,0.00000,0.00002,0.00137,0.21065
1540821826.476619005203247,0.21190,0.00012,0.00065,0.00000,0.00012,0.00122,0.21400
