# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1540821371.177983283996582,0.00152,0.00008,0.00023,0.00000,0.00000,0.00065,0.00248
1540821371.212739229202271,0.00155,0.00008,0.00030,0.00000,0.00000,0.00069,0.00262
1540821371.245830297470093,0.00158,0.00008,0.00006,0.00000,0.00000,0.00063,0.00235
1540821371.279040336608887,0.00155,0.00008,0.00013,0.00000,0.00000,0.00066,0.00242
1540821371.312176227569580,0.00168,0.00010,0.00011,0.00000,0.00000,0.00046,0.00235
1540821371.345422506332397,0.00176,0.00009,0.00015,0.00000,0.00000,0.00073,0.00274
1540821371.378499507904053,0.00168,0.00009,0.00008,0.00000,0.00000,0.00038,0.00223
1540821371.411670684814453,0.00169,0.00009,0.00011,0.00000,0.00000,0.00080,0.00270
1540821371.444845438003540,0.00158,0.00009,0.00008,0.00000,0.00000,0.00041,0.00216
1540821371.478017568588257,0.00162,0.00010,0.00008,0.00000,0.00000,0.00085,0.00265
1540821371.511189699172974,0.00168,0.00010,0.00015,0.00000,0.00000,0.00048,0.00241
1540821371.544363737106323,0.00161,0.00009,0.00011,0.00000,0.00000,0.00078,0.00260
1540821371.577537536621094,0.00172,0.00009,0.00010,0.00000,0.00000,0.00043,0.00234
1540821371.611108064651489,0.00167,0.00009,0.00028,0.00000,0.00000,0.00073,0.00277
1540821371.644792795181274,0.00159,0.00009,0.00013,0.00000,0.00000,0.00046,0.00227
1540821371.678576946258545,0.00163,0.00017,0.00022,0.00000,0.00000,0.00080,0.00282
1540821371.711648464202881,0.00176,0.00009,0.00007,0.00000,0.00000,0.00047,0.00240
1540821371.744913578033447,0.00162,0.00009,0.00018,0.00000,0.00000,0.00074,0.00263
1540821371.778128385543823,0.00147,0.00009,0.00012,0.00000,0.00000,0.00038,0.00207
1540821371.811441421508789,0.00144,0.00008,0.00007,0.00000,0.00000,0.00073,0.00233
1540821371.844519376754761,0.00156,0.00010,0.00009,0.00000,0.00000,0.00047,0.00221
1540821371.877573966979980,0.00171,0.00009,0.00016,0.00000,0.00000,0.00080,0.00277
1540821371.910732030868530,0.00164,0.00010,0.00015,0.00000,0.00000,0.00046,0.00234
1540821371.943906068801880,0.00147,0.00009,0.00008,0.00000,0.00000,0.00074,0.00238
1540821371.977004051208496,0.00152,0.00008,0.00009,0.00000,0.00000,0.00039,0.00208
1540821372.010255098342896,0.00150,0.00008,0.00012,0.00000,0.00000,0.00070,0.00241
1540821372.043431997299194,0.00175,0.00010,0.00011,0.00000,0.00000,0.00048,0.00244
1540821372.078813791275024,0.00156,0.00010,0.00035,0.00000,0.00000,0.00082,0.00284
1540821372.112017631530762,0.00158,0.00010,0.00008,0.00000,0.00000,0.00042,0.00218
1540821372.145068645477295,0.00152,0.00008,0.00011,0.00000,0.00000,0.00069,0.00240
