# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403636861.90180 0.010582 -0.017156 0.144834 0.826581 -0.046320 0.560557 0.019833 0.0000939577 -0.0000403026 0.0002066089 0.0004481282 -0.0000733972 0.0005313437 0.0000169549 -0.0000027916 0.0000016497 0.0000202414 0.0000020952 0.0000057791
1403636861.95175 0.008537 -0.014589 0.115737 0.833287 -0.046771 0.550585 0.017346 0.0001041298 -0.0000394124 0.0002169413 0.0004336177 -0.0000721452 0.0005204598 0.0000130504 -0.0000020687 0.0000005740 0.0000147394 0.0000018089 0.0000053417
1403636862.00161 0.006457 -0.011570 0.086250 0.839750 -0.047851 0.540676 0.014146 0.0001149294 -0.0000387687 0.0002267210 0.0004155751 -0.0000708706 0.0005086437 0.0000100473 -0.0000014551 -0.0000001453 0.0000103923 0.0000014714 0.0000050139
1403636862.05142 0.003995 -0.008079 0.058416 0.845523 -0.049103 0.531546 0.011745 0.0001242006 -0.0000378476 0.0002342966 0.0004070018 -0.0000708528 0.0004982796 0.0000080349 -0.0000010185 -0.0000006402 0.0000072417 0.0000011303 0.0000048048
1403636862.10116 0.001276 -0.004650 0.032705 0.849283 -0.049412 0.525495 0.011505 0.0001315548 -0.0000379363 0.0002392704 0.0003993115 -0.0000701883 0.0004879301 0.0000067880 -0.0000007477 -0.0000008982 0.0000051898 0.0000008329 0.0000047083
1403636862.15089 0.000022 -0.002074 0.010932 0.852386 -0.048825 0.520515 0.010858 0.0001350086 -0.0000376792 0.0002402934 0.0003897428 -0.0000696380 0.0004784654 0.0000061688 -0.0000005968 -0.0000009976 0.0000040830 0.0000006079 0.0000046979
1403636862.20086 -0.001935 -0.000803 -0.005968 0.854529 -0.047075 0.517166 0.010143 0.0001384283 -0.0000403076 0.0002407576 0.0003813494 -0.0000676736 0.0004677731 0.0000059742 -0.0000005486 -0.0000009830 0.0000036587 0.0000004599 0.0000047467
1403636862.25084 -0.003966 -0.000362 -0.016345 0.856074 -0.043677 0.514822 0.013697 0.0001404075 -0.0000433630 0.0002393016 0.0003707950 -0.0000664802 0.0004556794 0.0000059626 -0.0000005307 -0.0000009219 0.0000035654 0.0000003697 0.0000047647
1403636862.30082 -0.005202 0.000025 -0.019135 0.858133 -0.041902 0.511502 0.014794 0.0001416332 -0.0000458806 0.0002374868 0.0003656168 -0.0000637347 0.0004454307 0.0000059793 -0.0000005538 -0.0000008812 0.0000035704 0.0000003362 0.0000047912
1403636862.35083 -0.005602 -0.000353 -0.013380 0.860163 -0.039880 0.508220 0.015549 0.0001439685 -0.0000462246 0.0002367442 0.0003627025 -0.0000613551 0.0004353095 0.0000059805 -0.0000005518 -0.0000008899 0.0000035885 0.0000003444 0.0000047808
1403636862.40085 -0.005064 -0.000456 0.001391 0.860914 -0.038408 0.507043 0.016115 0.0001422844 -0.0000449293 0.0002316104 0.0003567109 -0.0000593945 0.0004222534 0.0000059846 -0.0000005583 -0.0000009481 0.0000037344 0.0000003730 0.0000046525
1403636862.45094 -0.003945 -0.000566 0.023104 0.860464 -0.036128 0.507880 0.018836 0.0001352551 -0.0000426477 0.0002205103 0.0003450614 -0.0000548795 0.0004051371 0.0000062237 -0.0000006324 -0.0000009683 0.0000043477 0.0000003794 0.0000045288
1403636862.50099 -0.002319 -0.001035 0.049404 0.858762 -0.034495 0.510708 0.022717 0.0001264165 -0.0000415882 0.0002074307 0.0003312309 -0.0000478798 0.0003876373 0.0000069516 -0.0000007591 -0.0000008474 0.0000057004 0.0000003621 0.0000045035
1403636862.55107 0.000545 -0.001930 0.079323 0.856325 -0.033056 0.514463 0.030686 0.0001158243 -0.0000433599 0.0001920071 0.0003216655 -0.0000461255 0.0003679954 0.0000082676 -0.0000009527 -0.0000005745 0.0000078652 0.0000003253 0.0000045504
1403636862.60112 0.004334 -0.002149 0.111866 0.852668 -0.029766 0.519766 0.043754 0.0001018088 -0.0000490736 0.0001682574 0.0003102465 -0.0000467065 0.0003314915 0.0000102617 -0.0000013197 -0.0000001212 0.0000104679 0.0000002696 0.0000046518
1403636862.65113 0.008288 -0.000819 0.145766 0.848827 -0.027468 0.525164 0.054233 0.0000894346 -0.0000569320 0.0001465840 0.0002998093 -0.0000537058 0.0002978301 0.0000128499 -0.0000020497 0.0000005620 0.0000134452 0.0000000267 0.0000048457
1403636862.70117 0.010959 -0.000974 0.180438 0.843507 -0.028710 0.533293 0.057184 0.0000800727 -0.0000645924 0.0001281281 0.0002893229 -0.0000628257 0.0002653576 0.0000159213 -0.0000032952 0.0000014266 0.0000166758 -0.0000004362 0.0000051230
1403636862.75117 0.012660 -0.000940 0.214132 0.838877 -0.034483 0.540644 0.052918 0.0000696929 -0.0000650561 0.0001130130 0.0002796955 -0.0000768542 0.0002424391 0.0000190887 -0.0000051509 0.0000023448 0.0000202055 -0.0000010567 0.0000054037
1403636862.80115 0.012673 -0.002926 0.247575 0.834173 -0.040568 0.547848 0.048703 0.0000626623 -0.0000656690 0.0001022657 0.0002680796 -0.0000904920 0.0002244213 0.0000221668 -0.0000075997 0.0000031836 0.0000240880 -0.0000017292 0.0000056243
1403636862.85109 0.011500 -0.004068 0.279146 0.829439 -0.048112 0.554784 0.043941 0.0000544723 -0.0000621611 0.0000917092 0.0002492725 -0.0001040756 0.0002114825 0.0000241160 -0.0000104830 0.0000036912 0.0000280239 -0.0000024502 0.0000057003
1403636862.90108 0.012488 -0.005855 0.309745 0.827845 -0.052713 0.557003 0.040515 0.0000475882 -0.0000560051 0.0000825476 0.0002373845 -0.0001055644 0.0002025049 0.0000264343 -0.0000124462 0.0000045139 0.0000317236 -0.0000029665 0.0000059429
1403636862.95107 0.012906 -0.006296 0.335655 0.825380 -0.056718 0.560523 0.036677 0.0000436895 -0.0000513635 0.0000770958 0.0002292563 -0.0001057713 0.0001967710 0.0000288403 -0.0000142380 0.0000052156 0.0000352754 -0.0000032503 0.0000061606
