# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403637135.43805 0.017910 -0.031173 0.104135 0.838871 -0.061172 0.540250 0.026141 0.0003329332 -0.0000081954 -0.0001497206 0.0000046669 0.0000036519 0.0000727104 0.0025399000 -0.0000010113 -0.0000047477 0.0025298133 -0.0000012814 0.0025325606
1403637135.48814 0.019747 -0.028766 0.145403 0.832487 -0.059369 0.549916 0.032142 0.0003398978 -0.0000045617 -0.0001431936 0.0000044805 0.0000018604 0.0000655667 0.0025385147 -0.0000009599 -0.0000046408 0.0025282726 -0.0000015125 0.0025312455
1403637135.53845 0.021707 -0.030037 0.191025 0.825588 -0.057943 0.560127 0.036127 0.0003466978 -0.0000019225 -0.0001361568 0.0000043995 0.0000006842 0.0000585965 0.0025372324 -0.0000008421 -0.0000046252 0.0025270192 -0.0000015554 0.0025299821
1403637135.58862 0.025328 -0.032007 0.238050 0.819208 -0.056987 0.569127 0.041788 0.0003526411 0.0000012680 -0.0001294334 0.0000043786 -0.0000005503 0.0000525442 0.0025362440 -0.0000006468 -0.0000046345 0.0025262988 -0.0000014365 0.0025284999
1403637135.63870 0.028270 -0.033116 0.282966 0.812856 -0.058173 0.577703 0.046263 0.0003580306 0.0000029225 -0.0001227628 0.0000043924 -0.0000010928 0.0000470556 0.0025352815 -0.0000003838 -0.0000046029 0.0025258010 -0.0000012468 0.0025269532
1403637135.68891 0.030048 -0.035212 0.327176 0.806265 -0.059830 0.586530 0.048366 0.0003632280 0.0000030024 -0.0001157704 0.0000043917 -0.0000010469 0.0000417915 0.0025343778 -0.0000001470 -0.0000045874 0.0025253824 -0.0000009039 0.0025251756
1403637135.73896 0.031012 -0.035188 0.364657 0.800353 -0.062242 0.594407 0.047344 0.0003675415 0.0000006076 -0.0001094886 0.0000043713 -0.0000002596 0.0000374624 0.0025335054 0.0000000815 -0.0000045168 0.0025251840 -0.0000007113 0.0025238263
1403637135.78900 0.031448 -0.035215 0.395198 0.795321 -0.064842 0.601054 0.044655 0.0003709097 -0.0000027218 -0.0001041279 0.0000043973 0.0000006997 0.0000340497 0.0025326256 0.0000002573 -0.0000044493 0.0025250378 -0.0000005199 0.0025225219
1403637135.83903 0.031542 -0.036192 0.417030 0.791926 -0.066614 0.605445 0.043037 0.0003730247 -0.0000048607 -0.0001004933 0.0000044457 0.0000012516 0.0000318794 0.0025317768 0.0000004292 -0.0000043826 0.0025249243 -0.0000003212 0.0025211097
1403637135.88906 0.031960 -0.037534 0.429464 0.789959 -0.068660 0.607915 0.041109 0.0003741129 -0.0000071747 -0.0000984452 0.0000045313 0.0000018395 0.0000307165 0.0025309690 0.0000005997 -0.0000042802 0.0025248738 -0.0000002084 0.0025199127
1403637135.93906 0.032871 -0.039709 0.430618 0.789879 -0.070092 0.607868 0.040928 0.0003740239 -0.0000080029 -0.0000984914 0.0000045645 0.0000020592 0.0000307512 0.0025300654 0.0000008402 -0.0000042761 0.0025247700 0.0000000030 0.0025183795
1403637135.98913 0.033170 -0.041172 0.423023 0.791309 -0.070028 0.606084 0.039855 0.0003730597 -0.0000084189 -0.0001000854 0.0000045737 0.0000022116 0.0000316798 0.0025291392 0.0000010622 -0.0000041658 0.0025246899 0.0000001311 0.0025170087
1403637136.03913 0.032325 -0.041147 0.405578 0.793993 -0.068829 0.602725 0.039506 0.0003714807 -0.0000079145 -0.0001027441 0.0000045158 0.0000021377 0.0000332686 0.0025282175 0.0000012696 -0.0000038889 0.0025245736 0.0000001114 0.0025160330
1403637136.08912 0.032943 -0.041553 0.378942 0.797275 -0.067320 0.598462 0.040780 0.0003692765 -0.0000060292 -0.0001063860 0.0000044112 0.0000016833 0.0000355223 0.0025272737 0.0000013520 -0.0000035390 0.0025242758 0.0000001243 0.0025152689
1403637136.13909 0.034152 -0.040711 0.345147 0.800982 -0.067618 0.593441 0.041032 0.0003665776 -0.0000056803 -0.0001104985 0.0000043516 0.0000016628 0.0000381872 0.0025262279 0.0000013414 -0.0000030988 0.0025239198 0.0000001435 0.0025147454
1403637136.18909 0.034739 -0.039873 0.306430 0.806004 -0.066053 0.586590 0.043668 0.0003628330 -0.0000027835 -0.0001159554 0.0000042625 0.0000008365 0.0000419656 0.0025253392 0.0000012701 -0.0000028342 0.0025234156 0.0000001753 0.0025144025
1403637136.23909 0.035228 -0.038606 0.265110 0.811781 -0.066955 0.578524 0.042882 0.0003580194 -0.0000030120 -0.0001223216 0.0000042522 0.0000009783 0.0000467538 0.0025246796 0.0000012677 -0.0000027183 0.0025227804 0.0000001528 0.0025142185
