# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403638130.64730 -0.001684 0.001728 0.045666 -0.813944 0.000226 -0.579145 0.045670 0.0001286957 0.0000091034 0.0002746863 0.0008921882 -0.0001180011 0.0007292659 0.0002997085 0.0001344260 -0.0002560948 0.0000989553 -0.0000276376 0.0006602135
1403638130.69730 -0.002284 0.000793 0.054306 -0.809737 0.005110 -0.584669 0.049621 0.0001222854 0.0000201658 0.0002654284 0.0008917482 -0.0001212110 0.0007373019 0.0003877950 0.0001823018 -0.0003318876 0.0001425613 -0.0000209050 0.0009112960
1403638130.74730 -0.002784 -0.000019 0.061327 -0.805142 0.013024 -0.590035 0.058615 0.0001164789 0.0000411272 0.0002535138 0.0008890993 -0.0001275405 0.0007470405 0.0005131675 0.0002514413 -0.0004166972 0.0002065833 -0.0000099092 0.0011979161
1403638130.79730 -0.003356 -0.000857 0.066409 -0.802433 0.018549 -0.592684 0.066959 0.0001148677 0.0000582481 0.0002460615 0.0008855909 -0.0001327524 0.0007535878 0.0006981789 0.0003545589 -0.0005117224 0.0003029432 0.0000077207 0.0015304706
1403638130.84730 -0.004319 -0.002183 0.069089 -0.801583 0.019160 -0.593424 0.070322 0.0001149431 0.0000634717 0.0002440936 0.0008839717 -0.0001344177 0.0007567037 0.0009665788 0.0005052330 -0.0006145930 0.0004442839 0.0000344803 0.0019105605
1403638130.89471 0.004216 0.003872 0.080323 -0.800184 0.019652 -0.594927 0.073351 0.0001128340 0.0000651248 0.0002386158 0.0008766983 -0.0001408208 0.0007549566 0.0006700675 0.0002074601 -0.0007145412 0.0001020933 -0.0002083173 0.0011494194
1403638130.94471 0.004730 0.002315 0.077555 -0.796330 0.022246 -0.600034 0.072961 0.0001076465 0.0000691931 0.0002300089 0.0008772429 -0.0001404467 0.0007613305 0.0008599564 0.0002569704 -0.0008878249 0.0001254324 -0.0002686183 0.0013545449
1403638130.99528 -0.001841 -0.000304 0.077240 -0.789444 0.026634 -0.609031 0.071759 0.0000987919 0.0000724229 0.0002154192 0.0008716859 -0.0001412280 0.0007689970 0.0004906220 0.0001657830 -0.0005070513 0.0001074401 -0.0001671263 0.0009316661
1403638131.04528 -0.001750 -0.001874 0.065865 -0.784033 0.030359 -0.615841 0.071490 0.0000920776 0.0000787013 0.0002020486 0.0008722358 -0.0001404719 0.0007772826 0.0006254568 0.0002138672 -0.0006135868 0.0001400285 -0.0002165802 0.0010818862
1403638131.09528 -0.000841 -0.003092 0.049546 -0.782399 0.030677 -0.618193 0.068902 0.0000899453 0.0000764039 0.0001991948 0.0008742332 -0.0001389684 0.0007796530 0.0007956324 0.0002759098 -0.0007366040 0.0001823525 -0.0002747677 0.0012475091
