# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715279.56100 0.135014 0.022279 0.121465 0.812935 -0.004671 0.582334 0.001299 0.0003612523 -0.0000011223 -0.0001213907 0.0000059610 0.0000000722 0.0000463233 0.0025530048 -0.0000013730 0.0000025764 0.0025490234 0.0000004125 0.0025562517
1403715279.61100 0.137677 0.021702 0.122373 0.813181 -0.004619 0.581990 0.001615 0.0003611215 -0.0000011625 -0.0001213182 0.0000055983 0.0000001780 0.0000461616 0.0025510282 -0.0000012845 0.0000039479 0.0025483521 0.0000003098 0.0025531890
1403715279.66098 0.138828 0.019604 0.123681 0.813225 -0.004206 0.581933 0.001335 0.0003608258 -0.0000010379 -0.0001214362 0.0000053009 0.0000001370 0.0000461454 0.0025490098 -0.0000013459 0.0000053568 0.0025473067 -0.0000001885 0.0025493272
1403715279.71105 0.139850 0.018385 0.126434 0.813119 -0.004182 0.582080 0.001373 0.0003609871 -0.0000011502 -0.0001210530 0.0000051748 0.0000002280 0.0000457892 0.0025475838 -0.0000013490 0.0000060411 0.0025463209 -0.0000003714 0.0025468809
1403715279.76102 0.140765 0.017557 0.130365 0.813247 -0.004178 0.581903 0.001297 0.0003607722 -0.0000011407 -0.0001211737 0.0000050673 0.0000002628 0.0000458356 0.0025463898 -0.0000014116 0.0000066169 0.0025454591 -0.0000005300 0.0025441646
1403715279.81105 0.141187 0.016443 0.135257 0.813469 -0.004498 0.581590 0.001119 0.0003604765 -0.0000014132 -0.0001214079 0.0000049802 0.0000003834 0.0000459816 0.0025453627 -0.0000015193 0.0000071205 0.0025446243 -0.0000006547 0.0025415579
1403715279.86100 0.141169 0.015417 0.141096 0.813801 -0.004368 0.581126 0.001099 0.0003601258 -0.0000013308 -0.0001217270 0.0000049067 0.0000003750 0.0000462041 0.0025445413 -0.0000015815 0.0000075675 0.0025438957 -0.0000007553 0.0025389343
1403715279.91098 0.141164 0.014442 0.146828 0.814292 -0.004349 0.580438 0.001275 0.0003595454 -0.0000011948 -0.0001223184 0.0000048194 0.0000003424 0.0000466495 0.0025436559 -0.0000016442 0.0000081396 0.0025432378 -0.0000008392 0.0025361173
1403715279.96094 0.141262 0.013614 0.154331 0.815853 -0.004140 0.578242 0.001703 0.0003581930 -0.0000008148 -0.0001239164 0.0000047831 0.0000002262 0.0000479045 0.0025430797 -0.0000017293 0.0000083439 0.0025427693 -0.0000008954 0.0025340911
1403715280.01089 0.141537 0.012982 0.160852 0.819255 -0.004329 0.573411 0.001730 0.0003551089 -0.0000008519 -0.0001275673 0.0000047542 0.0000002546 0.0000508943 0.0025422104 -0.0000018071 0.0000084777 0.0025424585 -0.0000008961 0.0025321775
1403715280.06089 0.141599 0.012330 0.167262 0.823637 -0.004299 0.567098 0.001844 0.0003510698 -0.0000007316 -0.0001321281 0.0000047512 0.0000002259 0.0000548483 0.0025409797 -0.0000018804 0.0000083155 0.0025422077 -0.0000009057 0.0025310298
1403715280.11095 0.142117 0.011376 0.174153 0.827538 -0.002576 0.561385 0.004618 0.0003472850 0.0000017055 -0.0001361562 0.0000047646 -0.0000007277 0.0000585551 0.0025395755 -0.0000019750 0.0000082360 0.0025419070 -0.0000009263 0.0025302397
1403715280.16124 0.142790 0.009916 0.181632 0.829791 -0.000705 0.558030 0.007020 0.0003449926 0.0000039575 -0.0001384194 0.0000048072 -0.0000016558 0.0000607390 0.0025383769 -0.0000021048 0.0000083463 0.0025416902 -0.0000009679 0.0025295820
1403715280.21165 0.144457 0.008040 0.189786 0.830653 0.002324 0.556674 0.011129 0.0003439446 0.0000077188 -0.0001392549 0.0000049312 -0.0000032020 0.0000615854 0.0025374893 -0.0000022516 0.0000086472 0.0025415032 -0.0000009140 0.0025288954
