# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715529.56335 0.075271 0.115957 0.269446 -0.823011 -0.068450 -0.562792 0.035104 0.0003504258 0.0000081268 -0.0001351510 0.0000054541 -0.0000032364 0.0000575488 0.0025245467 -0.0000036356 0.0000012103 0.0025168696 0.0000007644 0.0025075076
1403715529.61329 0.082135 0.125522 0.277685 -0.821880 -0.073557 -0.563641 0.037567 0.0003508964 0.0000086588 -0.0001345720 0.0000054854 -0.0000034089 0.0000570445 0.0025258435 -0.0000042671 0.0000011933 0.0025174170 0.0000007781 0.0025074895
1403715529.66325 0.089168 0.135357 0.284351 -0.820405 -0.077700 -0.565063 0.040022 0.0003518450 0.0000090422 -0.0001334363 0.0000054904 -0.0000034900 0.0000560386 0.0025274019 -0.0000049709 0.0000011887 0.0025180058 0.0000007908 0.0025074993
1403715529.71322 0.097171 0.145983 0.290927 -0.819049 -0.082652 -0.566286 0.040580 0.0003524591 0.0000107035 -0.0001324208 0.0000054827 -0.0000040646 0.0000551091 0.0025288243 -0.0000058052 0.0000012017 0.0025183858 0.0000007276 0.0025075190
1403715529.76319 0.106114 0.157453 0.297904 -0.818570 -0.086613 -0.566311 0.041625 0.0003524880 0.0000115685 -0.0001321920 0.0000053722 -0.0000043615 0.0000548514 0.0025300884 -0.0000066387 0.0000012098 0.0025189012 0.0000007036 0.0025075858
1403715529.81323 0.116029 0.169988 0.306135 -0.817856 -0.088771 -0.566867 0.043505 0.0003528396 0.0000112652 -0.0001316813 0.0000051612 -0.0000042092 0.0000543089 0.0025312579 -0.0000075666 0.0000012137 0.0025194634 0.0000007157 0.0025076761
1403715529.86326 0.126158 0.181931 0.315244 -0.817503 -0.090683 -0.566969 0.044852 0.0003529623 0.0000113813 -0.0001315536 0.0000050744 -0.0000042355 0.0000541813 0.0025331767 -0.0000086587 0.0000012824 0.0025204936 0.0000007377 0.0025078068
1403715529.91322 0.134759 0.195491 0.325911 -0.816267 -0.091288 -0.568454 0.047275 0.0003539189 0.0000101360 -0.0001305428 0.0000048234 -0.0000037299 0.0000532480 0.0025347320 -0.0000098721 0.0000014006 0.0025217618 0.0000008065 0.0025079308
1403715529.96322 0.145636 0.209275 0.337232 -0.814980 -0.091776 -0.570093 0.048770 0.0003552484 0.0000095493 -0.0001290134 0.0000046555 -0.0000034852 0.0000518971 0.0025367837 -0.0000111656 0.0000015722 0.0025229774 0.0000009102 0.0025080678
1403715530.01313 0.155530 0.222992 0.350085 -0.812666 -0.093491 -0.573119 0.048652 0.0003568943 0.0000107456 -0.0001269606 0.0000046631 -0.0000038616 0.0000501752 0.0025391997 -0.0000127441 0.0000016665 0.0025247300 0.0000010153 0.0025082556
1403715530.06298 0.164816 0.237341 0.364823 -0.809192 -0.095894 -0.577737 0.047244 0.0003593993 0.0000131307 -0.0001236724 0.0000047650 -0.0000045723 0.0000475333 0.0025419354 -0.0000142756 0.0000018367 0.0025265459 0.0000011061 0.0025084866
1403715530.11296 0.173228 0.253389 0.380339 -0.805849 -0.098858 -0.582125 0.044325 0.0003616904 0.0000165675 -0.0001203589 0.0000050426 -0.0000055833 0.0000449889 0.0025451054 -0.0000158623 0.0000019246 0.0025282888 0.0000012032 0.0025087940
1403715530.16313 0.180542 0.269001 0.396455 -0.804774 -0.101211 -0.583430 0.041287 0.0003619656 0.0000197578 -0.0001195829 0.0000053525 -0.0000066179 0.0000444207 0.0025489898 -0.0000173906 0.0000020529 0.0025297824 0.0000013481 0.0025091522
1403715530.21330 0.187312 0.286313 0.414562 -0.805579 -0.103478 -0.582137 0.038090 0.0003608088 0.0000224757 -0.0001207203 0.0000056803 -0.0000076281 0.0000453151 0.0025532235 -0.0000189001 0.0000021347 0.0025312786 0.0000015315 0.0025095622
1403715530.26345 0.193007 0.305545 0.435294 -0.807457 -0.105573 -0.579383 0.034402 0.0003586621 0.0000252531 -0.0001230100 0.0000060554 -0.0000087951 0.0000471194 0.0025580387 -0.0000206164 0.0000021917 0.0025324931 0.0000017485 0.0025100096
1403715530.31353 0.197081 0.326615 0.459834 -0.808768 -0.106930 -0.577437 0.032055 0.0003570432 0.0000270440 -0.0001247008 0.0000062940 -0.0000096106 0.0000484820 0.0025635958 -0.0000225410 0.0000022412 0.0025336419 0.0000020110 0.0025104989
1403715530.36350 0.201231 0.348150 0.487730 -0.810226 -0.105148 -0.575624 0.033685 0.0003562924 0.0000251593 -0.0001259732 0.0000059754 -0.0000090774 0.0000494484 0.0025699247 -0.0000246487 0.0000023208 0.0025345077 0.0000022965 0.0025110092
1403715530.41351 0.205519 0.371052 0.518712 -0.811374 -0.102898 -0.574212 0.036948 0.0003558760 0.0000220818 -0.0001269434 0.0000055005 -0.0000080710 0.0000501604 0.0025766681 -0.0000269841 0.0000023565 0.0025355511 0.0000025606 0.0025115376
1403715530.46345 0.210100 0.395693 0.551764 -0.812241 -0.101928 -0.572842 0.041566 0.0003556830 0.0000186501 -0.0001276649 0.0000050746 -0.0000068984 0.0000506663 0.0025843649 -0.0000296870 0.0000023705 0.0025367501 0.0000028351 0.0025121029
1403715530.51331 0.212843 0.418856 0.584807 -0.812416 -0.103088 -0.572064 0.045779 0.0003555562 0.0000168510 -0.0001279417 0.0000048404 -0.0000062926 0.0000508303 0.0025929266 -0.0000329160 0.0000024108 0.0025380443 0.0000031742 0.0025126821
1403715530.56331 0.216462 0.444491 0.616033 -0.812643 -0.105107 -0.571024 0.049955 0.0003552133 0.0000148662 -0.0001285522 0.0000046444 -0.0000056142 0.0000513005 0.0026016275 -0.0000355018 0.0000023857 0.0025392903 0.0000035454 0.0025133776
1403715530.61332 0.219898 0.470084 0.644307 -0.812461 -0.107566 -0.570489 0.053666 0.0003551226 0.0000137450 -0.0001286372 0.0000045190 -0.0000052286 0.0000513417 0.0026115588 -0.0000386745 0.0000023334 0.0025405529 0.0000039509 0.0025141430
1403715530.66330 0.224730 0.498410 0.669630 -0.811855 -0.109397 -0.570672 0.057066 0.0003555838 0.0000123370 -0.0001282625 0.0000043975 -0.0000047229 0.0000509901 0.0026219315 -0.0000419020 0.0000022488 0.0025417931 0.0000044263 0.0025150033
1403715530.71323 0.223337 0.523332 0.691203 -0.811253 -0.111563 -0.570705 0.060974 0.0003556987 0.0000110927 -0.0001282583 0.0000042837 -0.0000043123 0.0000509325 0.0026328473 -0.0000467913 0.0000019228 0.0025425270 0.0000046742 0.0025158734
1403715530.76319 0.225680 0.550768 0.712495 -0.810902 -0.115409 -0.569949 0.065403 0.0003557351 0.0000098961 -0.0001283200 0.0000041960 -0.0000038934 0.0000509508 0.0026441969 -0.0000491125 0.0000017808 0.0025425278 0.0000049146 0.0025166489
1403715530.81317 0.227869 0.578593 0.733191 -0.810271 -0.120582 -0.569119 0.070882 0.0003556269 0.0000088101 -0.0001285875 0.0000041320 -0.0000035185 0.0000511542 0.0026575873 -0.0000524527 0.0000016526 0.0025435336 0.0000051865 0.0025175291
1403715530.86313 0.232286 0.608004 0.754469 -0.809405 -0.126784 -0.568216 0.076940 0.0003557705 0.0000077357 -0.0001285371 0.0000040583 -0.0000031289 0.0000510846 0.0026712494 -0.0000559789 0.0000013336 0.0025440742 0.0000051155 0.0025182046
1403715530.91312 0.233300 0.636565 0.774489 -0.808631 -0.132624 -0.567242 0.082241 0.0003554717 0.0000069292 -0.0001289866 0.0000040133 -0.0000028537 0.0000514459 0.0026865817 -0.0000602569 0.0000010920 0.0025454481 0.0000053024 0.0025190711
1403715530.96307 0.238029 0.666791 0.794715 -0.808455 -0.139153 -0.565566 0.084687 0.0003548243 0.0000079945 -0.0001297493 0.0000040381 -0.0000032749 0.0000520801 0.0027015815 -0.0000637186 0.0000007428 0.0025459147 0.0000054087 0.0025198684
1403715531.01305 0.239185 0.695247 0.813004 -0.810698 -0.143813 -0.560614 0.088301 0.0003519221 0.0000071357 -0.0001331682 0.0000039839 -0.0000030565 0.0000550536 0.0027181635 -0.0000683335 0.0000003832 0.0025473784 0.0000056598 0.0025207263
1403715531.06296 0.241423 0.725116 0.828836 -0.815099 -0.148746 -0.552619 0.090002 0.0003470819 0.0000066932 -0.0001384393 0.0000039344 -0.0000030386 0.0000599289 0.0027339372 -0.0000718066 0.0000002099 0.0025478171 0.0000058697 0.0025212702
1403715531.11290 0.242212 0.755468 0.846051 -0.820960 -0.152561 -0.542502 0.091871 0.0003404136 0.0000055498 -0.0001451449 0.0000038764 -0.0000027422 0.0000666786 0.0027514675 -0.0000757631 -0.0000000339 0.0025486583 0.0000061340 0.0025219763
1403715531.16289 0.247194 0.785988 0.862286 -0.826028 -0.155269 -0.533701 0.093440 0.0003346858 0.0000043801 -0.0001504330 0.0000038201 -0.0000023512 0.0000724759 0.0027700010 -0.0000795619 -0.0000004053 0.0025493464 0.0000063632 0.0025225782
1403715531.21291 0.250166 0.817515 0.877237 -0.830166 -0.153474 -0.526446 0.100625 0.0003304289 -0.0000017793 -0.0001541554 0.0000037479 0.0000004699 0.0000768173 0.0027897677 -0.0000850376 -0.0000004892 0.0025510130 0.0000064881 0.0025227938
