# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715894.13364 -0.076108 0.015766 0.060302 0.826526 0.004339 0.562854 0.005501 0.0003675132 0.0000109967 -0.0001410767 0.0000161086 -0.0000040261 0.0000633979 0.0025641383 -0.0000005241 -0.0000232441 0.0025412797 0.0000021930 0.0025602001
1403715894.18403 -0.077362 0.018101 0.067053 0.824184 0.009896 0.566155 0.009542 0.0003674745 0.0000146137 -0.0001366209 0.0000142276 -0.0000051607 0.0000593186 0.0025584297 -0.0000011674 -0.0000214469 0.0025406101 0.0000027945 0.0025591519
1403715894.23442 -0.071838 0.015137 0.067801 0.819909 0.018998 0.572098 0.009572 0.0003595426 0.0000163530 -0.0001293800 0.0000082801 -0.0000052115 0.0000539747 0.0025457073 -0.0000004189 -0.0000157483 0.0025371841 0.0000014070 0.0025540460
1403715894.28471 -0.071910 0.018399 0.076525 0.815986 0.023623 0.577415 0.014163 0.0003615517 0.0000211968 -0.0001246651 0.0000079309 -0.0000067415 0.0000500462 0.0025411964 -0.0000007966 -0.0000119254 0.0025361258 0.0000015107 0.0025497256
1403715894.33494 -0.071505 0.022023 0.084511 0.813448 0.027758 0.580700 0.017865 0.0003624457 0.0000250395 -0.0001217956 0.0000080228 -0.0000079300 0.0000478374 0.0025388707 -0.0000008321 -0.0000101203 0.0025356459 0.0000017879 0.0025477476
1403715894.38521 -0.071142 0.021144 0.090969 0.811445 0.030585 0.583308 0.019320 0.0003622505 0.0000273976 -0.0001196488 0.0000077818 -0.0000088531 0.0000457722 0.0025350707 -0.0000003418 -0.0000073444 0.0025336260 0.0000010162 0.0025419814
1403715894.43529 -0.075705 0.020521 0.094444 0.810667 0.030970 0.584364 0.019439 0.0003617969 0.0000273840 -0.0001190355 0.0000074995 -0.0000090294 0.0000448457 0.0025330118 -0.0000001949 -0.0000063545 0.0025318692 0.0000004414 0.0025379584
1403715894.48519 -0.087600 0.027175 0.105911 0.812638 0.029449 0.581685 0.019886 0.0003609185 0.0000252010 -0.0001203444 0.0000070498 -0.0000084784 0.0000455320 0.0025312101 -0.0000002498 -0.0000051778 0.0025310733 0.0000005815 0.0025339510
1403715894.53496 -0.095956 0.038493 0.113499 0.815744 0.027361 0.577494 0.017700 0.0003587375 0.0000232487 -0.0001233847 0.0000067014 -0.0000080646 0.0000477295 0.0025303696 0.0000003621 -0.0000042356 0.0025316673 0.0000008318 0.0025316838
1403715894.58506 -0.101749 0.048108 0.117875 0.818130 0.026060 0.574218 0.016056 0.0003565583 0.0000217123 -0.0001261812 0.0000064204 -0.0000077417 0.0000498979 0.0025300780 0.0000010948 -0.0000032138 0.0025323872 0.0000008807 0.0025298931
1403715894.63519 -0.105343 0.059005 0.119213 0.819724 0.024450 0.572068 0.013889 0.0003551526 0.0000194445 -0.0001282960 0.0000061500 -0.0000070788 0.0000516196 0.0025301930 0.0000017151 -0.0000023754 0.0025331892 0.0000008653 0.0025288600
1403715894.68539 -0.107337 0.071368 0.119297 0.821587 0.021754 0.569576 0.010247 0.0003539758 0.0000159404 -0.0001302779 0.0000058030 -0.0000059105 0.0000532570 0.0025305573 0.0000022899 -0.0000016172 0.0025338792 0.0000008886 0.0025278346
