# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403636860.90148 -0.005377 -0.004336 -0.001179 0.855353 -0.045656 0.515692 0.018671 0.0002305632 -0.0000508790 0.0003739025 0.0009829068 -0.0000423105 0.0007300182 0.0002809727 -0.0003122119 -0.0002950446 0.0006178702 0.0005161802 0.0008011591
1403636860.95158 -0.006792 -0.001184 0.019244 0.854922 -0.042523 0.516657 0.019140 0.0002208069 -0.0000373054 0.0003560350 0.0009232919 -0.0000155025 0.0006977695 0.0000881901 0.0000180612 0.0000116269 0.0000252857 -0.0000305085 0.0002647557
1403636860.99956 -0.005777 -0.001409 0.044161 0.852687 -0.040823 0.520456 0.019593 0.0002166354 -0.0000416901 0.0003526029 0.0008975285 -0.0000169248 0.0007017447 0.0000901295 0.0000180370 0.0000130543 0.0000275396 -0.0000291479 0.0002620478
1403636861.05123 -0.005058 -0.002046 0.068998 0.850503 -0.040332 0.524067 0.019284 0.0002073180 -0.0000417605 0.0003456777 0.0008862214 -0.0000191871 0.0007107556 0.0000944759 0.0000178606 0.0000157057 0.0000314267 -0.0000277535 0.0002647136
1403636861.10109 -0.004347 -0.002545 0.097897 0.844659 -0.040713 0.533408 0.019206 0.0001971543 -0.0000438395 0.0003370384 0.0008572258 -0.0000268570 0.0007185304 0.0001009041 0.0000173898 0.0000183387 0.0000371072 -0.0000267439 0.0002704324
1403636861.15183 -0.002370 -0.004275 0.126390 0.839078 -0.040719 0.542114 0.020066 0.0001798130 -0.0000446146 0.0003217413 0.0008359777 -0.0000359823 0.0007323313 0.0001086118 0.0000166483 0.0000199956 0.0000439151 -0.0000260797 0.0002734358
1403636861.20078 -0.000614 -0.006203 0.156466 0.831776 -0.039695 0.553282 0.021246 0.0001646481 -0.0000469157 0.0003074651 0.0008230459 -0.0000411598 0.0007452032 0.0001189629 0.0000157125 0.0000210993 0.0000522750 -0.0000249276 0.0002709482
1403636861.25087 0.001626 -0.008539 0.184777 0.825417 -0.038755 0.562755 0.022162 0.0001486069 -0.0000464796 0.0002909898 0.0008192842 -0.0000428491 0.0007608423 0.0001325173 0.0000148101 0.0000239962 0.0000624404 -0.0000239841 0.0002778194
1403636861.30095 0.002163 -0.008455 0.215121 0.818424 -0.038770 0.572854 0.022755 0.0001348779 -0.0000448201 0.0002764507 0.0008158008 -0.0000456646 0.0007723902 0.0001471323 0.0000136365 0.0000250651 0.0000725240 -0.0000219899 0.0002789555
1403636861.35116 0.002372 -0.010181 0.240013 0.812003 -0.039305 0.581857 0.023404 0.0001234188 -0.0000442460 0.0002622195 0.0008161078 -0.0000460781 0.0007840257 0.0001666974 0.0000126243 0.0000285729 0.0000855727 -0.0000213487 0.0002924919
1403636861.40068 0.003373 -0.013004 0.261672 0.805638 -0.040863 0.590547 0.023065 0.0001132723 -0.0000408716 0.0002491290 0.0008132747 -0.0000470899 0.0007937682 0.0001858943 0.0000129272 0.0000306562 0.0000958668 -0.0000204720 0.0003048940
1403636861.45028 0.004192 -0.013443 0.276354 0.800578 -0.041557 0.597285 0.024472 0.0001046971 -0.0000401481 0.0002368725 0.0008085956 -0.0000471543 0.0008023099 0.0002037758 0.0000131979 0.0000330299 0.0001043377 -0.0000196631 0.0003189715
1403636861.49993 0.004318 -0.013915 0.286305 0.796630 -0.042270 0.602450 0.025461 0.0000990194 -0.0000388545 0.0002282163 0.0008052610 -0.0000470496 0.0008079704 0.0002241788 0.0000133241 0.0000348089 0.0001099962 -0.0000196296 0.0003348577
1403636861.55000 0.003321 -0.016298 0.281451 0.795862 -0.043538 0.603310 0.026922 0.0000966200 -0.0000403598 0.0002239119 0.0008020049 -0.0000460578 0.0008102578 0.0002384734 0.0000115808 0.0000344710 0.0001129752 -0.0000203986 0.0003505133
1403636861.59979 0.006392 -0.014788 0.275928 0.796342 -0.043194 0.602669 0.027635 0.0000989793 -0.0000397678 0.0002274903 0.0007970839 -0.0000456041 0.0008079554 0.0002457245 0.0000097723 0.0000330323 0.0001084444 -0.0000209749 0.0003673101
1403636861.64967 0.006969 -0.014170 0.256763 0.799105 -0.043306 0.599046 0.026445 0.0001021850 -0.0000395092 0.0002324620 0.0007928159 -0.0000447377 0.0008050498 0.0002578064 0.0000081124 0.0000306132 0.0001057067 -0.0000231435 0.0003926499
1403636861.69965 0.008465 -0.013843 0.232140 0.802675 -0.043040 0.594317 0.025454 0.0001076741 -0.0000397069 0.0002404998 0.0007914066 -0.0000436475 0.0008003956 0.0002720472 0.0000078591 0.0000293469 0.0000987079 -0.0000254683 0.0004215352
1403636861.75013 0.004077 -0.015737 0.214374 0.806093 -0.041872 0.589771 0.025128 0.0001138491 -0.0000403020 0.0002486976 0.0007847839 -0.0000406600 0.0007930406 0.0001794648 0.0000097346 0.0000189547 0.0000816671 -0.0000240127 0.0003575778
1403636861.80059 0.003785 -0.017945 0.190447 0.809606 -0.040664 0.585012 0.025393 0.0001196728 -0.0000419056 0.0002562512 0.0007792463 -0.0000377019 0.0007872755 0.0001597070 0.0000166908 0.0000210401 0.0000711671 -0.0000250455 0.0003578263
1403636861.85083 0.003594 -0.017320 0.164883 0.813318 -0.039985 0.579971 0.023407 0.0001255750 -0.0000397959 0.0002640279 0.0007714675 -0.0000358317 0.0007812696 0.0001445084 0.0000171576 0.0000229160 0.0000600308 -0.0000245226 0.0003610615
1403636861.90084 0.002497 -0.015982 0.135382 0.817980 -0.039606 0.573503 0.020821 0.0001344732 -0.0000376028 0.0002750022 0.0007671611 -0.0000347268 0.0007731148 0.0001418867 0.0000192424 0.0000218854 0.0000545168 -0.0000260842 0.0003779620
