# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403637134.53832 0.024218 -0.097894 0.273662 0.782663 -0.062732 0.618708 0.026533 0.0010144802 -0.0000001427 0.0000002082 0.0010137105 -0.0000000837 0.0010132615 0.0314164291 0.0000008912 -0.0000935604 0.0314110511 0.0003478606 0.0028984236
1403637134.58832 0.027781 -0.107224 0.254416 0.784542 -0.064197 0.616169 0.026636 0.0010649776 -0.0000002447 0.0000001950 0.0010641471 -0.0000000756 0.0010635961 0.0363317358 0.0000011949 -0.0001180600 0.0363253228 0.0004168637 0.0029532101
1403637134.63832 0.031642 -0.117741 0.226862 0.788143 -0.063828 0.611523 0.028226 0.0011175032 -0.0000003316 0.0000001750 0.0011165705 -0.0000000674 0.0011159413 0.0418251469 0.0000015778 -0.0001473374 0.0418174820 0.0005000394 0.0030138626
1403637134.68832 0.035698 -0.128920 0.191487 0.792909 -0.062595 0.605408 0.029313 0.0011720580 -0.0000003948 0.0000001511 0.0011709888 -0.0000000616 0.0011703084 0.0479486767 0.0000020289 -0.0001813310 0.0479395404 0.0005962981 0.0030807598
1403637134.73832 0.039993 -0.140190 0.149781 0.799053 -0.060955 0.597530 0.027506 0.0012286320 -0.0000004284 0.0000001234 0.0012274122 -0.0000000592 0.0012266996 0.0547728733 0.0000025391 -0.0002208183 0.0547620730 0.0007033732 0.0031542574
1403637134.78832 0.043569 -0.151334 0.104282 0.806465 -0.058960 0.587803 0.024996 0.0012872056 -0.0000004250 0.0000000835 0.0012858530 -0.0000000545 0.0012851086 0.0623935517 0.0000030440 -0.0002593973 0.0623808437 0.0008207530 0.0032346875
1403637134.83365 0.114805 -0.004959 0.063756 0.813676 -0.052605 0.578159 0.029942 0.0011964454 -0.0000364256 -0.0001462861 0.0006264161 0.0001062837 0.0002958718 0.0283121675 0.0000290436 -0.0001628844 0.0077009656 0.0001211738 0.0032911189
1403637134.88384 0.098243 0.022899 0.022035 0.819371 -0.057959 0.569578 0.029197 0.0009732727 0.0000627876 -0.0000710706 0.0006175439 0.0000735165 0.0002799603 0.0296317877 0.0019729703 -0.0004725230 0.0064164892 0.0000874798 0.0033798240
1403637134.93637 0.029091 0.010301 -0.012048 0.822820 -0.063091 0.564370 0.021754 0.0005331677 -0.0000058057 -0.0001091005 0.0001394727 0.0000213647 0.0001350188 0.0062630626 0.0001100227 -0.0005009819 0.0036477333 -0.0000571614 0.0032827425
1403637134.98744 0.031204 0.007932 -0.048712 0.825631 -0.066338 0.560087 0.015330 0.0005025989 -0.0000287536 -0.0001263963 0.0001078014 0.0000100836 0.0001115493 0.0050290959 -0.0001505099 -0.0004337633 0.0035477218 -0.0000798319 0.0033276999
1403637135.03787 -0.004065 -0.006470 -0.079513 0.825968 -0.066314 0.559642 0.013392 0.0004064572 -0.0000211503 -0.0001406584 0.0000557431 0.0000147802 0.0000936558 0.0037184507 0.0003794791 -0.0002645453 0.0031672567 -0.0002270031 0.0029448138
1403637135.08917 0.009212 -0.005463 -0.112118 0.826339 -0.067597 0.558976 0.011822 0.0003967064 -0.0000273529 -0.0001425871 0.0000483344 0.0000138539 0.0000858858 0.0035886561 0.0003364830 -0.0002178473 0.0031303280 -0.0002226499 0.0029590535
1403637135.13882 0.040062 -0.013948 -0.131266 0.829674 -0.065020 0.554352 0.010377 0.0003695229 -0.0000194792 -0.0001449506 0.0000272759 0.0000130681 0.0000783473 0.0031602534 0.0002634183 -0.0001803439 0.0029509132 -0.0001254971 0.0028189579
1403637135.18861 0.041907 -0.005833 -0.142464 0.832553 -0.063845 0.550097 0.013140 0.0003483581 -0.0000182226 -0.0001453124 0.0000206150 0.0000113098 0.0000757569 0.0028285621 0.0000650890 -0.0000340692 0.0027568323 -0.0000188834 0.0026978276
1403637135.23831 0.033508 -0.004998 -0.131862 0.837680 -0.062407 0.542378 0.014988 0.0003418228 -0.0000159527 -0.0001490690 0.0000124797 0.0000094019 0.0000779498 0.0027436841 0.0000417592 -0.0000350721 0.0027186530 -0.0000149623 0.0026385469
1403637135.28851 0.032288 -0.009844 -0.121023 0.841230 -0.061321 0.536952 0.015933 0.0003363919 -0.0000143951 -0.0001527504 0.0000111077 0.0000081087 0.0000812708 0.0027150253 0.0000327780 -0.0000301034 0.0026937900 -0.0000075311 0.0026265096
1403637135.33869 0.032291 -0.011952 -0.105404 0.841830 -0.061491 0.535944 0.017492 0.0003357168 -0.0000129991 -0.0001530405 0.0000108598 0.0000073515 0.0000816654 0.0027049779 0.0000274142 -0.0000286481 0.0026799213 -0.0000062640 0.0026291996
1403637135.38950 0.041132 -0.013305 -0.081427 0.838359 -0.060667 0.541355 0.020201 0.0003388567 -0.0000113098 -0.0001498842 0.0000100700 0.0000062354 0.0000778990 0.0026957935 0.0000241589 -0.0000281651 0.0026665358 -0.0000045809 0.0026327044
1403637135.44019 0.045796 -0.007026 -0.049259 0.832116 -0.060354 0.550810 0.023416 0.0003458947 -0.0000084795 -0.0001432736 0.0000094904 0.0000047844 0.0000705094 0.0026911436 0.0000209074 -0.0000275833 0.0026589797 -0.0000046092 0.0026342278
1403637135.49071 0.051311 0.000915 -0.004194 0.824344 -0.059292 0.562269 0.028200 0.0003533679 -0.0000059257 -0.0001348145 0.0000091308 0.0000033150 0.0000625695 0.0026883796 0.0000179435 -0.0000287383 0.0026504281 -0.0000062093 0.0026350011
1403637135.54072 0.058815 -0.001931 0.041954 0.817657 -0.058433 0.571725 0.033964 0.0003594114 -0.0000047762 -0.0001264078 0.0000085698 0.0000022245 0.0000546929 0.0026768336 0.0000178218 -0.0000293099 0.0026414655 -0.0000060048 0.0026337607
1403637135.59067 0.063305 -0.007078 0.087049 0.811704 -0.057746 0.579820 0.040122 0.0003636477 -0.0000009799 -0.0001197913 0.0000076215 0.0000006208 0.0000495923 0.0026608187 0.0000162087 -0.0000273681 0.0026306514 -0.0000045641 0.0026263988
1403637135.64063 0.065143 -0.006727 0.128565 0.805251 -0.059675 0.588173 0.045416 0.0003672389 0.0000004892 -0.0001136827 0.0000074423 -0.0000001622 0.0000450650 0.0026551756 0.0000160630 -0.0000282884 0.0026232735 -0.0000044164 0.0026257014
1403637135.69045 0.065603 -0.006250 0.165522 0.798200 -0.061623 0.597312 0.047944 0.0003719062 0.0000005653 -0.0001064597 0.0000075411 -0.0000001776 0.0000404948 0.0026508486 0.0000150068 -0.0000280650 0.0026161135 -0.0000046506 0.0026273464
1403637135.74026 0.064464 -0.005763 0.198280 0.792023 -0.064110 0.605264 0.047384 0.0003758833 -0.0000017394 -0.0000996714 0.0000076379 0.0000003838 0.0000363895 0.0026469612 0.0000147578 -0.0000276661 0.0026084837 -0.0000049509 0.0026289327
1403637135.79004 0.059768 -0.004204 0.223857 0.786611 -0.066833 0.612189 0.044740 0.0003789776 -0.0000048381 -0.0000939072 0.0000078386 0.0000011623 0.0000333467 0.0026444368 0.0000140665 -0.0000265363 0.0026016536 -0.0000053069 0.0026309113
