# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403638133.24510 0.002906 -0.046228 -0.049842 -0.791387 0.018741 -0.609380 0.044847 0.0001206400 0.0000873935 0.0002738977 0.0011266217 -0.0000322517 0.0010002543 0.0065210396 0.0004973693 -0.0003508326 0.0033901412 0.0006757323 0.0097846908
1403638133.29510 0.002259 -0.064154 -0.061384 -0.792351 0.023881 -0.608575 0.035293 0.0001216835 0.0000780091 0.0002775632 0.0011300656 -0.0000287844 0.0009989341 0.0098393081 0.0006450053 -0.0005175137 0.0053167418 0.0010049160 0.0135697208
1403638133.34510 0.000736 -0.084005 -0.073686 -0.795292 0.027593 -0.605015 0.026576 0.0001266365 0.0000679380 0.0002869061 0.0011335362 -0.0000257084 0.0009941010 0.0142788596 0.0008158690 -0.0006876781 0.0081127314 0.0014184585 0.0180935859
1403638133.39510 -0.001495 -0.105361 -0.085549 -0.798324 0.031335 -0.601144 0.017954 0.0001323099 0.0000579157 0.0002965257 0.0011369885 -0.0000224574 0.0009889880 0.0201036584 0.0010095376 -0.0008493816 0.0120421395 0.0019246946 0.0233868502
1403638133.44510 -0.005334 -0.128374 -0.096229 -0.800656 0.036830 -0.597950 0.006986 0.0001370462 0.0000460749 0.0003043712 0.0011406526 -0.0000179330 0.0009850205 0.0276188668 0.0012255988 -0.0009895748 0.0174103124 0.0025313144 0.0294844670
1403638133.49510 -0.010322 -0.151874 -0.105641 0.801202 -0.045447 0.596665 0.001310 0.0001396685 0.0000427599 0.0003075902 0.0011435388 -0.0000156284 0.0009843636 0.0371695517 0.0014637620 -0.0010957553 0.0245623237 0.0032429049 0.0364250754
1403638133.54510 -0.016507 -0.175657 -0.114322 0.801098 -0.056929 0.595776 0.007236 0.0001423314 0.0000470452 0.0003097333 0.0011458975 -0.0000155975 0.0009846107 0.0491390390 0.0017237169 -0.0011540150 0.0338817371 0.0040641006 0.0442520741
1403638133.59642 -0.039153 -0.176004 -0.096769 0.801749 -0.067491 0.593767 0.009198 0.0001459613 0.0000615880 0.0003073265 0.0011052153 0.0000022130 0.0009550339 0.0370281278 0.0129856222 -0.0219781270 0.0342497157 0.0117425823 0.0304685054
1403638133.64671 -0.044777 -0.189565 -0.114031 0.803365 -0.077290 0.590386 0.008685 0.0001470109 0.0000659241 0.0002973111 0.0010781439 -0.0000162477 0.0009083376 0.0342106619 0.0004704234 -0.0266128016 0.0052480844 0.0026339171 0.0256163191
1403638133.69700 -0.057906 -0.213077 -0.124191 0.804836 -0.085471 0.587217 0.010494 0.0001539997 0.0000701933 0.0003036701 0.0010660290 -0.0000210013 0.0009037425 0.0166014211 0.0009198358 -0.0129154983 0.0050226767 0.0020348800 0.0148745291
1403638133.74700 -0.069930 -0.228050 -0.131917 0.806007 -0.093118 0.584308 0.016305 0.0001593969 0.0000693106 0.0003094890 0.0010688849 -0.0000201100 0.0009016999 0.0198411476 0.0011261789 -0.0153546855 0.0059789138 0.0023523928 0.0171282920
1403638133.79748 -0.066080 -0.261927 -0.162952 0.806263 -0.099521 0.582626 0.024138 0.0001613975 0.0000623642 0.0003114003 0.0010696023 -0.0000193078 0.0008983961 0.0102842437 0.0002202622 -0.0078997284 0.0047503261 0.0022110008 0.0109397441
1403638133.84748 -0.074107 -0.275441 -0.171907 0.807369 -0.103565 0.579900 0.033846 0.0001651193 0.0000517614 0.0003165375 0.0010741340 -0.0000147065 0.0008971853 0.0121697308 0.0001546126 -0.0091880587 0.0054347133 0.0025535146 0.0121888423
1403638133.89768 -0.114881 -0.294250 -0.154326 0.808472 -0.107636 0.577252 0.039584 0.0001681522 0.0000451235 0.0003184788 0.0010615061 -0.0000112759 0.0008890319 0.0083054210 0.0003666494 -0.0055210132 0.0038657446 0.0015766519 0.0084775784
1403638133.94733 -0.085203 -0.302133 -0.192796 0.807573 -0.111085 0.577518 0.044260 0.0001694315 0.0000422212 0.0003184856 0.0010505736 -0.0000104294 0.0008875532 0.0083773321 0.0003114930 -0.0052235847 0.0036501693 0.0014567834 0.0081562303
1403638133.99722 -0.076791 -0.322811 -0.204951 0.806486 -0.113319 0.578450 0.046209 0.0001671050 0.0000393527 0.0003141873 0.0010493699 -0.0000104426 0.0008892528 0.0091331747 0.0004743934 -0.0053063857 0.0034099328 0.0012068568 0.0080008627
1403638134.04720 -0.034721 -0.319169 -0.219891 0.807393 -0.112909 0.577220 0.046751 0.0001682663 0.0000358483 0.0003130205 0.0010402819 -0.0000106083 0.0008832811 0.0046366337 0.0009770683 -0.0024012285 0.0032006934 0.0006852922 0.0061124146
1403638134.09656 -0.028637 -0.307171 -0.209712 0.809831 -0.108889 0.574493 0.047690 0.0001739887 0.0000293183 0.0003171486 0.0010369859 -0.0000102600 0.0008728820 0.0042522532 0.0008713472 -0.0023058826 0.0029499456 0.0004726283 0.0059771963
1403638134.14650 -0.022123 -0.296881 -0.207309 0.812125 -0.103772 0.572013 0.049856 0.0001779316 0.0000217143 0.0003197134 0.0010373123 -0.0000083400 0.0008672936 0.0041335451 0.0007877920 -0.0023462007 0.0027339560 0.0003520663 0.0060629961
1403638134.19627 -0.007089 -0.283759 -0.206710 0.811573 -0.102507 0.572899 0.051258 0.0001766967 0.0000182230 0.0003162945 0.0010375380 -0.0000068399 0.0008674474 0.0040354272 0.0007504364 -0.0023663429 0.0025966450 0.0002577888 0.0061330011
1403638134.24659 0.015772 -0.270102 -0.232192 0.805667 -0.106726 0.580622 0.048870 0.0001683142 0.0000227032 0.0003035976 0.0010094038 -0.0000101923 0.0008712852 0.0037338561 0.0006191907 -0.0022907339 0.0024951614 0.0000639720 0.0045738613
1403638134.29656 0.039416 -0.254881 -0.226989 0.801664 -0.110738 0.585572 0.046656 0.0001618598 0.0000337312 0.0002931421 0.0009999641 -0.0000117828 0.0008798768 0.0035755907 0.0005866763 -0.0021979040 0.0025312129 0.0000690661 0.0043320253
1403638134.34672 0.047277 -0.245080 -0.217478 0.801507 -0.113666 0.585566 0.042187 0.0001652084 0.0000430805 0.0002941894 0.0009958337 -0.0000130925 0.0008788197 0.0031140769 0.0004864711 -0.0019176581 0.0025534537 0.0001238787 0.0041372041
1403638134.39672 0.066220 -0.227092 -0.216820 0.802937 -0.115506 0.583578 0.037251 0.0001717846 0.0000519206 0.0002987555 0.0009979605 -0.0000171886 0.0008771713 0.0030402414 0.0004817623 -0.0018166946 0.0026450065 0.0001138090 0.0040591892
1403638134.44672 0.083908 -0.208573 -0.216168 0.804359 -0.117116 0.581524 0.033468 0.0001783095 0.0000583485 0.0003032912 0.0010002997 -0.0000205170 0.0008755674 0.0029731356 0.0004744414 -0.0017045786 0.0027434572 0.0001034664 0.0039597673
1403638134.49648 0.114469 -0.188347 -0.240298 0.801635 -0.119273 0.585072 0.029072 0.0001799844 0.0000622970 0.0003021438 0.0009881853 -0.0000258016 0.0008763982 0.0028576115 0.0004572965 -0.0014917581 0.0028505633 0.0001051094 0.0036913251
1403638134.54648 0.127865 -0.169526 -0.238593 0.800653 -0.122532 0.585944 0.024711 0.0001788254 0.0000739640 0.0002961726 0.0009891919 -0.0000299827 0.0008838695 0.0028275978 0.0004434437 -0.0013752294 0.0029723746 0.0000941990 0.0035747742
