# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715279.11183 0.088601 0.015807 0.162402 0.808749 -0.006076 0.588120 0.001952 0.0009770131 0.0000011794 -0.0001694084 0.0007355899 -0.0000378217 0.0002891894 0.0208696789 -0.0008124399 -0.0003793297 0.0033216356 0.0001170370 0.0029028629
1403715279.16221 0.099087 0.022128 0.156582 0.810415 -0.005087 0.585825 0.003298 0.0006937228 0.0000218868 -0.0001259267 0.0001375090 -0.0000019896 0.0001415827 0.0027129687 0.0000135575 -0.0000704116 0.0027313992 0.0000178639 0.0027413032
1403715279.21239 0.110603 0.024360 0.147954 0.811638 -0.004957 0.584108 0.006049 0.0005242793 0.0000136551 -0.0001138368 0.0001090826 0.0000017406 0.0000805987 0.0026288913 0.0000085739 -0.0000597578 0.0026284414 -0.0000018475 0.0026676845
1403715279.26232 0.116791 0.023969 0.140318 0.811511 -0.004358 0.584306 0.004239 0.0004610610 0.0000053388 -0.0001218803 0.0000738551 0.0000003690 0.0000642249 0.0026042799 0.0000039003 -0.0000475651 0.0025969369 -0.0000015295 0.0026417153
1403715279.31249 0.121655 0.026478 0.132260 0.810975 -0.004867 0.585046 0.004024 0.0004149426 -0.0000010288 -0.0001213993 0.0000405524 -0.0000007944 0.0000544890 0.0025768672 -0.0000014923 -0.0000257449 0.0025726672 0.0000000342 0.0025975985
1403715279.36330 0.126418 0.027485 0.129453 0.811491 -0.005433 0.584330 0.003412 0.0004089702 -0.0000026146 -0.0001208560 0.0000383116 -0.0000007606 0.0000518624 0.0025706741 -0.0000008077 -0.0000248572 0.0025731938 -0.0000012509 0.0025937997
1403715279.41330 0.129977 0.027973 0.126503 0.811369 -0.005931 0.584500 0.002069 0.0004041807 -0.0000040022 -0.0001219383 0.0000361968 -0.0000005046 0.0000504762 0.0025648644 -0.0000012508 -0.0000205712 0.0025748157 -0.0000021044 0.0025877614
1403715279.46353 0.132874 0.028706 0.127023 0.812515 -0.005861 0.582908 0.001966 0.0004011034 -0.0000041570 -0.0001238399 0.0000335047 -0.0000009194 0.0000501139 0.0025621234 -0.0000015671 -0.0000170511 0.0025771351 -0.0000010575 0.0025843114
1403715279.51348 0.135722 0.030194 0.127739 0.813005 -0.006084 0.582221 0.002108 0.0003982201 -0.0000036474 -0.0001259883 0.0000285685 -0.0000006461 0.0000501415 0.0025604789 -0.0000019681 -0.0000131291 0.0025790929 -0.0000005972 0.0025806035
1403715279.56328 0.138663 0.031744 0.128186 0.812800 -0.005712 0.582505 0.003270 0.0003972397 -0.0000024002 -0.0001269911 0.0000253689 -0.0000007458 0.0000498595 0.0025599399 -0.0000022959 -0.0000100853 0.0025818465 -0.0000005815 0.0025767768
1403715279.61325 0.140965 0.033045 0.129790 0.813142 -0.005778 0.582024 0.003832 0.0003960487 -0.0000016783 -0.0001281541 0.0000212650 -0.0000005387 0.0000499944 0.0025600818 -0.0000026265 -0.0000076803 0.0025843953 -0.0000003638 0.0025736989
1403715279.66334 0.142364 0.033397 0.133562 0.813452 -0.005395 0.581594 0.003825 0.0003951611 -0.0000012849 -0.0001289012 0.0000179688 -0.0000003655 0.0000499301 0.0025605682 -0.0000029265 -0.0000059130 0.0025866688 -0.0000001817 0.0025707915
