# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403636582.11624 -0.006030 0.004437 -0.129566 0.833499 -0.014916 0.552315 0.002163 0.0003543713 0.0000835233 0.0004059115 0.0012640300 0.0000609517 0.0010144778 0.0010385245 -0.0003254357 0.0005443101 0.0006927707 -0.0004002449 0.0059245232
1403636582.16500 -0.009937 0.004255 -0.151297 0.838069 -0.014000 0.545384 0.000606 0.0003618546 0.0000848057 0.0004102630 0.0012510904 0.0000524720 0.0010012351 0.0009719484 -0.0003216476 0.0000732583 0.0006721612 -0.0003748576 0.0021100622
1403636582.21441 -0.011817 0.007053 -0.155998 0.841672 -0.012528 0.539843 0.000148 0.0003720204 0.0000841646 0.0004187729 0.0012518764 0.0000506933 0.0009943540 0.0009779146 -0.0003211592 0.0000668973 0.0006707413 -0.0003747491 0.0020554963
1403636582.26458 -0.011578 0.007498 -0.152124 -0.843386 0.012054 -0.537172 0.000739 0.0003813494 0.0000839679 0.0004260200 0.0012522219 0.0000508531 0.0009917991 0.0009771930 -0.0003196579 0.0000655532 0.0006691676 -0.0003729738 0.0020548798
1403636582.31546 -0.008086 0.007422 -0.139981 -0.842454 0.011132 -0.538650 0.001847 0.0003850342 0.0000862788 0.0004286113 0.0012477644 0.0000507358 0.0009962466 0.0009748468 -0.0003184326 0.0000648589 0.0006658709 -0.0003709398 0.0020558147
1403636582.36528 -0.005120 0.008535 -0.120044 -0.837831 0.010248 -0.545828 0.002577 0.0003780393 0.0000876488 0.0004235355 0.0012403555 0.0000509477 0.0010105757 0.0009626784 -0.0003152937 0.0000700911 0.0006608958 -0.0003677905 0.0020430154
1403636582.41493 -0.003683 0.011285 -0.094614 -0.834694 0.009746 -0.550623 0.002220 0.0003577879 0.0000866095 0.0004088805 0.0012419576 0.0000566273 0.0010309834 0.0009509040 -0.0003102425 0.0000714829 0.0006529983 -0.0003610738 0.0020282489
1403636582.46482 -0.002343 0.013360 -0.070129 -0.830444 0.010399 -0.557000 0.002178 0.0003484899 0.0000869975 0.0004015655 0.0012483575 0.0000612094 0.0010490621 0.0009434149 -0.0003059367 0.0000755402 0.0006492835 -0.0003574206 0.0020319170
1403636582.51403 -0.001226 0.012400 -0.043467 -0.826755 0.010303 -0.562467 0.001034 0.0003388534 0.0000825326 0.0003932415 0.0012545120 0.0000686581 0.0010630002 0.0009383520 -0.0003017583 0.0000801484 0.0006477359 -0.0003544986 0.0020352827
1403636582.56283 0.000221 0.010382 -0.013293 -0.823438 0.011600 -0.567287 0.000939 0.0003275980 0.0000832987 0.0003853295 0.0012575169 0.0000709779 0.0010726882 0.0009343795 -0.0002946265 0.0000814442 0.0006393483 -0.0003484323 0.0020289158
1403636582.61276 0.001121 0.009966 0.014641 0.821564 -0.011685 0.569991 0.002441 0.0003224681 0.0000801163 0.0003805918 0.0012628734 0.0000741093 0.0010841776 0.0009353301 -0.0002898404 0.0000870047 0.0006430535 -0.0003461840 0.0020346696
1403636582.66268 0.000817 0.008938 0.042428 0.819748 -0.013512 0.572550 0.004185 0.0003198514 0.0000783927 0.0003779913 0.0012674457 0.0000769735 0.0010940903 0.0009394171 -0.0002850231 0.0000922610 0.0006495068 -0.0003458568 0.0020389342
1403636582.71274 0.000442 0.007193 0.068320 0.817915 -0.015116 0.575124 0.004300 0.0003135690 0.0000766238 0.0003730035 0.0012666237 0.0000714211 0.0010921476 0.0009434363 -0.0002821285 0.0000938217 0.0006512226 -0.0003466318 0.0020429155
1403636582.76305 0.001724 0.005894 0.095995 0.815672 -0.017593 0.578225 0.005101 0.0003086842 0.0000788403 0.0003660681 0.0012666987 0.0000686629 0.0010971051 0.0009521990 -0.0002783402 0.0000978703 0.0006582861 -0.0003455349 0.0020526062
1403636582.81321 0.003182 0.003524 0.121646 0.812831 -0.021176 0.582081 0.006347 0.0003016075 0.0000775825 0.0003619964 0.0012665649 0.0000712756 0.0011074285 0.0009644417 -0.0002743218 0.0001011659 0.0006691705 -0.0003468077 0.0020662976
1403636582.86381 0.002991 0.000115 0.146657 0.807660 -0.026379 0.589004 0.008066 0.0002914717 0.0000729367 0.0003520922 0.0012480621 0.0000644013 0.0011150547 0.0009716763 -0.0002749897 0.0001002573 0.0006780088 -0.0003491249 0.0020810687
1403636582.91428 0.003745 -0.004470 0.171799 0.800994 -0.029911 0.597867 0.008306 0.0002772858 0.0000705001 0.0003356756 0.0012179033 0.0000519932 0.0011278138 0.0009783501 -0.0002789655 0.0001025403 0.0006893683 -0.0003487563 0.0021004804
1403636582.96405 0.002889 -0.007308 0.192926 0.795484 -0.030428 0.605133 0.009606 0.0002630423 0.0000675784 0.0003181812 0.0012080287 0.0000548822 0.0011399953 0.0009959604 -0.0002787900 0.0001058632 0.0007082932 -0.0003496734 0.0021241678
1403636583.01417 0.001090 -0.010000 0.208310 0.789944 -0.032079 0.612256 0.010111 0.0002519249 0.0000627352 0.0003020767 0.0011959571 0.0000505018 0.0011482763 0.0010119450 -0.0002800056 0.0001084488 0.0007215816 -0.0003524919 0.0021512324
1403636583.06413 -0.003432 -0.010078 0.218778 0.783860 -0.030934 0.620072 0.010803 0.0002447497 0.0000584015 0.0002901290 0.0011692208 0.0000388201 0.0011503798 0.0010281049 -0.0002841010 0.0001153175 0.0007338527 -0.0003502304 0.0021758316
1403636583.11296 -0.014659 -0.012279 0.244177 0.775553 -0.032478 0.630367 0.009982 0.0002347399 0.0000477949 0.0002719824 0.0010606121 0.0000006694 0.0011348503 0.0010327235 -0.0002926821 0.0001371187 0.0007338700 -0.0003360368 0.0021610541
1403636583.16269 -0.017859 -0.012288 0.243096 0.774276 -0.031996 0.631910 0.012777 0.0002233689 0.0000455895 0.0002508130 0.0010384864 -0.0000094598 0.0011419486 0.0010593359 -0.0002964914 0.0001512172 0.0007584818 -0.0003326245 0.0021837143
1403636583.21268 -0.021065 -0.013326 0.233601 0.773097 -0.031230 0.633369 0.013784 0.0002216939 0.0000388790 0.0002461538 0.0010033284 -0.0000219797 0.0011252505 0.0010638014 -0.0003014973 0.0001576512 0.0007552781 -0.0003307476 0.0022009102
1403636583.26278 -0.021759 -0.017547 0.218536 0.772345 -0.031197 0.634328 0.011748 0.0002183363 0.0000394850 0.0002365552 0.0009593832 -0.0000239808 0.0011021564 0.0010551083 -0.0002923868 0.0001586518 0.0007248103 -0.0003285742 0.0021993748
1403636583.31283 -0.020620 -0.019201 0.195908 0.772960 -0.030993 0.633612 0.010413 0.0002172568 0.0000446443 0.0002322396 0.0009359366 -0.0000229648 0.0010942402 0.0010521465 -0.0002919558 0.0001542297 0.0007139131 -0.0003268999 0.0022027883
1403636583.36280 -0.003152 -0.014848 0.194441 0.774564 -0.030217 0.631703 0.009388 0.0002167427 0.0000465056 0.0002299081 0.0008726718 -0.0000079192 0.0010762926 0.0010063886 -0.0002952752 0.0001070324 0.0006826837 -0.0003358667 0.0021039394
1403636583.41287 -0.000558 -0.016161 0.165819 0.775518 -0.029657 0.630593 0.006738 0.0002188419 0.0000491616 0.0002321849 0.0008426638 -0.0000071648 0.0010665892 0.0010074494 -0.0002921204 0.0000996210 0.0006756629 -0.0003349985 0.0020883071
1403636583.46283 0.001117 -0.016019 0.136300 0.778623 -0.026767 0.626889 0.006220 0.0002201126 0.0000480468 0.0002337967 0.0008088734 -0.0000041330 0.0010564054 0.0009994194 -0.0002908222 0.0000924415 0.0006631887 -0.0003373363 0.0020763501
1403636583.51284 0.004101 -0.017058 0.103310 0.782254 -0.025385 0.622419 0.005400 0.0002221069 0.0000412113 0.0002386317 0.0007222651 -0.0000092560 0.0010452534 0.0009816254 -0.0002864202 0.0000637384 0.0006418322 -0.0003416300 0.0020327911
1403636583.56272 0.006744 -0.017726 0.070233 0.785605 -0.023689 0.618244 0.006167 0.0002279849 0.0000394037 0.0002486499 0.0007069319 -0.0000063138 0.0010341706 0.0009777346 -0.0002882352 0.0000598847 0.0006370480 -0.0003450759 0.0020343070
1403636583.61279 0.009621 -0.017949 0.036467 0.789119 -0.023979 0.613707 0.008945 0.0002338583 0.0000371812 0.0002579591 0.0006943494 -0.0000044467 0.0010229516 0.0009762445 -0.0002894665 0.0000578828 0.0006352698 -0.0003486906 0.0020394377
1403636583.66284 0.009511 -0.017534 0.004828 0.794271 -0.023368 0.607087 0.005747 0.0002425458 0.0000400258 0.0002700426 0.0006759434 -0.0000016674 0.0010121019 0.0009759269 -0.0002905612 0.0000586794 0.0006361425 -0.0003528264 0.0020466908
1403636583.71296 0.009713 -0.016403 -0.026651 0.800745 -0.025241 0.598471 0.001954 0.0002545764 0.0000406093 0.0002856217 0.0006236850 -0.0000001947 0.0009982626 0.0009804593 -0.0002893597 0.0000590366 0.0006381231 -0.0003553237 0.0020525818
