# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403637134.73832 0.039993 -0.140190 0.149781 0.799053 -0.060955 0.597530 0.027506 0.0012286320 -0.0000004284 0.0000001234 0.0012274122 -0.0000000592 0.0012266996 0.0547728733 0.0000025391 -0.0002208183 0.0547620730 0.0007033732 0.0031542574
1403637134.78832 0.043569 -0.151334 0.104282 0.806465 -0.058960 0.587803 0.024996 0.0012872056 -0.0000004250 0.0000000835 0.0012858530 -0.0000000545 0.0012851086 0.0623935517 0.0000030440 -0.0002593973 0.0623808437 0.0008207530 0.0032346875
1403637134.83378 0.012727 -0.018604 0.060762 0.811385 -0.053815 0.581261 0.029894 0.0012293121 0.0000591554 -0.0000548507 0.0011971917 -0.0000103218 0.0002857819 0.0682914279 -0.0057128573 -0.0002789019 0.0131638163 0.0002079895 0.0033055484
1403637134.88477 0.005919 -0.032131 0.019391 0.817865 -0.055275 0.572255 0.023765 0.0008954333 0.0000603861 -0.0001371933 0.0002799299 0.0000117544 0.0002254926 0.0111080867 0.0022422384 -0.0000838425 0.0081815831 0.0002075011 0.0033860847
1403637134.93447 0.009024 -0.027952 -0.027041 0.824409 -0.058659 0.562605 0.019632 0.0007130862 -0.0000202313 -0.0001918979 0.0001687358 -0.0000178065 0.0001874574 0.0060708593 0.0003155634 -0.0001615745 0.0071048028 0.0001209847 0.0034156955
1403637134.98456 0.009639 -0.028855 -0.063151 0.828039 -0.059819 0.557275 0.014727 0.0004227705 -0.0000039654 -0.0001938631 0.0001044942 -0.0000055170 0.0001934243 0.0041168539 0.0001007626 -0.0004531016 0.0042782840 -0.0003403687 0.0030134081
1403637135.03538 0.006509 -0.026569 -0.097801 0.829960 -0.062446 0.554209 0.010939 0.0003980524 -0.0000068593 -0.0001884823 0.0000753753 0.0000057618 0.0001833960 0.0038928509 0.0001200845 -0.0004218123 0.0039114030 -0.0002769183 0.0029575446
1403637135.08682 0.027010 0.015746 -0.142145 0.832029 -0.070461 0.550134 0.010751 0.0003750784 -0.0000201177 -0.0001635690 0.0000579764 0.0000057953 0.0001311129 0.0033393531 0.0001714430 -0.0002653200 0.0033776717 -0.0002346917 0.0029257592
1403637135.13764 0.019341 0.004972 -0.167764 0.832472 -0.067351 0.549817 0.012500 0.0003650632 -0.0000218614 -0.0001619675 0.0000415410 0.0000135438 0.0001135431 0.0031794371 0.0001272927 -0.0002319166 0.0032154486 -0.0002024142 0.0029249532
1403637135.18724 0.018871 -0.003857 -0.186636 0.835068 -0.064696 0.546175 0.012962 0.0003609895 -0.0000172652 -0.0001585697 0.0000305952 0.0000068143 0.0001026464 0.0031062590 0.0000823545 -0.0001829659 0.0030403431 -0.0000816297 0.0028092725
1403637135.23713 0.007731 -0.010434 -0.186596 0.839123 -0.061766 0.540238 0.014202 0.0003539082 -0.0000151867 -0.0001615809 0.0000259053 0.0000071087 0.0000990750 0.0030686426 0.0000482062 -0.0001469527 0.0029631043 -0.0000493621 0.0027422066
