# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403638523.47783 -0.070798 -0.105427 0.130556 -0.802348 -0.002568 -0.594923 0.047927 0.0011602490 0.0000008975 0.0000005863 0.0011604214 0.0000005664 0.0011596210 0.0455308896 -0.0000031485 0.0003811011 0.0455312478 0.0005000295 0.0030680055
1403638523.52783 -0.081397 -0.114413 0.095867 -0.806504 -0.004333 -0.589533 0.044538 0.0012163571 0.0000009437 0.0000005984 0.0012165782 0.0000005830 0.0012156862 0.0521997415 -0.0000036825 0.0004744642 0.0522009925 0.0005872610 0.0031406888
1403638523.57783 -0.092872 -0.123691 0.060115 -0.811568 -0.006310 -0.582777 0.041092 0.0012744946 0.0000009861 0.0000006063 0.0012747373 0.0000005912 0.0012737748 0.0597004166 -0.0000042285 0.0005855418 0.0597028932 0.0006858680 0.0032205898
1403638523.62783 -0.105210 -0.133338 0.024060 -0.816800 -0.007564 -0.575677 0.037104 0.0013346437 0.0000010256 0.0000006155 0.0013348911 0.0000006011 0.0013338772 0.0681257123 -0.0000047804 0.0007167035 0.0681297712 0.0007976317 0.0033082470
1403638523.67783 -0.118222 -0.143055 -0.011893 -0.820933 -0.008708 -0.569925 0.034328 0.0013967834 0.0000010668 0.0000006277 0.0013970400 0.0000006182 0.0013959761 0.0775724752 -0.0000052125 0.0008689278 0.0775785574 0.0009213969 0.0034040974
1403638523.72783 -0.131679 -0.152730 -0.047299 -0.823750 -0.009919 -0.565952 0.032188 0.0014608998 0.0000011105 0.0000006445 0.0014611833 0.0000006472 0.0014600635 0.0881472499 -0.0000053989 0.0010426053 0.0881557852 0.0010570330 0.0035085901
1403638523.77768 -0.191160 -0.164394 -0.082660 -0.823821 -0.011879 -0.565868 0.031164 0.0012805833 -0.0001523259 -0.0003965450 0.0005978656 0.0001463948 0.0004483811 0.0259476534 0.0086689101 0.0005848014 0.0085773937 0.0003724257 0.0036072470
1403638523.82520 -0.111802 -0.140963 -0.114679 -0.828022 -0.023115 -0.558911 0.038266 0.0006347372 0.0001950571 -0.0002202733 0.0003804054 0.0000415672 0.0004060402 0.0186922047 0.0063750789 0.0005750531 0.0078204118 0.0004070740 0.0037337315
1403638523.87659 -0.075589 -0.132433 -0.143943 -0.828127 -0.024063 -0.559004 0.033773 0.0004759177 0.0001335007 -0.0001304144 0.0003534805 0.0000770242 0.0002946392 0.0129295793 0.0039395413 0.0003606501 0.0058537518 0.0003751179 0.0038250324
1403638523.92654 -0.080735 -0.138048 -0.175046 -0.828054 -0.026507 -0.559283 0.028731 0.0004675887 0.0001199280 -0.0001298752 0.0003325891 0.0000786824 0.0003168784 0.0126990236 0.0039520424 0.0003689317 0.0058303752 0.0003952421 0.0039588604
1403638523.97515 -0.067858 -0.140227 -0.226229 -0.827750 -0.032131 -0.559767 0.021400 0.0003978666 0.0000295627 -0.0001565083 0.0001743814 0.0000207145 0.0001996268 0.0066452638 0.0014234459 -0.0008104398 0.0044124344 -0.0002713930 0.0034249735
1403638524.02474 -0.059862 -0.133392 -0.261345 -0.830576 -0.034727 -0.555581 0.016327 0.0003909775 0.0000260763 -0.0001596638 0.0001554784 0.0000448728 0.0001575485 0.0063211197 0.0012346648 -0.0007363354 0.0042402824 -0.0001910497 0.0033794661
1403638524.07497 -0.045738 -0.133227 -0.290461 -0.833390 -0.040709 -0.551084 0.010523 0.0003804525 0.0000173364 -0.0001749221 0.0001397804 0.0000307076 0.0001422855 0.0059795127 0.0012152469 -0.0006570790 0.0041802857 -0.0002019639 0.0033313649
1403638524.12555 -0.054669 -0.135759 -0.292650 -0.835221 -0.044844 -0.548007 0.009057 0.0003750524 0.0000170021 -0.0001780145 0.0001314842 0.0000315336 0.0001425981 0.0059046232 0.0011878869 -0.0006810339 0.0040894585 -0.0002054505 0.0032772481
1403638524.17555 -0.059329 -0.136138 -0.297573 -0.837381 -0.046663 -0.544523 0.010551 0.0003745538 0.0000176193 -0.0001811592 0.0001431881 0.0000344227 0.0001503475 0.0058629130 0.0011621429 -0.0007297931 0.0040620069 -0.0002183129 0.0033447725
1403638524.22555 -0.064307 -0.133126 -0.295741 -0.838784 -0.047451 -0.542236 0.013052 0.0003742218 0.0000163253 -0.0001839071 0.0001525929 0.0000368323 0.0001562123 0.0057459453 0.0011134858 -0.0007649924 0.0039958720 -0.0002455707 0.0033675218
1403638524.27542 -0.067113 -0.130106 -0.287571 -0.838412 -0.047649 -0.542716 0.015949 0.0003758966 0.0000160560 -0.0001856071 0.0001633270 0.0000412204 0.0001620350 0.0056675457 0.0010714630 -0.0008066411 0.0039341864 -0.0002603549 0.0034332366
1403638524.32542 -0.070061 -0.129626 -0.277347 -0.837460 -0.047217 -0.544070 0.020496 0.0003797655 0.0000144367 -0.0001860521 0.0001760789 0.0000458879 0.0001659382 0.0055763271 0.0010233405 -0.0008489195 0.0038723635 -0.0002693968 0.0035081389
1403638524.37542 -0.072222 -0.128664 -0.265104 -0.835700 -0.046301 -0.546662 0.024957 0.0003844089 0.0000127351 -0.0001860459 0.0001885588 0.0000505234 0.0001692114 0.0054520616 0.0009526438 -0.0009051634 0.0037925022 -0.0002874412 0.0035809722
1403638524.42542 -0.074244 -0.127603 -0.251734 -0.832888 -0.045209 -0.550834 0.028904 0.0003904988 0.0000112027 -0.0001852018 0.0002022455 0.0000554646 0.0001713964 0.0053517244 0.0008955857 -0.0009472965 0.0037181034 -0.0002959890 0.0036655175
1403638524.47522 -0.076503 -0.130106 -0.240690 -0.830182 -0.046041 -0.554735 0.030777 0.0003974688 0.0000104840 -0.0001827208 0.0001177836 -0.0000058555 0.0001244498 0.0052520916 0.0008299046 -0.0009915332 0.0035557763 -0.0003633469 0.0037110057
1403638524.52555 -0.074093 -0.119688 -0.230308 -0.828307 -0.042206 -0.557697 0.033158 0.0003977751 -0.0000029062 -0.0001700491 0.0000928600 0.0000195038 0.0001026450 0.0051607391 0.0007853975 -0.0010090241 0.0034891393 -0.0003481165 0.0037977105
1403638524.58105 -0.042869 -0.082709 -0.156511 -0.822837 -0.037803 -0.565958 0.034678 0.0003919122 -0.0000063574 -0.0001584045 0.0000732221 0.0000239489 0.0000875160 0.0046777026 0.0005395684 -0.0007757539 0.0033150269 -0.0002866650 0.0033496128
1403638524.63081 -0.039876 -0.080917 -0.141565 -0.818795 -0.035255 -0.571991 0.034021 0.0003988626 -0.0000094049 -0.0001531774 0.0000772523 0.0000270344 0.0000839706 0.0044793636 0.0004767702 -0.0007304632 0.0032533786 -0.0002650696 0.0033839518
1403638524.68061 -0.039126 -0.080926 -0.128707 -0.816252 -0.032903 -0.575965 0.030248 0.0004024786 -0.0000064979 -0.0001498421 0.0000709729 0.0000242610 0.0000813824 0.0042802733 0.0003704146 -0.0006581153 0.0031737232 -0.0002083430 0.0033832401
1403638524.73033 -0.032377 -0.076101 -0.123181 -0.813756 -0.030810 -0.579863 0.024709 0.0004040572 -0.0000029754 -0.0001473336 0.0000693532 0.0000229316 0.0000803562 0.0041313499 0.0003010486 -0.0006245689 0.0031166088 -0.0001752100 0.0034064830
1403638524.77942 -0.027017 -0.073474 -0.112021 -0.811934 -0.029223 -0.582738 0.018055 0.0003990580 0.0000009778 -0.0001408752 0.0000710730 0.0000225467 0.0000774446 0.0040055509 0.0002464974 -0.0006247299 0.0030560636 -0.0001583933 0.0034146273
1403638524.82784 -0.018379 -0.058697 -0.104908 -0.810436 -0.024771 -0.585165 0.012739 0.0003919535 0.0000076979 -0.0001321834 0.0000650349 0.0000165966 0.0000696666 0.0038278699 0.0001666047 -0.0005426371 0.0029549783 -0.0001040311 0.0033341086
1403638524.87747 -0.012875 -0.052520 -0.106430 -0.809462 -0.024137 -0.586494 0.014590 0.0003919823 0.0000041932 -0.0001301530 0.0000665339 0.0000190884 0.0000694102 0.0037140059 0.0001394910 -0.0005170485 0.0029157976 -0.0000992060 0.0033624491
1403638524.92493 -0.030918 -0.042211 -0.071350 -0.810578 -0.023747 -0.584928 0.016096 0.0003916005 0.0000047248 -0.0001258242 0.0000649581 0.0000160429 0.0000632139 0.0035884627 0.0000959194 -0.0004382631 0.0028384945 -0.0000744438 0.0032469301
1403638524.97493 -0.031573 -0.039795 -0.082262 -0.809757 -0.025327 -0.585883 0.019811 0.0003918351 0.0000037146 -0.0001270716 0.0000684848 0.0000171008 0.0000648647 0.0034873432 0.0000674306 -0.0004200564 0.0028137655 -0.0000581848 0.0032904494
1403638525.02493 -0.032871 -0.037789 -0.099195 -0.808535 -0.027024 -0.587470 0.020490 0.0003938822 0.0000042771 -0.0001260951 0.0000722586 0.0000177065 0.0000648904 0.0034020565 0.0000439679 -0.0003989393 0.0027919345 -0.0000408852 0.0033352314
1403638525.07493 -0.034217 -0.036111 -0.122344 -0.807237 -0.028734 -0.589261 0.017744 0.0003959460 0.0000068353 -0.0001250854 0.0000759922 0.0000178724 0.0000650875 0.0033203201 0.0000230765 -0.0003731632 0.0027717829 -0.0000211337 0.0033823967
1403638525.12493 -0.035201 -0.034045 -0.151276 -0.806209 -0.030867 -0.590609 0.016001 0.0003977522 0.0000089633 -0.0001244043 0.0000799243 0.0000181150 0.0000654908 0.0032437749 0.0000055148 -0.0003421954 0.0027538505 0.0000013299 0.0034318346
1403638525.17493 -0.036373 -0.032259 -0.184850 -0.805853 -0.033149 -0.590992 0.015182 0.0003989985 0.0000106172 -0.0001244897 0.0000840241 0.0000184531 0.0000664345 0.0031743270 -0.0000080227 -0.0003055485 0.0027388357 0.0000267405 0.0034838989
1403638525.22493 -0.037919 -0.030741 -0.221850 -0.806457 -0.035750 -0.590031 0.014546 0.0003994177 0.0000122900 -0.0001256900 0.0000882763 0.0000187281 0.0000682015 0.0031142162 -0.0000166253 -0.0002625665 0.0027275316 0.0000554169 0.0035387717
1403638525.27493 -0.040169 -0.029219 -0.261696 -0.808511 -0.037972 -0.587059 0.015148 0.0003986545 0.0000131389 -0.0001284706 0.0000926529 0.0000191908 0.0000711768 0.0030662658 -0.0000191995 -0.0002126400 0.0027209311 0.0000876656 0.0035966556
1403638525.32493 -0.042755 -0.027542 -0.303636 -0.812225 -0.040477 -0.581731 0.015533 0.0003963210 0.0000142264 -0.0001331071 0.0000971620 0.0000194990 0.0000757418 0.0030337376 -0.0000144535 -0.0001550111 0.0027200854 0.0001238268 0.0036575311
