# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715895.58450 -0.015094 0.119886 0.069195 0.820243 0.000129 0.571970 0.007147 0.0017156351 0.0001819577 0.0005011590 0.0015168938 0.0000672988 0.0012306306 0.0097072260 0.0122282717 0.0001606289 0.0355838564 0.0096854388 0.0062547109
1403715895.63340 0.006973 0.134558 0.062392 0.819717 0.001367 0.572703 0.008587 0.0016652138 0.0001665431 0.0004383589 0.0013817064 0.0000470397 0.0011466170 0.0016502383 0.0012657840 0.0001880922 0.0053191744 0.0012600787 0.0013010011
1403715895.68353 0.010075 0.156040 0.070421 0.820073 0.001373 0.572188 0.008911 0.0016817822 0.0001727858 0.0004411899 0.0013893662 0.0000486361 0.0011481537 0.0017021111 0.0012891085 0.0001733691 0.0053615068 0.0012623359 0.0013371249
1403715895.73292 0.017738 0.172460 0.062062 0.820237 0.001354 0.571924 0.010590 0.0016905767 0.0001763222 0.0004358788 0.0013918172 0.0000472467 0.0011441830 0.0017290438 0.0012945709 0.0002063624 0.0053984424 0.0012925633 0.0013360361
1403715895.78291 0.021593 0.194048 0.068997 0.820395 0.001029 0.571694 0.010759 0.0017091787 0.0001856400 0.0004389691 0.0013911401 0.0000533239 0.0011460679 0.0017966804 0.0013628092 0.0001801063 0.0054778996 0.0013355421 0.0013456556
1403715895.83279 0.021214 0.214658 0.078125 0.820069 0.000331 0.572169 0.010479 0.0017256007 0.0001890360 0.0004417661 0.0013944957 0.0000526688 0.0011483928 0.0018522082 0.0013959130 0.0001726761 0.0055935860 0.0013394136 0.0013837205
1403715895.88283 0.021480 0.238287 0.086964 0.820018 0.000618 0.572238 0.010622 0.0017452209 0.0001951397 0.0004438108 0.0014009723 0.0000521288 0.0011494208 0.0019479792 0.0014587448 0.0001740249 0.0057374810 0.0013474594 0.0014223475
1403715895.93244 0.041382 0.277875 0.078428 0.819590 -0.000126 0.572782 0.013904 0.0017395579 0.0001938641 0.0004388826 0.0014038815 0.0000508158 0.0011449630 0.0018997957 0.0014083220 0.0002407965 0.0057348273 0.0014048112 0.0014127293
1403715895.98238 0.045227 0.310466 0.079034 0.818813 -0.001922 0.573880 0.014227 0.0017237715 0.0002010146 0.0004323097 0.0014086535 0.0000527402 0.0011444204 0.0019767172 0.0014746892 0.0002329911 0.0053471564 0.0013196934 0.0014340350
1403715896.03217 0.035648 0.333915 0.077786 0.817134 -0.002067 0.576290 0.013320 0.0017346559 0.0002019851 0.0004378077 0.0014014792 0.0000571501 0.0011485549 0.0020079888 0.0015540656 0.0002079277 0.0054546727 0.0013183057 0.0014660869
1403715896.08232 0.029556 0.340931 0.081971 0.816558 -0.002997 0.577192 0.008570 0.0017390592 0.0002027129 0.0004405160 0.0014018799 0.0000551632 0.0011544198 0.0020094327 0.0015610055 0.0002101992 0.0054771590 0.0013009967 0.0014878741
1403715896.13237 0.030341 0.360291 0.085571 0.816576 -0.005132 0.577193 0.004977 0.0017568036 0.0002077770 0.0004416542 0.0014037830 0.0000498409 0.0011565827 0.0020405764 0.0016000983 0.0002217715 0.0055739658 0.0013077566 0.0015093812
1403715896.18232 0.027155 0.366066 0.080770 -0.814879 0.006780 -0.579590 0.001143 0.0017649100 0.0002048695 0.0004446208 0.0013985068 0.0000453176 0.0011601526 0.0020841180 0.0016018333 0.0002006178 0.0055634276 0.0012684844 0.0015239571
1403715896.23259 0.019480 0.369666 0.090754 -0.814115 0.011518 -0.580506 0.009888 0.0017683295 0.0002055847 0.0004418158 0.0013963843 0.0000371076 0.0011601522 0.0020632318 0.0015635407 0.0002365908 0.0055130629 0.0013064740 0.0015150946
1403715896.28267 0.016694 0.375515 0.088623 -0.811561 0.015586 -0.583746 0.019177 0.0017821613 0.0002050431 0.0004461904 0.0013916390 0.0000279062 0.0011661300 0.0020952898 0.0015874392 0.0002392054 0.0055904658 0.0013024225 0.0015280186
1403715896.33297 0.021351 0.391216 0.093454 -0.809935 0.022026 -0.585438 0.027949 0.0017835215 0.0002041882 0.0004506766 0.0013839153 0.0000187426 0.0011712831 0.0021009980 0.0015955279 0.0002337683 0.0055900855 0.0012984212 0.0015475806
1403715896.38341 0.015505 0.387415 0.099874 -0.807319 0.027181 -0.588073 0.040843 0.0017666356 0.0001891100 0.0004407861 0.0013753104 0.0000049754 0.0011648241 0.0021226458 0.0015426115 0.0002142493 0.0054622701 0.0012561135 0.0015579412
1403715896.43328 0.011435 0.389264 0.106614 -0.804814 0.031451 -0.590662 0.049030 0.0017515843 0.0001810958 0.0004317906 0.0013664010 -0.0000109083 0.0011543821 0.0020723046 0.0014881972 0.0002063770 0.0053930836 0.0012411529 0.0015585549
1403715896.48298 0.022761 0.400890 0.133413 -0.803252 0.038426 -0.591443 0.059198 0.0016748695 0.0001512680 0.0003708801 0.0013506620 -0.0000376729 0.0010865179 0.0020020557 0.0013746550 0.0001742413 0.0051864281 0.0012231331 0.0014812153
1403715896.53248 0.029060 0.408920 0.147858 -0.802175 0.041376 -0.592470 0.061508 0.0016279430 0.0001333027 0.0003222908 0.0013423659 -0.0000607525 0.0010307572 0.0020121958 0.0013205386 0.0001663084 0.0050705436 0.0012085585 0.0014636352
1403715896.58222 0.042286 0.424190 0.154254 -0.801459 0.043578 -0.593539 0.058956 0.0015956123 0.0001216282 0.0002796856 0.0013378114 -0.0000790445 0.0009786024 0.0020239922 0.0013122455 0.0001664461 0.0050578312 0.0012152799 0.0014616363
1403715896.63168 0.045472 0.430872 0.163455 -0.797352 0.046007 -0.598611 0.061462 0.0015571127 0.0001010781 0.0002255285 0.0013301362 -0.0001035503 0.0009004025 0.0020508452 0.0013140700 0.0001731297 0.0050566115 0.0012304342 0.0014720686
1403715896.68168 0.043517 0.424625 0.169823 -0.795807 0.046947 -0.600463 0.062693 0.0015641575 0.0001057408 0.0002334842 0.0013344175 -0.0001021123 0.0009070182 0.0021065100 0.0013468413 0.0001708156 0.0051193679 0.0012262596 0.0015064549
1403715896.73168 0.040284 0.414882 0.176111 -0.794916 0.047916 -0.601368 0.064569 0.0015756506 0.0001100690 0.0002356624 0.0013388276 -0.0001017961 0.0009098572 0.0021421498 0.0013770448 0.0001743198 0.0051931801 0.0012303029 0.0015357699
1403715896.78168 0.036043 0.401384 0.181808 -0.796073 0.048628 -0.599589 0.066305 0.0015906381 0.0001138021 0.0002334499 0.0013435417 -0.0001019204 0.0009095018 0.0021786295 0.0014092815 0.0001781843 0.0052751120 0.0012355520 0.0015673556
1403715896.83168 0.030942 0.384147 0.187400 -0.797950 0.049857 -0.596667 0.069125 0.0016077870 0.0001169852 0.0002289676 0.0013476816 -0.0001032653 0.0009081598 0.0022178700 0.0014439482 0.0001824364 0.0053665467 0.0012419073 0.0016015717
1403715896.88168 0.024975 0.362933 0.193239 -0.799467 0.051707 -0.594132 0.072020 0.0016250619 0.0001199104 0.0002251065 0.0013517704 -0.0001044931 0.0009073392 0.0022614952 0.0014813381 0.0001873048 0.0054691270 0.0012494770 0.0016386497
1403715896.93168 0.018323 0.338035 0.198935 -0.800896 0.054571 -0.591354 0.076738 0.0016438075 0.0001220975 0.0002202797 0.0013546469 -0.0001073651 0.0009068451 0.0023112352 0.0015217068 0.0001925987 0.0055833860 0.0012583630 0.0016793515
1403715896.98061 -0.033756 0.217375 0.205926 -0.791797 0.049342 -0.598386 0.112063 0.0013536208 -0.0000267021 -0.0000051049 0.0012796711 -0.0002265848 0.0007095096 0.0022278733 0.0013340076 0.0002498549 0.0053036945 0.0013394444 0.0016488893
1403715897.03071 -0.037789 0.183341 0.209399 -0.793565 0.051977 -0.594997 0.116327 0.0012668733 -0.0000723089 -0.0000956335 0.0012239714 -0.0003132325 0.0006168171 0.0021195295 0.0012529102 0.0002830983 0.0053925271 0.0013866723 0.0015386693
1403715897.08080 -0.049468 0.138925 0.220787 -0.792854 0.055996 -0.593635 0.125878 0.0012390938 -0.0000892937 -0.0001446454 0.0012181944 -0.0003327590 0.0005624207 0.0021441518 0.0012454969 0.0002898679 0.0054772145 0.0014161759 0.0015301694
1403715897.13136 -0.053987 0.094857 0.237739 -0.793119 0.057995 -0.591968 0.131043 0.0012166852 -0.0000995087 -0.0001904228 0.0012087932 -0.0003510042 0.0004923635 0.0021643368 0.0012237555 0.0002791875 0.0055541903 0.0014313205 0.0014866149
1403715897.18192 -0.052419 0.038456 0.242832 -0.795149 0.057631 -0.589529 0.129894 0.0011648013 -0.0001189826 -0.0002370342 0.0011935777 -0.0003629229 0.0004474020 0.0019266883 0.0010153507 0.0002720748 0.0054663782 0.0014407906 0.0014546683
1403715897.23214 -0.067496 -0.034832 0.249854 -0.796512 0.054565 -0.588434 0.127817 0.0011516161 -0.0001308766 -0.0002557908 0.0011846175 -0.0003683129 0.0004260713 0.0018082361 0.0009137408 0.0002665275 0.0054876639 0.0014553983 0.0014541776
1403715897.28213 -0.072504 -0.107784 0.250487 -0.797999 0.047721 -0.589238 0.117133 0.0011558338 -0.0001313312 -0.0002552406 0.0011797960 -0.0003656341 0.0004100573 0.0017855011 0.0008365143 0.0002555709 0.0055379528 0.0014557622 0.0014491426
