# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1413393219.50576 -0.013599 0.041604 0.024381 -0.822246 0.003284 -0.569047 0.009276 0.0015266263 -0.0002658540 -0.0000404215 0.0017712357 0.0000430396 0.0012199048 0.0250384725 -0.0055268820 -0.0012874228 0.0182890306 0.0007356022 0.0111529828
1413393219.55524 -0.013176 0.035274 0.016146 -0.819798 0.002841 -0.572574 0.009098 0.0015133447 -0.0002221983 -0.0000797005 0.0015302319 0.0000399547 0.0011308816 0.0039449768 -0.0008593790 -0.0025487462 0.0051194163 0.0008121570 0.0034734280
1413393219.60505 -0.012012 0.036243 0.017403 -0.819290 0.002281 -0.573300 0.009247 0.0015295793 -0.0002164666 -0.0000810372 0.0015238886 0.0000406949 0.0011353708 0.0040256194 -0.0009017961 -0.0026395703 0.0051764356 0.0009217360 0.0035400831
1413393219.65505 -0.011738 0.039641 0.016705 -0.817804 0.001987 -0.575410 0.009757 0.0015480741 -0.0002164341 -0.0000831880 0.0015344250 0.0000396161 0.0011416261 0.0041408342 -0.0010005069 -0.0027506763 0.0055110534 0.0011172624 0.0037040957
1413393219.70647 -0.007347 0.040438 0.023739 -0.817248 0.001362 -0.576199 0.009985 0.0015677612 -0.0002125225 -0.0000861719 0.0015299088 0.0000424332 0.0011465525 0.0042621795 -0.0009914406 -0.0028420148 0.0044778838 0.0007096044 0.0035819599
1413393219.75645 -0.009470 0.044267 0.034838 -0.815685 0.000130 -0.578424 0.009140 0.0015901611 -0.0002116997 -0.0000901073 0.0015378954 0.0000423863 0.0011540002 0.0043756846 -0.0011030489 -0.0029455068 0.0045788705 0.0008203125 0.0036826862
1413393219.80645 -0.007243 0.045270 0.043406 -0.813770 -0.001959 -0.581144 0.006796 0.0016165246 -0.0002104539 -0.0000931668 0.0015459676 0.0000421623 0.0011619559 0.0045554215 -0.0012558786 -0.0031171645 0.0047361762 0.0009800092 0.0038713000
1413393219.85675 -0.031850 0.067809 0.083175 -0.814251 -0.003495 -0.580475 0.005603 0.0016368907 -0.0002042671 -0.0000950750 0.0015464358 0.0000367612 0.0011666111 0.0038030842 -0.0006911013 -0.0023419906 0.0043233960 0.0004081947 0.0030931153
1413393219.90736 -0.032280 0.074687 0.103286 -0.815047 -0.005167 -0.579366 0.002576 0.0016576493 -0.0002040036 -0.0001029984 0.0015498195 0.0000346679 0.0011726218 0.0037211829 -0.0005883241 -0.0022263739 0.0043490086 0.0003290418 0.0030365227
1413393219.95756 -0.027549 0.089698 0.116580 0.813790 0.002914 0.581149 0.002007 0.0016149024 -0.0001945993 -0.0000915376 0.0015462524 0.0000318060 0.0011772814 0.0036890451 -0.0006548342 -0.0021919472 0.0043074198 0.0003833143 0.0030243648
1413393220.00739 -0.027295 0.097375 0.127063 0.811854 -0.001078 0.583858 0.001256 0.0015147440 -0.0001880826 -0.0000681296 0.0014940153 0.0000193957 0.0011594975 0.0036431649 -0.0007102505 -0.0021823989 0.0041797045 0.0004131031 0.0029841858
1413393220.05716 -0.027516 0.102061 0.140160 0.811029 -0.001671 0.585000 0.001877 0.0015193795 -0.0001842383 -0.0000670080 0.0014977218 0.0000176833 0.0011635363 0.0036586271 -0.0007244186 -0.0021903426 0.0042122181 0.0004333838 0.0030055526
1413393220.10720 -0.017499 0.084191 0.133196 -0.809471 -0.002527 -0.587153 0.001075 0.0014556773 -0.0002009207 -0.0000575092 0.0014746377 0.0000364699 0.0011451740 0.0036066859 -0.0005984329 -0.0020958885 0.0039586166 0.0002445763 0.0028570545
1413393220.15639 -0.016128 0.086991 0.138510 0.807676 0.005120 0.589604 0.001195 0.0014535792 -0.0001956437 -0.0000556343 0.0014445002 0.0000482665 0.0011208623 0.0035901864 -0.0006047689 -0.0020902344 0.0039312171 0.0002444667 0.0028285698
1413393220.20524 -0.016054 0.089515 0.148852 0.805310 0.004975 0.592827 0.002608 0.0014512056 -0.0001902567 -0.0000563049 0.0014161871 0.0000532343 0.0011128966 0.0035900050 -0.0005981208 -0.0020853846 0.0039130821 0.0002296054 0.0028171548
1413393220.25517 -0.015529 0.093298 0.157721 0.804684 0.004526 0.593680 0.002782 0.0014511530 -0.0001882526 -0.0000548037 0.0014109295 0.0000551043 0.0011129936 0.0035966011 -0.0005939448 -0.0020804537 0.0039200823 0.0002295306 0.0028201793
1413393220.30522 -0.015436 0.097477 0.166819 0.803981 0.004956 0.594620 0.004115 0.0014521328 -0.0001854588 -0.0000543031 0.0014002513 0.0000566842 0.0011131239 0.0036061008 -0.0005886130 -0.0020765315 0.0039292139 0.0002289715 0.0028235785
1413393220.35523 -0.016076 0.102173 0.175687 0.802733 0.004862 0.596304 0.004213 0.0014515403 -0.0001810201 -0.0000537559 0.0013848112 0.0000608797 0.0011104209 0.0036132110 -0.0005831510 -0.0020724401 0.0039409624 0.0002302487 0.0028291716
