# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1413393890.90663 0.139902 0.181476 0.292580 0.807173 -0.004464 0.590240 0.008337 0.0003780122 0.0000050184 -0.0001162374 0.0000090423 -0.0000018219 0.0000435970 0.0026933921 -0.0000007176 -0.0000513245 0.0025750948 0.0000069170 0.0026382116
1413393890.95662 0.142784 0.193642 0.296667 0.808826 -0.003589 0.587958 0.009619 0.0003766953 0.0000061529 -0.0001183333 0.0000087965 -0.0000022547 0.0000448262 0.0026909556 0.0000003249 -0.0000491638 0.0025769510 0.0000074485 0.0026354039
1413393891.00652 0.145737 0.205700 0.301280 0.810084 -0.003005 0.586216 0.010310 0.0003756805 0.0000069220 -0.0001199155 0.0000087530 -0.0000025460 0.0000457766 0.0026887435 0.0000015829 -0.0000471780 0.0025792677 0.0000081037 0.0026350895
1413393891.05649 0.147385 0.217577 0.306734 0.810794 -0.001621 0.585226 0.011025 0.0003753834 0.0000079668 -0.0001208844 0.0000087404 -0.0000029503 0.0000463825 0.0026870049 0.0000041440 -0.0000457564 0.0025826400 0.0000079767 0.0026351711
1413393891.10638 0.149689 0.230182 0.313856 0.810342 -0.001512 0.585854 0.010882 0.0003762262 0.0000078728 -0.0001204651 0.0000085341 -0.0000028799 0.0000458714 0.0026836757 0.0000070973 -0.0000428413 0.0025864215 0.0000077517 0.0026341597
1413393891.15632 0.151489 0.243406 0.321577 0.810653 -0.001672 0.585441 0.009930 0.0003762623 0.0000071561 -0.0001209718 0.0000083183 -0.0000026181 0.0000459441 0.0026786126 0.0000092626 -0.0000394637 0.0025904713 0.0000077145 0.0026337297
1413393891.20630 0.152200 0.257071 0.329766 0.810165 -0.001692 0.586119 0.009676 0.0003768650 0.0000069567 -0.0001205570 0.0000078270 -0.0000024102 0.0000453212 0.0026733828 0.0000112529 -0.0000347084 0.0025946272 0.0000075884 0.0026312820
1413393891.25628 0.151567 0.270784 0.334072 0.809011 -0.001985 0.587722 0.008928 0.0003778584 0.0000063533 -0.0001194939 0.0000070060 -0.0000019956 0.0000442029 0.0026681942 0.0000122908 -0.0000300299 0.0025984274 0.0000076786 0.0026269618
1413393891.30642 0.149236 0.284573 0.337494 0.804195 -0.001701 0.594299 0.008702 0.0003818326 0.0000063587 -0.0001140360 0.0000066257 -0.0000018120 0.0000401987 0.0026687129 0.0000131805 -0.0000278608 0.0026020202 0.0000079870 0.0026250957
1413393891.35665 0.148494 0.298887 0.337382 0.790938 -0.001179 0.611840 0.008181 0.0003913554 0.0000061132 -0.0000990299 0.0000066950 -0.0000014798 0.0000311068 0.0026743934 0.0000162344 -0.0000280408 0.0026070982 0.0000078345 0.0026259085
1413393891.40681 0.144933 0.312559 0.333634 0.772217 -0.001188 0.635329 0.005971 0.0004020235 0.0000046214 -0.0000769857 0.0000067348 -0.0000008452 0.0000206723 0.0026803508 0.0000195148 -0.0000281324 0.0026123313 0.0000072158 0.0026263709
1413393891.45685 0.137658 0.327138 0.328088 0.752850 -0.001279 0.658184 0.002961 0.0004101106 0.0000025476 -0.0000537341 0.0000068094 -0.0000003329 0.0000129050 0.0026862843 0.0000239994 -0.0000278210 0.0026179470 0.0000066620 0.0026270986
1413393891.50689 0.126917 0.345225 0.323899 0.738001 -0.002091 0.674793 0.002089 0.0004135423 0.0000010908 -0.0000356227 0.0000067169 -0.0000001507 0.0000089181 0.0026917460 0.0000282412 -0.0000281900 0.0026194502 0.0000027348 0.0026255231
1413393891.55687 0.110238 0.359514 0.316245 0.728842 -0.001950 0.684679 0.000004 0.0004153371 -0.0000001635 -0.0000251694 0.0000068257 -0.0000000926 0.0000073991 0.0026986139 0.0000342005 -0.0000276724 0.0026257770 0.0000016627 0.0026263223
1413393891.60682 0.086340 0.373722 0.309066 0.725539 0.000046 0.688175 0.002799 0.0004160475 0.0000025466 -0.0000213771 0.0000069562 -0.0000002847 0.0000070076 0.0027049294 0.0000417560 -0.0000269883 0.0026325696 0.0000003435 0.0026272947
1413393891.65676 0.055436 0.388365 0.302993 0.725122 -0.000081 0.688617 0.002088 0.0004164385 0.0000019828 -0.0000210324 0.0000070712 -0.0000003084 0.0000070021 0.0027119942 0.0000505666 -0.0000262381 0.0026400679 -0.0000013455 0.0026284863
1413393891.70649 0.021704 0.405660 0.296937 0.725367 0.000172 0.688355 0.003330 0.0004159351 0.0000027096 -0.0000213789 0.0000071716 -0.0000003750 0.0000070113 0.0027109015 0.0000561834 -0.0000238966 0.0026455169 -0.0000029090 0.0026295255
1413393891.75642 -0.020910 0.421154 0.293777 0.726391 0.000629 0.687273 0.003393 0.0004161273 0.0000029725 -0.0000227843 0.0000072824 -0.0000004436 0.0000071609 0.0027192439 0.0000657145 -0.0000226962 0.0026548135 -0.0000052248 0.0026309961
1413393891.80593 -0.067465 0.439163 0.287813 0.727906 0.001107 0.685662 0.004431 0.0004159948 0.0000036186 -0.0000251139 0.0000072380 -0.0000004921 0.0000073834 0.0027222350 0.0000749906 -0.0000186082 0.0026651255 -0.0000069231 0.0026299028
1413393891.85550 -0.126103 0.457912 0.294203 0.732484 0.001104 0.680758 0.005887 0.0004156467 0.0000044149 -0.0000298452 0.0000072098 -0.0000006410 0.0000078909 0.0027284408 0.0000831784 -0.0000162851 0.0026731818 -0.0000100030 0.0026290992
1413393891.90559 -0.187751 0.477115 0.294608 0.740739 0.001192 0.671755 0.006979 0.0004140326 0.0000051292 -0.0000408019 0.0000070853 -0.0000009359 0.0000096404 0.0027295311 0.0000898321 -0.0000151414 0.0026826803 -0.0000129408 0.0026291682
1413393891.95549 -0.258830 0.493667 0.296358 0.753678 0.000547 0.657198 0.007771 0.0004108040 0.0000054721 -0.0000561935 0.0000071299 -0.0000012357 0.0000133490 0.0027381489 0.0001036583 -0.0000128089 0.0027048419 -0.0000152785 0.0026317729
1413393892.00549 -0.332092 0.507294 0.298771 0.769647 -0.000384 0.638417 0.008247 0.0004047045 0.0000054100 -0.0000753513 0.0000072079 -0.0000015307 0.0000197814 0.0027478610 0.0001203936 -0.0000099078 0.0027340135 -0.0000176469 0.0026347520
1413393892.05542 -0.410306 0.523529 0.302478 0.784099 -0.000768 0.620569 0.009025 0.0003972481 0.0000056237 -0.0000928157 0.0000072945 -0.0000018725 0.0000275637 0.0027543045 0.0001381070 -0.0000046694 0.0027717565 -0.0000192961 0.0026377953
1413393892.10545 -0.488861 0.540085 0.307392 0.795358 -0.000946 0.606061 0.009779 0.0003903513 0.0000058669 -0.0001061475 0.0000074328 -0.0000021658 0.0000348787 0.0027686306 0.0001594748 0.0000004307 0.0028176279 -0.0000212075 0.0026411006
1413393892.15558 -0.568964 0.558217 0.314757 0.803564 -0.001001 0.595108 0.011418 0.0003846057 0.0000068618 -0.0001158661 0.0000075915 -0.0000026429 0.0000410324 0.0027829541 0.0001799826 0.0000067409 0.0028677257 -0.0000228172 0.0026443482
1413393892.20563 -0.648483 0.575383 0.322972 0.809090 -0.001132 0.587551 0.012486 0.0003806971 0.0000075706 -0.0001222188 0.0000077661 -0.0000030240 0.0000454903 0.0028033313 0.0002039054 0.0000129034 0.0029269451 -0.0000255423 0.0026484424
1413393892.25572 -0.728748 0.592312 0.330171 0.812329 -0.000807 0.583016 0.014577 0.0003783265 0.0000090701 -0.0001260392 0.0000079741 -0.0000036282 0.0000483368 0.0028251930 0.0002280832 0.0000197041 0.0029906327 -0.0000275877 0.0026520822
