# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1413393218.25792 -0.242862 0.286085 0.282123 0.807269 -0.030389 0.589394 0.002755 0.0003819814 -0.0000099258 -0.0001192567 0.0000058743 0.0000031037 0.0000431809 0.0026075926 0.0000424132 -0.0000270560 0.0026538762 0.0000183205 0.0025737443
1413393218.30764 -0.254508 0.300224 0.284972 -0.808279 0.033710 -0.587830 0.001966 0.0003799761 -0.0000145974 -0.0001201178 0.0000059255 0.0000046595 0.0000438919 0.0026083914 0.0000451718 -0.0000259704 0.0026566484 0.0000179243 0.0025695955
1413393218.35708 -0.270924 0.316261 0.285017 -0.808280 0.032966 -0.587871 0.001945 0.0003786559 -0.0000146777 -0.0001203767 0.0000057727 0.0000047139 0.0000440844 0.0026094369 0.0000491039 -0.0000246241 0.0026564969 0.0000165714 0.0025664742
1413393218.40652 -0.288797 0.333680 0.282975 0.807756 -0.030674 0.588709 0.003377 0.0003783883 -0.0000106445 -0.0001195624 0.0000053603 0.0000033984 0.0000433680 0.0026100413 0.0000566950 -0.0000227804 0.0026541804 0.0000127707 0.0025620129
1413393218.45665 -0.305462 0.346844 0.280816 0.807749 -0.027203 0.588834 0.008724 0.0003782632 -0.0000056033 -0.0001193018 0.0000050691 0.0000017941 0.0000430398 0.0026119989 0.0000641770 -0.0000209282 0.0026561109 0.0000103852 0.0025593107
1413393218.50654 -0.321494 0.356764 0.274898 0.807255 -0.023124 0.589590 0.013721 0.0003778939 -0.0000005992 -0.0001185200 0.0000049047 0.0000001867 0.0000424850 0.0026139480 0.0000692148 -0.0000204115 0.0026579533 0.0000084236 0.0025573187
1413393218.55656 -0.338079 0.368290 0.270555 0.806963 -0.020198 0.589944 0.019223 0.0003771966 0.0000039418 -0.0001178970 0.0000048765 -0.0000012615 0.0000420878 0.0026150409 0.0000730781 -0.0000199266 0.0026585153 0.0000059906 0.0025553264
1413393218.60653 -0.351845 0.384033 0.267195 0.806306 -0.018305 0.590760 0.023193 0.0003763945 0.0000070526 -0.0001166097 0.0000049023 -0.0000022352 0.0000413064 0.0026170299 0.0000765197 -0.0000194566 0.0026576107 0.0000033678 0.0025531943
1413393218.65650 -0.369076 0.393274 0.263506 0.805810 -0.016040 0.591442 0.024692 0.0003754038 0.0000088688 -0.0001159031 0.0000049270 -0.0000028050 0.0000409278 0.0026207407 0.0000789367 -0.0000196293 0.0026571743 0.0000023625 0.0025521816
1413393218.70647 -0.384514 0.404644 0.260287 0.805800 -0.016570 0.591432 0.024918 0.0003747201 0.0000086169 -0.0001156478 0.0000048738 -0.0000027268 0.0000408118 0.0026230012 0.0000821344 -0.0000196744 0.0026592893 0.0000012136 0.0025512120
1413393218.75628 -0.400377 0.412326 0.256196 0.806991 -0.014786 0.589856 0.024841 0.0003735382 0.0000094264 -0.0001169017 0.0000048949 -0.0000030170 0.0000417090 0.0026264375 0.0000863970 -0.0000194194 0.0026637784 0.0000005162 0.0025503073
1413393218.80619 -0.415882 0.423006 0.252676 0.810118 -0.015408 0.585606 0.023176 0.0003709218 0.0000080882 -0.0001203817 0.0000048147 -0.0000026866 0.0000442231 0.0026285978 0.0000905034 -0.0000192139 0.0026683661 -0.0000003973 0.0025495985
1413393218.85610 -0.429606 0.435865 0.249953 0.815085 -0.019200 0.578694 0.019512 0.0003666066 0.0000041676 -0.0001258473 0.0000046677 -0.0000014801 0.0000484103 0.0026318979 0.0000951765 -0.0000190036 0.0026719803 -0.0000015250 0.0025489156
1413393218.90600 -0.446008 0.444705 0.247413 0.819984 -0.020865 0.571804 0.015224 0.0003610164 0.0000008680 -0.0001309961 0.0000046073 -0.0000003604 0.0000527945 0.0026357950 0.0000978551 -0.0000190283 0.0026697101 -0.0000021559 0.0025485829
1413393218.95605 -0.461087 0.455203 0.245439 0.824037 -0.022549 0.565952 0.012375 0.0003566427 -0.0000014773 -0.0001352677 0.0000046021 0.0000005147 0.0000566106 0.0026385213 0.0001010859 -0.0000191563 0.0026721478 -0.0000027116 0.0025485594
1413393219.00604 -0.474423 0.465598 0.244632 0.826610 -0.024293 0.562152 0.010552 0.0003538488 -0.0000033099 -0.0001379918 0.0000046193 0.0000012460 0.0000591375 0.0026421647 0.0001050237 -0.0000190954 0.0026752198 -0.0000034011 0.0025483329
1413393219.05606 -0.485749 0.476856 0.245231 0.827979 -0.025136 0.560134 0.008353 0.0003522193 -0.0000050463 -0.0001393755 0.0000046498 0.0000019578 0.0000604855 0.0026458138 0.0001084559 -0.0000190654 0.0026784983 -0.0000036728 0.0025484363
1413393219.10610 -0.495804 0.487967 0.247812 0.827719 -0.025067 0.560524 0.008096 0.0003524216 -0.0000051590 -0.0001390608 0.0000046384 0.0000020047 0.0000601724 0.0026494167 0.0001117877 -0.0000186880 0.0026816983 -0.0000035122 0.0025483445
1413393219.15614 -0.505025 0.496232 0.251296 0.826991 -0.025084 0.561610 0.007099 0.0003524525 -0.0000059396 -0.0001381707 0.0000046191 0.0000023039 0.0000594096 0.0026521860 0.0001139155 -0.0000181112 0.0026812565 -0.0000034988 0.0025476491
1413393219.20617 -0.511613 0.506532 0.255481 0.826519 -0.024613 0.562335 0.006327 0.0003527033 -0.0000063461 -0.0001375141 0.0000045979 0.0000024658 0.0000588261 0.0026541148 0.0001168074 -0.0000176335 0.0026838544 -0.0000035911 0.0025473401
1413393219.25618 -0.517061 0.516508 0.260958 0.825521 -0.023807 0.563839 0.005824 0.0003535129 -0.0000064281 -0.0001363342 0.0000045786 0.0000024832 0.0000577542 0.0026570581 0.0001194805 -0.0000169999 0.0026852646 -0.0000033952 0.0025469927
1413393219.30619 -0.525307 0.520869 0.268796 0.824711 -0.022357 0.565094 0.004550 0.0003538230 -0.0000065904 -0.0001354047 0.0000045092 0.0000025434 0.0000569622 0.0026585279 0.0001219247 -0.0000167545 0.0026845092 -0.0000025253 0.0025462292
1413393219.35621 -0.529676 0.531044 0.275922 0.824495 -0.021819 0.565434 0.003919 0.0003539090 -0.0000068680 -0.0001350081 0.0000044920 0.0000026533 0.0000566349 0.0026589395 0.0001241328 -0.0000162267 0.0026863179 -0.0000020090 0.0025454538
