# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715529.01214 0.045845 0.030740 0.097946 0.816190 -0.000204 0.577633 0.013209 0.0010199418 0.0000000032 -0.0000000165 0.0010199956 -0.0000000234 0.0010199744 0.0307998181 -0.0000010358 -0.0001790790 0.0308002380 -0.0001313069 0.0029010220
1403715529.06214 0.049712 0.036593 0.109636 0.817226 0.000972 0.576216 0.010786 0.0010707378 0.0000000030 -0.0000000182 0.0010707925 -0.0000000243 0.0010707724 0.0360388767 -0.0000013682 -0.0002120125 0.0360391633 -0.0001715826 0.0029558236
1403715529.11260 0.011515 0.052784 0.124808 0.815318 0.003726 0.578963 0.006679 0.0009981056 0.0000145844 -0.0003337732 0.0001312003 -0.0000151538 0.0001959598 0.0046449640 0.0000765032 0.0000137425 0.0026939690 0.0001107959 0.0029945950
1403715529.16186 0.039625 0.059808 0.134075 0.815625 0.009589 0.578502 0.000330 0.0004168582 0.0000298283 -0.0001478823 0.0000485727 -0.0000227897 0.0000791288 0.0027422025 -0.0000452432 -0.0000226706 0.0025548486 0.0000144738 0.0025765552
1403715529.21178 0.042872 0.067280 0.150924 -0.816419 -0.015781 -0.577225 0.004802 0.0004127919 0.0000219588 -0.0001446518 0.0000404244 -0.0000162904 0.0000768374 0.0026536967 -0.0000128665 0.0000002424 0.0025398361 0.0000089537 0.0025748147
1403715529.26073 0.034883 0.076720 0.166787 -0.820226 -0.019670 -0.571625 0.009327 0.0004044242 0.0000216485 -0.0001452875 0.0000319138 -0.0000122966 0.0000740033 0.0026159096 -0.0000114796 -0.0000044949 0.0025348001 0.0000089131 0.0025627115
1403715529.31259 0.040600 0.083263 0.184150 -0.822449 -0.026635 -0.568040 0.014117 0.0003905498 0.0000168620 -0.0001440409 0.0000238158 -0.0000090498 0.0000716013 0.0025833603 -0.0000065728 -0.0000068823 0.0025299248 0.0000079656 0.0025521952
1403715529.36236 0.045295 0.091521 0.203433 -0.824071 -0.036966 -0.564937 0.019684 0.0003843533 0.0000177038 -0.0001456665 0.0000231587 -0.0000091136 0.0000738644 0.0025739954 -0.0000041853 -0.0000055111 0.0025282648 0.0000079741 0.0025509974
1403715529.41270 0.049212 0.099780 0.217968 -0.824689 -0.045787 -0.563221 0.023941 0.0003706559 0.0000157739 -0.0001412904 0.0000206218 -0.0000081090 0.0000709670 0.0025636878 -0.0000023389 -0.0000023653 0.0025275025 0.0000079208 0.0025482170
1403715529.46244 0.056509 0.108094 0.230944 -0.823828 -0.054120 -0.563514 0.028813 0.0003643771 0.0000149129 -0.0001382093 0.0000191834 -0.0000075799 0.0000680687 0.0025603097 -0.0000016297 -0.0000014484 0.0025278123 0.0000085703 0.0025464462
1403715529.51276 0.064277 0.116819 0.242881 -0.823482 -0.060386 -0.563239 0.031508 0.0003631528 0.0000145900 -0.0001363573 0.0000184253 -0.0000071247 0.0000656568 0.0025582466 -0.0000011371 -0.0000001490 0.0025289313 0.0000088907 0.0025442134
1403715529.56265 0.070155 0.124927 0.249891 -0.822432 -0.067464 -0.563734 0.035469 0.0003612583 0.0000144092 -0.0001358503 0.0000169491 -0.0000061178 0.0000633730 0.0025563278 -0.0000013949 0.0000021533 0.0025299014 0.0000091279 0.0025425918
1403715529.61260 0.078331 0.134651 0.256921 -0.821661 -0.072604 -0.564073 0.037725 0.0003619987 0.0000153437 -0.0001347287 0.0000163165 -0.0000057866 0.0000610742 0.0025585814 -0.0000013302 0.0000030892 0.0025315046 0.0000097648 0.0025428001
1403715529.66258 0.087052 0.145235 0.262080 -0.820502 -0.076746 -0.565071 0.039753 0.0003621274 0.0000149124 -0.0001339501 0.0000139193 -0.0000050026 0.0000590370 0.0025615562 -0.0000016030 0.0000035631 0.0025330265 0.0000100104 0.0025427999
1403715529.71205 0.098098 0.158353 0.268527 -0.819568 -0.082058 -0.565667 0.039955 0.0003620510 0.0000160734 -0.0001333995 0.0000119209 -0.0000050467 0.0000575693 0.0025644722 -0.0000019023 0.0000036684 0.0025346700 0.0000101062 0.0025430084
1403715529.76218 0.106888 0.169861 0.274390 -0.818949 -0.086012 -0.565913 0.040827 0.0003604068 0.0000162666 -0.0001339189 0.0000100595 -0.0000052208 0.0000572572 0.0025670359 -0.0000032522 0.0000036082 0.0025356789 0.0000101675 0.0025433496
1403715529.81209 0.117493 0.181971 0.282242 -0.818284 -0.088110 -0.566403 0.042851 0.0003603608 0.0000152756 -0.0001333480 0.0000089548 -0.0000050572 0.0000562853 0.0025701113 -0.0000041242 0.0000036575 0.0025369551 0.0000104013 0.0025438912
1403715529.86178 0.128262 0.194459 0.290737 -0.817959 -0.090309 -0.566395 0.044541 0.0003597268 0.0000145402 -0.0001333454 0.0000078534 -0.0000049235 0.0000560239 0.0025721796 -0.0000056189 0.0000037036 0.0025384280 0.0000105568 0.0025445368
1403715529.91170 0.136052 0.205968 0.300169 -0.816680 -0.091236 -0.567853 0.047451 0.0003595256 0.0000124740 -0.0001324482 0.0000068832 -0.0000042093 0.0000550429 0.0025735897 -0.0000072806 0.0000037833 0.0025399279 0.0000106613 0.0025451080
1403715529.96170 0.144827 0.217550 0.311132 -0.815021 -0.091905 -0.569925 0.049802 0.0003609371 0.0000114850 -0.0001308560 0.0000066532 -0.0000038088 0.0000535681 0.0025768866 -0.0000080068 0.0000042327 0.0025419639 0.0000109223 0.0025459103
1403715530.01163 0.153547 0.229824 0.323324 -0.812611 -0.093734 -0.573041 0.050003 0.0003626876 0.0000122934 -0.0001285049 0.0000065876 -0.0000040105 0.0000515590 0.0025803619 -0.0000085218 0.0000048376 0.0025444578 0.0000112869 0.0025466547
1403715530.06149 0.163743 0.243764 0.337546 -0.809096 -0.096357 -0.577659 0.048877 0.0003650234 0.0000143397 -0.0001249910 0.0000066326 -0.0000045709 0.0000487360 0.0025847361 -0.0000087583 0.0000054081 0.0025471351 0.0000116905 0.0025472996
1403715530.11146 0.171163 0.257616 0.352945 -0.805496 -0.099486 -0.582344 0.046415 0.0003672352 0.0000176940 -0.0001215068 0.0000068858 -0.0000055234 0.0000460686 0.0025889508 -0.0000094898 0.0000057243 0.0025501615 0.0000118016 0.0025477826
1403715530.16160 0.180643 0.276420 0.369488 -0.804340 -0.102128 -0.583747 0.042967 0.0003677379 0.0000207595 -0.0001204922 0.0000072483 -0.0000064836 0.0000453101 0.0025947179 -0.0000094498 0.0000063892 0.0025528483 0.0000121737 0.0025485682
1403715530.21196 0.189225 0.295334 0.388046 -0.804998 -0.104661 -0.582629 0.039597 0.0003663488 0.0000238034 -0.0001215688 0.0000075848 -0.0000076006 0.0000461663 0.0026013805 -0.0000105701 0.0000072855 0.0025559764 0.0000126274 0.0025496142
1403715530.26220 0.195089 0.314760 0.408194 -0.806781 -0.107049 -0.579964 0.035882 0.0003639968 0.0000267320 -0.0001238371 0.0000079295 -0.0000088312 0.0000479799 0.0026081696 -0.0000119001 0.0000082895 0.0025589789 0.0000133419 0.0025508055
1403715530.31231 0.200386 0.334765 0.431599 -0.808171 -0.108485 -0.577908 0.033364 0.0003619799 0.0000284621 -0.0001255306 0.0000080278 -0.0000096587 0.0000493810 0.0026142134 -0.0000139113 0.0000088994 0.0025609805 0.0000141702 0.0025516721
1403715530.36238 0.203440 0.356512 0.457521 -0.809471 -0.107306 -0.576205 0.035063 0.0003610050 0.0000265358 -0.0001268618 0.0000076042 -0.0000091474 0.0000504149 0.0026197019 -0.0000163744 0.0000090419 0.0025624271 0.0000149356 0.0025523255
