# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715893.98406 0.011872 0.041531 0.069076 0.817367 0.007282 0.576067 0.002336 0.0010144521 0.0000001654 0.0000000562 0.0010149623 0.0000001763 0.0010144622 0.0300923069 0.0000000652 -0.0000380104 0.0300912141 -0.0001641677 0.0028949919
1403715894.03406 0.011079 0.047238 0.077910 0.821715 0.006592 0.569855 0.002564 0.0010650242 0.0000001753 0.0000000631 0.0010655498 0.0000001817 0.0010650343 0.0352158316 0.0000002281 -0.0000363803 0.0352142489 -0.0002053466 0.0029490343
1403715894.08406 0.011134 0.053402 0.086258 0.826444 0.006704 0.562967 0.003502 0.0011175899 0.0000001807 0.0000000692 0.0011181386 0.0000001810 0.0011176003 0.0410595158 0.0000004443 -0.0000386936 0.0410572156 -0.0002545687 0.0030087325
1403715894.13406 0.011711 0.059858 0.094672 0.828122 0.008332 0.560446 0.006661 0.0011721418 0.0000001796 0.0000000735 0.0011727311 0.0000001814 0.0011721567 0.0477047879 0.0000007212 -0.0000442207 0.0477015262 -0.0003119445 0.0030744828
1403715894.18280 -0.011530 0.099060 0.104768 0.825596 0.013223 0.563939 0.013799 0.0011385787 0.0000802242 -0.0002267687 0.0008108297 0.0003134473 0.0005199587 0.0329056465 0.0214426741 -0.0003751414 0.0197388423 0.0000891906 0.0031391555
1403715894.23280 -0.010545 0.109093 0.117474 0.822521 0.016249 0.568191 0.018809 0.0011952668 0.0000831374 -0.0002311742 0.0008529264 0.0003201032 0.0005470119 0.0376694962 0.0247538929 -0.0004283471 0.0223718833 0.0000885367 0.0032122040
1403715894.28441 -0.030113 0.106369 0.132186 0.818935 0.019768 0.573013 0.024709 0.0012219405 0.0000603658 -0.0002688117 0.0005116987 0.0000506826 0.0003482997 0.0088891241 0.0026393584 -0.0010442901 0.0056926959 -0.0003334890 0.0032824483
1403715894.33484 -0.052022 0.117465 0.153116 0.814538 0.023120 0.578861 0.030231 0.0010255673 0.0000717874 -0.0002241575 0.0001661164 -0.0000361061 0.0002775814 0.0034763922 0.0001160687 -0.0004764867 0.0040895578 -0.0000368906 0.0032466863
1403715894.38392 -0.071015 0.111607 0.199106 0.814919 0.025650 0.578026 0.033701 0.0004498162 0.0000594126 -0.0001203342 0.0000493570 -0.0000152047 0.0000712107 0.0026701000 -0.0000265826 -0.0001334514 0.0027559953 0.0001019236 0.0027997490
1403715894.43368 -0.071284 0.137861 0.217445 0.815300 0.023403 0.577201 0.039716 0.0004076730 0.0000500210 -0.0001252993 0.0000380363 -0.0000143188 0.0000599349 0.0026293657 -0.0000119351 -0.0000980135 0.0026717867 0.0000604082 0.0027421787
1403715894.48327 -0.076624 0.153258 0.241202 0.818070 0.021757 0.573307 0.040089 0.0003840844 0.0000441915 -0.0001260060 0.0000295553 -0.0000142063 0.0000570320 0.0026154058 0.0000003247 -0.0000822181 0.0026295756 0.0000450440 0.0027234423
1403715894.53328 -0.074683 0.173504 0.252733 0.820928 0.019375 0.569339 0.039424 0.0003746743 0.0000390219 -0.0001312736 0.0000232831 -0.0000138626 0.0000577527 0.0026033030 0.0000062242 -0.0000624615 0.0026213109 0.0000371106 0.0026960588
