# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1413393219.95576 0.018287 0.017336 0.067164 -0.809870 -0.003869 -0.586596 0.001184 0.0004501517 -0.0000866056 0.0002146995 0.0011293593 0.0000238322 0.0009887239 0.0091947737 -0.0001458832 -0.0027986153 0.0034403485 -0.0006215539 0.0022358275
1413393220.00614 0.020699 0.025303 0.084944 -0.809158 -0.004170 -0.587576 0.000834 0.0004450804 -0.0000839641 0.0001883367 0.0010619361 0.0000246668 0.0009206363 0.0012552754 0.0001602012 -0.0003756904 0.0006511708 -0.0000812715 0.0013928688
1413393220.05470 0.023235 0.029158 0.094247 0.808034 0.004383 0.589120 0.000659 0.0004385161 -0.0000818807 0.0001880319 0.0010481183 0.0000232244 0.0009194669 0.0010353942 0.0001702039 -0.0003093532 0.0006253022 -0.0001172043 0.0011364497
1413393220.10313 0.024822 0.040713 0.111939 0.807461 0.003815 0.589907 0.001748 0.0004405169 -0.0000834834 0.0001859746 0.0010479471 0.0000238419 0.0009209670 0.0010746912 0.0001792654 -0.0002829169 0.0006476147 -0.0001029446 0.0011763428
1413393220.15372 0.030024 0.048759 0.127314 0.807229 0.003680 0.590220 0.002791 0.0004422256 -0.0000867359 0.0001843668 0.0010478521 0.0000252956 0.0009227936 0.0010831009 0.0001511636 -0.0002512585 0.0006638691 -0.0000900867 0.0012879891
1413393220.20356 0.035124 0.056255 0.147920 0.806817 0.004265 0.590774 0.003693 0.0004458745 -0.0000891348 0.0001824008 0.0010472486 0.0000266796 0.0009245241 0.0010958787 0.0001404138 -0.0003103354 0.0007037632 -0.0000984742 0.0011998355
1413393220.25437 0.055986 0.051070 0.162552 0.808024 0.006673 0.589109 0.001717 0.0004376186 -0.0000828869 0.0001849841 0.0010441286 0.0000250293 0.0009248818 0.0011199797 0.0002002329 -0.0002859953 0.0007201939 -0.0000559342 0.0013554835
1413393220.30502 0.062644 0.054240 0.185413 0.807689 0.007359 0.589557 0.002515 0.0004414788 -0.0000855569 0.0001870653 0.0010444892 0.0000264971 0.0009239115 0.0011396401 0.0002022968 -0.0002935346 0.0007645379 -0.0000072257 0.0013137978
1413393220.35426 0.054621 0.063340 0.196090 0.806535 0.006184 0.591147 0.002762 0.0004272200 -0.0000784977 0.0001913232 0.0010406245 0.0000246234 0.0009206656 0.0010920725 0.0001926986 -0.0003154465 0.0006858229 -0.0000187184 0.0010462975
1413393220.40433 0.051239 0.073598 0.220017 0.806581 0.005579 0.591090 0.002977 0.0004236665 -0.0000773624 0.0001893836 0.0010405423 0.0000250146 0.0009202582 0.0010638293 0.0001744764 -0.0003186742 0.0006208901 -0.0001076015 0.0008660038
