# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1413393219.70580 0.001967 0.029911 0.006640 -0.815702 0.003501 -0.578382 0.009605 0.0005615315 -0.0000834941 0.0001928677 0.0010492466 0.0000182121 0.0009272034 0.0027834375 -0.0004310612 -0.0019534950 0.0025180043 0.0003033081 0.0017906437
1413393219.75599 0.009719 0.032230 0.008983 -0.813758 0.002274 -0.581139 0.008393 0.0005619212 -0.0000824944 0.0001823964 0.0010303604 0.0000239810 0.0009139741 0.0013398084 -0.0002395410 -0.0006782541 0.0011803036 -0.0000153439 0.0006535026
1413393219.80634 0.015247 0.035482 0.017353 -0.811703 0.000281 -0.584039 0.005980 0.0005663641 -0.0000864294 0.0001780938 0.0010280017 0.0000270257 0.0009172833 0.0013638212 -0.0002519776 -0.0006927506 0.0011891535 0.0000088727 0.0006763510
1413393219.85743 0.019637 0.039462 0.030188 -0.811053 -0.000286 -0.584950 0.005108 0.0005726855 -0.0000888426 0.0001761017 0.0010291442 0.0000280875 0.0009196411 0.0014791405 -0.0002730462 -0.0007455156 0.0011879376 0.0000307883 0.0007211249
1413393219.90730 0.024064 0.043577 0.047216 -0.810158 -0.001421 -0.586196 0.003910 0.0005794000 -0.0000923378 0.0001735797 0.0010301877 0.0000294469 0.0009226803 0.0016298139 -0.0003307564 -0.0008019220 0.0012068401 0.0000697585 0.0007702708
1413393219.95726 0.020937 0.047821 0.068642 -0.809241 -0.003191 -0.587464 0.002397 0.0005782263 -0.0000943010 0.0001750811 0.0010311820 0.0000302501 0.0009231134 0.0012739608 -0.0002796401 -0.0005421561 0.0012031140 0.0000385225 0.0006302060
1413393220.00706 0.024529 0.050879 0.081822 -0.808320 -0.003467 -0.588731 0.001350 0.0005738496 -0.0000927587 0.0001758050 0.0010315943 0.0000303585 0.0009248521 0.0012844886 -0.0003039739 -0.0005025932 0.0012089353 0.0000456385 0.0006209476
1413393220.05683 0.025763 0.054247 0.093740 -0.807321 -0.003746 -0.590101 0.000418 0.0005717016 -0.0000899681 0.0001754731 0.0010297126 0.0000304427 0.0009268648 0.0011983796 -0.0002847501 -0.0004656540 0.0011961056 0.0000326428 0.0006070424
1413393220.10650 0.022542 0.061698 0.107841 0.806819 0.002994 0.590791 0.000279 0.0005631572 -0.0000863785 0.0001770151 0.0010292508 0.0000298479 0.0009256424 0.0011249494 -0.0002353640 -0.0004405842 0.0011520386 0.0000059311 0.0005792747
1413393220.15657 0.025225 0.070071 0.120846 0.806411 0.001925 0.591351 0.001398 0.0005617871 -0.0000856936 0.0001743773 0.0010301708 0.0000304461 0.0009245576 0.0011432669 -0.0002411531 -0.0004457004 0.0011550705 0.0000016392 0.0005795300
1413393220.20672 0.029917 0.068487 0.127545 0.805742 0.002866 0.592259 0.000973 0.0005356123 -0.0000846345 0.0001731847 0.0010294594 0.0000314411 0.0009239905 0.0010934028 -0.0001666149 -0.0004171107 0.0010242499 -0.0000761356 0.0005184899
1413393220.25647 0.028630 0.070184 0.134774 0.805210 0.002595 0.592983 0.000792 0.0005340425 -0.0000825909 0.0001725190 0.0010312926 0.0000310487 0.0009260456 0.0011006318 -0.0001610719 -0.0004150480 0.0010251294 -0.0000755027 0.0005275049
1413393220.30658 0.029537 0.074465 0.147324 0.804777 0.003253 0.593566 0.001914 0.0005347056 -0.0000835924 0.0001715862 0.0010327259 0.0000316359 0.0009282625 0.0011175511 -0.0001574737 -0.0004133637 0.0010368588 -0.0000728237 0.0005429190
1413393220.35619 0.032708 0.080113 0.155979 0.804702 0.003499 0.593666 0.001594 0.0005334998 -0.0000817198 0.0001721083 0.0010329523 0.0000309628 0.0009277807 0.0011182514 -0.0001486535 -0.0004081974 0.0010428282 -0.0000783361 0.0005408358
1413393220.40621 0.032933 0.085119 0.167359 0.804668 0.003101 0.593715 0.001781 0.0005345505 -0.0000814124 0.0001723067 0.0010348569 0.0000312453 0.0009282737 0.0011398036 -0.0001431609 -0.0004077887 0.0010533097 -0.0000776884 0.0005555621
1413393220.45611 0.030558 0.088189 0.177470 0.805079 0.002724 0.593160 0.001388 0.0005351690 -0.0000805470 0.0001728959 0.0010352429 0.0000313506 0.0009277086 0.0011454508 -0.0001370663 -0.0004073390 0.0010593038 -0.0000816403 0.0005562046
