# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1413393890.15306 0.038846 0.004558 0.203491 0.816243 0.010102 0.576894 0.028959 0.0009829158 0.0000733782 -0.0000918071 0.0004777040 0.0000456285 0.0002564660 0.0132763681 0.0008121334 -0.0000397354 0.0052223422 0.0000311451 0.0028832128
1413393890.20683 0.058917 0.007522 0.226893 0.815747 0.008815 0.577788 0.025298 0.0005968290 0.0000271767 -0.0001145833 0.0001531913 -0.0000064761 0.0001584117 0.0036355885 0.0001169137 0.0000287984 0.0036408100 0.0000573054 0.0029150000
1413393890.25692 0.067574 0.042556 0.253928 0.813486 0.001769 0.581126 0.023011 0.0004547802 0.0000470999 -0.0001033889 0.0001355124 -0.0000091976 0.0001361953 0.0033028952 0.0001906168 0.0000170848 0.0028501402 0.0000548720 0.0029319154
1413393890.30707 0.075005 0.052595 0.270178 0.811855 -0.000542 0.583536 0.019409 0.0004491382 0.0000368152 -0.0001060731 0.0001032082 -0.0000105968 0.0001293265 0.0032682123 0.0002140157 -0.0000010294 0.0028381332 0.0000552941 0.0029544764
1413393890.35728 0.085946 0.061294 0.282048 0.810970 -0.001991 0.584861 0.016145 0.0004437668 0.0000273367 -0.0001017665 0.0000820449 -0.0000085902 0.0001095192 0.0031957805 0.0002323428 -0.0000511323 0.0027971606 0.0000371996 0.0029534850
1413393890.40734 0.096355 0.073921 0.287502 0.810372 -0.004304 0.585749 0.013309 0.0004361523 0.0000216773 -0.0001071185 0.0000677419 -0.0000064356 0.0000970309 0.0031443340 0.0002190132 -0.0000928464 0.0027892199 0.0000223283 0.0029296363
1413393890.45701 0.105216 0.085349 0.287544 0.808642 -0.006239 0.588174 0.010521 0.0004275630 0.0000162727 -0.0001073112 0.0000590456 -0.0000066659 0.0000821520 0.0031006412 0.0002021547 -0.0001080126 0.0027761529 0.0000218169 0.0029494086
1413393890.50651 0.110481 0.095615 0.282378 0.803141 -0.008188 0.595694 0.006787 0.0004283804 0.0000110416 -0.0001066091 0.0000545932 -0.0000082449 0.0000707272 0.0030715775 0.0002044871 -0.0001238969 0.0027922311 0.0000164179 0.0029645473
1413393890.55639 0.122178 0.107707 0.285234 0.797011 -0.010038 0.603867 0.004160 0.0004296371 0.0000031338 -0.0000998985 0.0000434702 -0.0000038812 0.0000569630 0.0030287813 0.0001929614 -0.0001641092 0.0027898787 -0.0000151885 0.0028982090
1413393890.60640 0.124900 0.117320 0.287534 0.791764 -0.010269 0.610727 0.004101 0.0004285792 0.0000021932 -0.0000953102 0.0000401245 -0.0000055550 0.0000461687 0.0029656399 0.0001700043 -0.0001341455 0.0027872021 -0.0000086399 0.0028747081
1413393890.65650 0.131599 0.126392 0.291524 0.791346 -0.009864 0.611271 0.004758 0.0004229301 0.0000015797 -0.0000973240 0.0000270817 -0.0000015682 0.0000403718 0.0029190843 0.0001367851 -0.0001468909 0.0027626616 -0.0000185047 0.0027852332
1413393890.70658 0.134565 0.135583 0.292425 0.794280 -0.008838 0.607458 0.005894 0.0004178194 0.0000013963 -0.0001028848 0.0000233117 -0.0000015281 0.0000402172 0.0028751618 0.0001110550 -0.0001332543 0.0027552016 -0.0000173515 0.0027563483
1413393890.75682 0.138307 0.143472 0.291025 0.798032 -0.007427 0.602529 0.006947 0.0004067739 0.0000042322 -0.0001097112 0.0000166077 -0.0000014052 0.0000416084 0.0028339981 0.0000719445 -0.0001212900 0.0027077640 -0.0000006481 0.0027042563
1413393890.80702 0.139662 0.154030 0.291905 0.801763 -0.006218 0.597562 0.007552 0.0004004510 0.0000032116 -0.0001134716 0.0000135176 -0.0000010573 0.0000430240 0.0027890413 0.0000528301 -0.0001084984 0.0026927224 -0.0000010159 0.0026810468
1413393890.85726 0.145089 0.167044 0.290909 0.804810 -0.005201 0.593437 0.009337 0.0003970975 0.0000049877 -0.0001173916 0.0000115808 -0.0000015691 0.0000449765 0.0027738193 0.0000459218 -0.0000996613 0.0026886165 0.0000042536 0.0026624376
1413393890.90721 0.147113 0.178795 0.294533 0.807164 -0.005050 0.590227 0.009643 0.0003953304 0.0000056934 -0.0001198999 0.0000109735 -0.0000019260 0.0000462267 0.0027650248 0.0000442257 -0.0000954490 0.0026915288 0.0000062628 0.0026575325
1413393890.95712 0.150763 0.192034 0.298116 0.808800 -0.004299 0.587965 0.011016 0.0003940554 0.0000069007 -0.0001221875 0.0000105892 -0.0000022946 0.0000474170 0.0027565971 0.0000442033 -0.0000900589 0.0026959237 0.0000079948 0.0026528016
1413393891.00693 0.154585 0.204749 0.302059 0.810076 -0.003738 0.586194 0.011797 0.0003931437 0.0000078187 -0.0001239524 0.0000101233 -0.0000025067 0.0000482144 0.0027489549 0.0000459901 -0.0000838318 0.0027020382 0.0000096037 0.0026489313
1413393891.05687 0.156868 0.216902 0.307335 0.810805 -0.002349 0.585177 0.012561 0.0003921328 0.0000088327 -0.0001250417 0.0000097665 -0.0000028028 0.0000486265 0.0027411771 0.0000474352 -0.0000789445 0.0027065008 0.0000094939 0.0026463233
1413393891.10671 0.159463 0.230655 0.314574 0.810394 -0.002339 0.585747 0.012500 0.0003925769 0.0000088823 -0.0001248455 0.0000093144 -0.0000027068 0.0000479521 0.0027316884 0.0000497869 -0.0000722364 0.0027128820 0.0000102220 0.0026431752
1413393891.15658 0.160262 0.244085 0.323207 0.810820 -0.002525 0.585179 0.011434 0.0003918155 0.0000082848 -0.0001255204 0.0000086467 -0.0000024389 0.0000478503 0.0027199473 0.0000516195 -0.0000638858 0.0027187048 0.0000119609 0.0026395176
1413393891.20654 0.159836 0.257529 0.332760 0.810478 -0.002516 0.585659 0.011074 0.0003920286 0.0000081806 -0.0001253981 0.0000081179 -0.0000023420 0.0000472420 0.0027111793 0.0000535667 -0.0000568910 0.0027250157 0.0000132799 0.0026360973
1413393891.25646 0.158937 0.270751 0.338119 0.809401 -0.002756 0.587159 0.010290 0.0003927235 0.0000076432 -0.0001245223 0.0000074116 -0.0000020579 0.0000461560 0.0027032966 0.0000549115 -0.0000506831 0.0027299482 0.0000140704 0.0026318592
1413393891.30658 0.156256 0.283965 0.341175 0.804455 -0.002401 0.593924 0.010005 0.0003970871 0.0000077188 -0.0001190038 0.0000071833 -0.0000019558 0.0000420821 0.0027027400 0.0000563392 -0.0000482635 0.0027374983 0.0000152709 0.0026309086
1413393891.35674 0.154978 0.298172 0.341645 0.791222 -0.001877 0.611452 0.009517 0.0004077661 0.0000074912 -0.0001034264 0.0000072872 -0.0000015581 0.0000325657 0.0027088135 0.0000616862 -0.0000487803 0.0027496989 0.0000160253 0.0026329719
1413393891.40686 0.151147 0.311851 0.338842 0.772584 -0.001906 0.634867 0.007429 0.0004194869 0.0000059478 -0.0000807076 0.0000073610 -0.0000008218 0.0000217549 0.0027147452 0.0000671061 -0.0000489608 0.0027618994 0.0000161357 0.0026347097
1413393891.45690 0.143203 0.326313 0.333677 0.753265 -0.001867 0.657700 0.004330 0.0004283698 0.0000037866 -0.0000567478 0.0000074449 -0.0000002325 0.0000136716 0.0027197269 0.0000737045 -0.0000485993 0.0027750198 0.0000161317 0.0026363684
1413393891.50691 0.131757 0.344841 0.329231 0.738381 -0.002575 0.674371 0.003375 0.0004315648 0.0000019404 -0.0000380353 0.0000072867 0.0000000039 0.0000094824 0.0027238965 0.0000798442 -0.0000487109 0.0027779934 0.0000098451 0.0026345753
1413393891.55689 0.115122 0.359437 0.321682 0.729240 -0.002374 0.684253 0.001223 0.0004339170 0.0000005945 -0.0000272500 0.0000074115 0.0000000795 0.0000078665 0.0027296402 0.0000881262 -0.0000479059 0.0027925087 0.0000093377 0.0026363690
1413393891.60684 0.091153 0.373924 0.314728 0.725949 -0.000331 0.687737 0.003944 0.0004351294 0.0000033963 -0.0000234634 0.0000075723 -0.0000001295 0.0000074625 0.0027349955 0.0000979870 -0.0000469300 0.0028082760 0.0000085648 0.0026383684
1413393891.65676 0.060011 0.388700 0.308973 0.725546 -0.000408 0.688166 0.003141 0.0004360361 0.0000027838 -0.0000232847 0.0000077078 -0.0000001627 0.0000074793 0.0027414401 0.0001094625 -0.0000458852 0.0028256603 0.0000074746 0.0026406865
1413393891.70645 0.025798 0.408518 0.303706 0.725796 -0.000349 0.687896 0.004421 0.0004338799 0.0000035402 -0.0000234991 0.0000078441 -0.0000002644 0.0000074715 0.0027343338 0.0001071315 -0.0000424807 0.0028265631 0.0000079425 0.0026427509
1413393891.75637 -0.017196 0.424222 0.301033 0.726832 0.000081 0.686801 0.004395 0.0004344064 0.0000037262 -0.0000250898 0.0000079842 -0.0000003512 0.0000076624 0.0027429867 0.0001189688 -0.0000409274 0.0028450181 0.0000065536 0.0026456176
1413393891.80582 -0.065699 0.441023 0.296843 0.728423 0.000606 0.685108 0.005202 0.0004341181 0.0000042889 -0.0000275426 0.0000079814 -0.0000004332 0.0000079264 0.0027458066 0.0001298934 -0.0000371039 0.0028624456 0.0000045302 0.0026461806
1413393891.85529 -0.124585 0.462299 0.304480 0.733089 0.000129 0.680099 0.006833 0.0004336090 0.0000049138 -0.0000325721 0.0000079444 -0.0000006456 0.0000084300 0.0027506990 0.0001408009 -0.0000344663 0.0028781995 0.0000000172 0.0026458477
1413393891.90543 -0.188624 0.478196 0.306290 0.741337 0.000090 0.671090 0.007604 0.0004317782 0.0000055192 -0.0000440494 0.0000078950 -0.0000009923 0.0000103406 0.0027533084 0.0001525717 -0.0000319096 0.0028998031 -0.0000020383 0.0026484049
1413393891.95537 -0.259805 0.494540 0.308829 0.754286 -0.000705 0.656493 0.008346 0.0004286335 0.0000056488 -0.0000602402 0.0000079928 -0.0000012996 0.0000143472 0.0027595853 0.0001689395 -0.0000284229 0.0029349330 -0.0000034403 0.0026528839
1413393892.00539 -0.331979 0.508921 0.311004 0.770227 -0.001586 0.637708 0.008724 0.0004221000 0.0000054433 -0.0000802569 0.0000081208 -0.0000015955 0.0000212201 0.0027683667 0.0001877614 -0.0000248162 0.0029756037 -0.0000062795 0.0026574740
1413393892.05533 -0.409365 0.525395 0.314849 0.784692 -0.001975 0.619811 0.009451 0.0004143444 0.0000056790 -0.0000984455 0.0000082743 -0.0000019558 0.0000294540 0.0027737281 0.0002075769 -0.0000180450 0.0030278267 -0.0000076620 0.0026618682
1413393892.10538 -0.488332 0.540420 0.320597 0.795960 -0.002074 0.605260 0.010135 0.0004073343 0.0000059249 -0.0001124044 0.0000084686 -0.0000022549 0.0000372057 0.0027870803 0.0002315575 -0.0000121505 0.0030899196 -0.0000098760 0.0026670044
1413393892.15546 -0.568666 0.555934 0.328858 0.804215 -0.001994 0.594222 0.011591 0.0004016571 0.0000069425 -0.0001226548 0.0000086880 -0.0000027500 0.0000437802 0.0028007189 0.0002560041 -0.0000049521 0.0031584998 -0.0000124516 0.0026726737
1413393892.20553 -0.647623 0.572619 0.337628 0.809746 -0.002053 0.586642 0.012593 0.0003978953 0.0000076215 -0.0001294385 0.0000089157 -0.0000031280 0.0000485641 0.0028188282 0.0002819223 0.0000026679 0.0032354099 -0.0000151935 0.0026788695
1413393892.25563 -0.727663 0.588800 0.345176 0.812988 -0.001652 0.582094 0.014617 0.0003956370 0.0000092127 -0.0001335093 0.0000091689 -0.0000037681 0.0000516085 0.0028395067 0.0003077961 0.0000112849 0.0033138358 -0.0000163142 0.0026842472
1413393892.30562 -0.804526 0.606454 0.350313 0.814680 -0.002860 0.579704 0.015206 0.0003936719 0.0000092266 -0.0001355328 0.0000093430 -0.0000038017 0.0000531884 0.0028612119 0.0003286880 0.0000216586 0.0033706894 -0.0000133096 0.0026891321
1413393892.35559 -0.881010 0.621424 0.354211 0.817017 -0.003415 0.576381 0.016003 0.0003915985 0.0000096286 -0.0001380969 0.0000095150 -0.0000040106 0.0000552270 0.0028862807 0.0003534852 0.0000311817 0.0034485305 -0.0000145682 0.0026939551
1413393892.40558 -0.955607 0.637942 0.354896 0.819187 -0.004223 0.573273 0.016511 0.0003897211 0.0000094820 -0.0001406882 0.0000097019 -0.0000040382 0.0000573399 0.0029132201 0.0003768046 0.0000419121 0.0035301012 -0.0000159182 0.0027001446
1413393892.45557 -1.028987 0.656737 0.351880 0.820823 -0.004988 0.570894 0.017477 0.0003873103 0.0000098691 -0.0001425157 0.0000098527 -0.0000042009 0.0000589127 0.0029433457 0.0003986469 0.0000536813 0.0035867903 -0.0000101348 0.0027038608
