# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403636582.109865665435791,0.00160,0.00005,0.00044,0.00000,0.00000,0.00091,0.00301
1403636582.164202928543091,0.00223,0.00008,0.00086,0.00000,0.00000,0.00079,0.00396
1403636582.213423252105713,0.00238,0.00009,0.00102,0.00000,0.00000,0.00094,0.00443
1403636582.262264728546143,0.00212,0.00008,0.00160,0.00000,0.00000,0.00102,0.00483
1403636582.312669992446899,0.00168,0.00008,0.00154,0.00000,0.00000,0.00083,0.00412
1403636582.362786293029785,0.00183,0.00008,0.00096,0.00000,0.00000,0.00080,0.00368
1403636582.412895679473877,0.00183,0.00008,0.00112,0.00000,0.00000,0.00082,0.00385
1403636582.463027715682983,0.00204,0.00008,0.00163,0.00000,0.00000,0.00084,0.00459
1403636582.513427495956421,0.00186,0.00013,0.00422,0.00000,0.00000,0.00104,0.00725
1403636582.563553094863892,0.00217,0.00011,0.00242,0.00000,0.00000,0.00109,0.00579
1403636582.613590717315674,0.00271,0.00010,0.00334,0.00000,0.00000,0.00117,0.00734
1403636582.663912534713745,0.00281,0.00015,0.00148,0.00000,0.00000,0.00090,0.00533
1403636582.713907957077026,0.00206,0.00008,0.00029,0.00000,0.00000,0.00084,0.00328
1403636582.763862371444702,0.00171,0.00007,0.00361,0.00000,0.00000,0.00082,0.00621
1403636582.813824653625488,0.00236,0.00009,0.00405,0.00000,0.00000,0.00121,0.00771
1403636582.863763332366943,0.00235,0.00010,0.00149,0.00000,0.00757,0.00116,0.01266
1403636582.913800239562988,0.00240,0.00016,0.00122,0.00033,0.00462,0.00153,0.01026
1403636582.963791370391846,0.00199,0.00014,0.00102,0.00078,0.00058,0.00277,0.00729
1403636583.013782501220703,0.00234,0.00020,0.00142,0.00085,0.00156,0.00104,0.00741
1403636583.063771963119507,0.00212,0.00019,0.00124,0.00182,0.00055,0.00131,0.00723
1403636583.113605260848999,0.00213,0.00018,0.00186,0.00110,0.00161,0.00134,0.00821
1403636583.163371562957764,0.00183,0.00016,0.00281,0.00208,0.00178,0.00150,0.01017
1403636583.213365077972412,0.00214,0.00012,0.00160,0.00148,0.00067,0.00107,0.00709
1403636583.263371229171753,0.00189,0.00019,0.00357,0.00171,0.00002,0.00122,0.00860
1403636583.313435077667236,0.00218,0.00022,0.00024,0.00162,0.00002,0.00131,0.00559
1403636583.363595724105835,0.00276,0.00044,0.00429,0.00178,0.00072,0.00123,0.01122
1403636583.413637638092041,0.00209,0.00013,0.00175,0.00132,0.00037,0.00115,0.00681
1403636583.463624238967896,0.00214,0.00019,0.00293,0.00144,0.00074,0.00146,0.00890
1403636583.513667583465576,0.00223,0.00018,0.00176,0.00140,0.00039,0.00132,0.00727
1403636583.563677549362183,0.00296,0.00016,0.00127,0.00138,0.00066,0.00108,0.00752
1403636583.613695621490479,0.00268,0.00017,0.00243,0.00147,0.00004,0.00143,0.00822
1403636583.663781166076660,0.00237,0.00025,0.00113,0.00150,0.00038,0.00149,0.00712
1403636583.713853120803833,0.00352,0.00023,0.00182,0.00133,0.00079,0.00148,0.00918
1403636583.763910770416260,0.00206,0.00018,0.00321,0.00129,0.00036,0.00100,0.00809
1403636583.813920021057129,0.00202,0.00011,0.00163,0.00114,0.00113,0.00184,0.00787
1403636583.863859176635742,0.00204,0.00014,0.00194,0.00199,0.00323,0.00215,0.01148
1403636583.913770437240601,0.00204,0.00018,0.00117,0.00095,0.00033,0.00102,0.00570
1403636583.963714838027954,0.00185,0.00010,0.00319,0.00069,0.00203,0.00183,0.00970
1403636584.013686895370483,0.00255,0.00020,0.00250,0.00101,0.00063,0.00119,0.00808
1403636584.063687086105347,0.00450,0.00020,0.00143,0.00080,0.00287,0.00111,0.01091
1403636584.113744497299194,0.00190,0.00019,0.00304,0.00140,0.00118,0.00148,0.00920
1403636584.163755416870117,0.00194,0.00017,0.00379,0.00144,0.00077,0.00110,0.00922
1403636584.213771581649780,0.00292,0.00038,0.00285,0.00163,0.00042,0.00110,0.00930
1403636584.263768672943115,0.00173,0.00012,0.00308,0.00185,0.00000,0.00118,0.00796
1403636584.313746929168701,0.00243,0.00023,0.00311,0.00166,0.00000,0.00106,0.00849
1403636584.363761425018311,0.00262,0.00015,0.00419,0.00182,0.00000,0.00123,0.01001
1403636584.413747072219849,0.00243,0.00016,0.00246,0.00166,0.00000,0.00128,0.00799
1403636584.463780641555786,0.00196,0.00017,0.00175,0.00172,0.00000,0.00142,0.00701
1403636584.513812065124512,0.00278,0.00031,0.00166,0.00149,0.00000,0.00102,0.00725
1403636584.563836812973022,0.00315,0.00022,0.00363,0.00148,0.00000,0.00112,0.00961
1403636584.613837003707886,0.00219,0.00010,0.00315,0.00135,0.00002,0.00112,0.00794
1403636584.663808107376099,0.00390,0.00027,0.00253,0.00159,0.00100,0.00120,0.01049
1403636584.713801622390747,0.00314,0.00038,0.00340,0.00129,0.00042,0.00113,0.00975
1403636584.763798236846924,0.00242,0.00018,0.00238,0.00106,0.00007,0.00091,0.00703
1403636584.813800334930420,0.00269,0.00020,0.00084,0.00204,0.00170,0.00188,0.00936
1403636584.863845109939575,0.00212,0.00013,0.00109,0.00087,0.00033,0.00094,0.00548
1403636584.913888931274414,0.00280,0.00020,0.00046,0.00092,0.00266,0.00122,0.00826
1403636584.963939666748047,0.00193,0.00014,0.00162,0.00125,0.00096,0.00107,0.00698
1403636585.013949871063232,0.00195,0.00015,0.00277,0.00146,0.00081,0.00130,0.00845
1403636585.063903331756592,0.00196,0.00016,0.00123,0.00156,0.00110,0.00154,0.00756
1403636585.113831281661987,0.00261,0.00015,0.00237,0.00160,0.00000,0.00115,0.00787
1403636585.163803339004517,0.00178,0.00010,0.00269,0.00154,0.00038,0.00124,0.00773
1403636585.213780403137207,0.00191,0.00019,0.00241,0.00175,0.00000,0.00136,0.00763
