# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637134.529815912246704,0.00151,0.00006,0.00015,0.00000,0.00000,0.00087,0.00259
1403637134.579815864562988,0.00143,0.00005,0.00025,0.00000,0.00013,0.00074,0.00260
1403637134.629815816879272,0.00151,0.00007,0.00031,0.00000,0.00000,0.00061,0.00250
1403637134.679815769195557,0.00181,0.00007,0.00034,0.00000,0.00000,0.00078,0.00300
1403637134.736798524856567,0.00219,0.00008,0.00137,0.00000,0.00000,0.00089,0.00454
1403637134.785650014877319,0.00228,0.00008,0.00240,0.00000,0.00000,0.00096,0.00572
1403637134.836064577102661,0.00238,0.00007,0.00150,0.00000,0.00000,0.00081,0.00477
1403637134.886451005935669,0.00189,0.00008,0.00136,0.00000,0.00000,0.00086,0.00420
1403637134.937586784362793,0.00166,0.00007,0.00116,0.00000,0.00022,0.00172,0.00483
1403637134.986882925033569,0.00220,0.00008,0.00078,0.00003,0.00006,0.00081,0.00397
1403637135.035882711410522,0.00182,0.00008,0.00098,0.00000,0.00017,0.00091,0.00397
1403637135.086383342742920,0.00175,0.00008,0.00090,0.00003,0.00055,0.00082,0.00413
1403637135.136316776275635,0.00213,0.00009,0.00114,0.00006,0.00035,0.00086,0.00463
1403637135.186402082443237,0.00172,0.00008,0.00097,0.00008,0.00441,0.00093,0.00819
1403637135.236788749694824,0.00204,0.00010,0.00054,0.00058,0.00266,0.00129,0.00722
1403637135.287448883056641,0.00222,0.00020,0.00188,0.00137,0.00424,0.00102,0.01094
1403637135.338083505630493,0.00190,0.00012,0.00405,0.00127,0.00064,0.00092,0.00890
1403637135.388052463531494,0.00210,0.00014,0.00291,0.00142,0.00118,0.00153,0.00927
1403637135.438049316406250,0.00253,0.00016,0.00274,0.00119,0.00035,0.00137,0.00834
1403637135.488138914108276,0.00219,0.00012,0.00303,0.00123,0.00159,0.00110,0.00926
1403637135.538449048995972,0.00275,0.00015,0.00334,0.00150,0.00037,0.00089,0.00900
