# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403638523.327829599380493,0.00158,0.00006,0.00013,0.00000,0.00000,0.00100,0.00276
1403638523.377829551696777,0.00187,0.00007,0.00028,0.00000,0.00018,0.00088,0.00328
1403638523.427829504013062,0.00168,0.00007,0.00228,0.00000,0.00000,0.00076,0.00479
1403638523.477928876876831,0.00215,0.00012,0.00069,0.00000,0.00000,0.00138,0.00433
1403638523.527928829193115,0.00226,0.00008,0.00033,0.00000,0.00000,0.00079,0.00346
1403638523.577929019927979,0.00221,0.00008,0.00044,0.00000,0.00000,0.00075,0.00348
1403638523.627928972244263,0.00215,0.00007,0.00038,0.00000,0.00000,0.00068,0.00329
1403638523.687459945678711,0.00194,0.00007,0.00030,0.00000,0.00000,0.00074,0.00305
1403638523.735371112823486,0.00267,0.00015,0.00055,0.00000,0.00003,0.00148,0.00488
1403638523.786249876022339,0.00261,0.00008,0.00038,0.00000,0.00001,0.00088,0.00396
1403638523.834415674209595,0.00331,0.00008,0.00041,0.00000,0.00002,0.00088,0.00471
1403638523.883282423019409,0.00308,0.00008,0.00044,0.00000,0.00012,0.00081,0.00454
1403638523.932050466537476,0.00196,0.00007,0.00021,0.00000,0.00001,0.00072,0.00297
1403638523.980765581130981,0.00197,0.00012,0.00036,0.00000,0.00055,0.00073,0.00372
1403638524.030101537704468,0.00181,0.00006,0.00021,0.00002,0.00164,0.00072,0.00449
1403638524.080426216125488,0.00202,0.00008,0.00023,0.00013,0.00004,0.00089,0.00339
1403638524.130403757095337,0.00187,0.00009,0.00011,0.00014,0.00019,0.00110,0.00350
1403638524.180555582046509,0.00220,0.00014,0.00063,0.00017,0.00096,0.00095,0.00506
1403638524.230532169342041,0.00169,0.00008,0.00030,0.00010,0.00044,0.00083,0.00344
1403638524.279937028884888,0.00291,0.00008,0.00030,0.00010,0.00037,0.00090,0.00467
1403638524.329363584518433,0.00301,0.00012,0.00068,0.00008,0.00036,0.00089,0.00513
1403638524.378760814666748,0.00261,0.00009,0.00063,0.00008,0.00058,0.00080,0.00479
1403638524.428165435791016,0.00217,0.00007,0.00071,0.00009,0.00010,0.00066,0.00381
1403638524.477785825729370,0.00284,0.00007,0.00010,0.00009,0.00028,0.00080,0.00418
1403638524.527584552764893,0.00181,0.00010,0.00019,0.00010,0.00011,0.00086,0.00317
1403638524.577373027801514,0.00245,0.00015,0.00035,0.00009,0.00094,0.00105,0.00504
1403638524.627115011215210,0.00379,0.00011,0.00068,0.00013,0.00048,0.00173,0.00692
1403638524.676561594009399,0.00251,0.00011,0.00015,0.00015,0.00060,0.00093,0.00445
1403638524.725432157516479,0.00213,0.00009,0.00024,0.00018,0.00368,0.00118,0.00751
1403638524.775561094284058,0.00294,0.00020,0.00020,0.00065,0.00060,0.00111,0.00570
1403638524.826253414154053,0.00264,0.00018,0.00041,0.00071,0.00013,0.00142,0.00548
1403638524.877379655838013,0.00319,0.00021,0.00034,0.00074,0.00218,0.00101,0.00767
1403638524.927939176559448,0.00167,0.00011,0.00180,0.00092,0.00147,0.00101,0.00698
1403638524.978284120559692,0.00165,0.00015,0.00006,0.00121,0.00039,0.00149,0.00495
1403638525.028415918350220,0.00252,0.00014,0.00060,0.00124,0.00008,0.00197,0.00656
1403638525.078343391418457,0.00228,0.00016,0.00057,0.00125,0.00008,0.00108,0.00541
1403638525.128501415252686,0.00217,0.00020,0.00071,0.00125,0.00008,0.00127,0.00568
1403638525.178469657897949,0.00252,0.00033,0.00131,0.00128,0.00008,0.00132,0.00684
1403638525.228505373001099,0.00208,0.00020,0.00042,0.00133,0.00008,0.00489,0.00900
1403638525.278465032577515,0.00256,0.00027,0.00105,0.00221,0.00015,0.00204,0.00827
1403638525.328503370285034,0.00235,0.00018,0.00075,0.00127,0.00040,0.00106,0.00600
1403638525.378524541854858,0.00237,0.00024,0.00022,0.00189,0.00009,0.00119,0.00602
1403638525.428473711013794,0.00309,0.00035,0.00072,0.00153,0.00009,0.00116,0.00694
1403638525.478430986404419,0.00592,0.00030,0.00100,0.00173,0.00008,0.00144,0.01047
1403638525.528238773345947,0.00440,0.00015,0.00099,0.00114,0.00008,0.00110,0.00787
1403638525.578031063079834,0.00201,0.00011,0.00048,0.00114,0.00005,0.00110,0.00490
1403638525.627752304077148,0.00330,0.00033,0.00154,0.00146,0.00010,0.00107,0.00780
1403638525.677630662918091,0.00396,0.00045,0.00065,0.00186,0.00005,0.00180,0.00876
1403638525.727590084075928,0.00276,0.00020,0.00145,0.00129,0.00044,0.00112,0.00725
1403638525.777462959289551,0.00322,0.00016,0.00062,0.00097,0.00010,0.00117,0.00624
1403638525.827396154403687,0.00314,0.00024,0.00091,0.00119,0.00016,0.00132,0.00696
1403638525.877429246902466,0.00310,0.00019,0.00065,0.00158,0.00050,0.00097,0.00699
1403638525.927534580230713,0.00203,0.00010,0.00078,0.00123,0.00035,0.00119,0.00568
1403638525.977524518966675,0.00276,0.00021,0.00051,0.00081,0.00038,0.00141,0.00608
1403638526.027534484863281,0.00234,0.00014,0.00044,0.00080,0.00295,0.00164,0.00830
1403638526.077387332916260,0.00248,0.00013,0.00155,0.00101,0.00244,0.00109,0.00870
1403638526.127259731292725,0.00197,0.00012,0.00210,0.00129,0.00133,0.00159,0.00841
1403638526.177220106124878,0.00223,0.00019,0.00178,0.00131,0.00131,0.00149,0.00831
1403638526.227232933044434,0.00309,0.00023,0.00373,0.00131,0.00037,0.00112,0.00985
1403638526.277245044708252,0.00263,0.00011,0.00259,0.00105,0.00145,0.00105,0.00887
1403638526.327265262603760,0.00277,0.00020,0.00159,0.00104,0.00126,0.00120,0.00805
1403638526.377252578735352,0.00248,0.00015,0.00194,0.00120,0.00008,0.00307,0.00892
1403638526.427241563796997,0.00252,0.00015,0.00227,0.00099,0.00037,0.00096,0.00725
1403638526.477209568023682,0.00200,0.00018,0.00163,0.00089,0.00255,0.00136,0.00860
1403638526.527197122573853,0.00245,0.00017,0.00031,0.00133,0.00005,0.00122,0.00554
1403638526.577192068099976,0.00325,0.00018,0.00075,0.00141,0.00173,0.00152,0.00884
1403638526.627221822738647,0.00205,0.00012,0.00157,0.00090,0.00010,0.00096,0.00570
1403638526.677249431610107,0.00205,0.00012,0.00063,0.00075,0.00032,0.00086,0.00472
1403638526.727329969406128,0.00248,0.00020,0.00036,0.00083,0.00126,0.00106,0.00620
1403638526.777378320693970,0.00219,0.00025,0.00053,0.00141,0.00109,0.00170,0.00716
1403638526.827435255050659,0.00201,0.00011,0.00142,0.00068,0.00129,0.00143,0.00695
1403638526.877494096755981,0.00237,0.00013,0.00017,0.00064,0.00100,0.00103,0.00534
1403638526.927520513534546,0.00186,0.00010,0.00010,0.00079,0.00188,0.00120,0.00593
1403638526.977538108825684,0.00235,0.00013,0.00189,0.00087,0.00151,0.00134,0.00810
1403638527.027554273605347,0.00236,0.00012,0.00053,0.00098,0.00039,0.00089,0.00527
1403638527.077567100524902,0.00240,0.00019,0.00048,0.00091,0.00092,0.00107,0.00597
1403638527.127551317214966,0.00177,0.00011,0.00105,0.00087,0.00065,0.00095,0.00540
1403638527.177558422088623,0.00185,0.00013,0.00043,0.00087,0.00066,0.00136,0.00530
1403638527.227564096450806,0.00233,0.00015,0.00194,0.00084,0.00436,0.00106,0.01068
1403638527.277554988861084,0.00224,0.00013,0.00023,0.00114,0.00129,0.00119,0.00621
1403638527.327555179595947,0.00241,0.00014,0.00121,0.00153,0.00104,0.00093,0.00725
1403638527.377530574798584,0.00211,0.00013,0.00032,0.00141,0.00042,0.00155,0.00594
1403638527.427477836608887,0.00248,0.00025,0.00201,0.00251,0.00127,0.00170,0.01023
1403638527.477468490600586,0.00221,0.00016,0.00115,0.00159,0.00048,0.00130,0.00690
1403638527.527466058731079,0.00251,0.00014,0.00057,0.00161,0.00003,0.00100,0.00587
1403638527.577485322952271,0.00175,0.00012,0.00082,0.00159,0.00004,0.00139,0.00572
1403638527.627510070800781,0.00245,0.00016,0.00057,0.00166,0.00004,0.00124,0.00611
1403638527.677524328231812,0.00210,0.00014,0.00020,0.00169,0.00003,0.00105,0.00522
1403638527.727542161941528,0.00259,0.00023,0.00063,0.00164,0.00004,0.00119,0.00631
1403638527.777550697326660,0.00167,0.00011,0.00073,0.00150,0.00004,0.00097,0.00502
1403638527.827544450759888,0.00183,0.00012,0.00150,0.00162,0.00074,0.00138,0.00719
1403638527.877533674240112,0.00245,0.00020,0.00210,0.00340,0.00100,0.00172,0.01086
1403638527.927476882934570,0.00263,0.00021,0.00252,0.00196,0.00008,0.00124,0.00864
1403638527.977453708648682,0.00171,0.00011,0.00075,0.00176,0.00037,0.00110,0.00580
1403638528.027467966079712,0.00311,0.00033,0.00194,0.00311,0.00000,0.00180,0.01030
1403638528.077462911605835,0.00209,0.00012,0.00116,0.00160,0.00000,0.00137,0.00634
1403638528.127465963363647,0.00186,0.00012,0.00214,0.00144,0.00036,0.00114,0.00707
1403638528.177468538284302,0.00172,0.00012,0.00190,0.00158,0.00006,0.00161,0.00697
1403638528.227480888366699,0.00276,0.00019,0.00198,0.00144,0.00005,0.00356,0.00997
1403638528.277480840682983,0.00236,0.00017,0.00179,0.00146,0.00007,0.00114,0.00698
1403638528.327467441558838,0.00177,0.00010,0.00162,0.00133,0.00097,0.00095,0.00673
1403638528.377476692199707,0.00239,0.00033,0.00286,0.00168,0.00005,0.00137,0.00869
1403638528.427492618560791,0.00233,0.00016,0.00246,0.00240,0.00091,0.00100,0.00927
1403638528.477491378784180,0.00340,0.00017,0.00206,0.00205,0.00003,0.00102,0.00872
1403638528.527505397796631,0.00226,0.00011,0.00149,0.00197,0.00003,0.00126,0.00713
1403638528.577519416809082,0.00320,0.00038,0.00189,0.00169,0.00003,0.00116,0.00835
1403638528.627514839172363,0.00283,0.00023,0.00067,0.00175,0.00003,0.00142,0.00693
1403638528.677487373352051,0.00272,0.00016,0.00167,0.00162,0.00002,0.00091,0.00710
1403638528.727509260177612,0.00186,0.00011,0.00104,0.00172,0.00004,0.00131,0.00607
1403638528.777506113052368,0.00261,0.00019,0.00052,0.00183,0.00003,0.00121,0.00640
1403638528.827501296997070,0.00263,0.00088,0.00094,0.00169,0.00003,0.00098,0.00714
1403638528.877498149871826,0.00183,0.00021,0.00050,0.00171,0.00003,0.00113,0.00541
1403638528.927458047866821,0.00167,0.00010,0.00081,0.00165,0.00037,0.00100,0.00561
1403638528.977452754974365,0.00177,0.00017,0.00048,0.00185,0.00003,0.00132,0.00561
1403638529.027448177337646,0.00246,0.00019,0.00028,0.00189,0.00002,0.00125,0.00609
1403638529.077443122863770,0.00187,0.00016,0.00027,0.00265,0.00002,0.00124,0.00621
1403638529.127430915832520,0.00256,0.00014,0.00026,0.00182,0.00002,0.00118,0.00598
1403638529.177415370941162,0.00171,0.00016,0.00051,0.00195,0.00002,0.00098,0.00533
1403638529.227402448654175,0.00210,0.00012,0.00077,0.00194,0.00004,0.00150,0.00647
1403638529.277388095855713,0.00222,0.00020,0.00028,0.00179,0.00007,0.00109,0.00566
1403638529.327379703521729,0.00208,0.00017,0.00032,0.00216,0.00002,0.00113,0.00588
1403638529.377346277236938,0.00242,0.00018,0.00069,0.00174,0.00002,0.00107,0.00611
1403638529.427334308624268,0.00264,0.00016,0.00056,0.00154,0.00001,0.00095,0.00587
1403638529.477313518524170,0.00235,0.00014,0.00041,0.00152,0.00005,0.00137,0.00583
1403638529.527304887771606,0.00272,0.00015,0.00029,0.00151,0.00005,0.00112,0.00584
1403638529.577305793762207,0.00428,0.00013,0.00105,0.00126,0.00006,0.00089,0.00767
1403638529.627304315567017,0.00209,0.00014,0.00049,0.00116,0.00008,0.00101,0.00497
1403638529.677324056625366,0.00249,0.00011,0.00063,0.00092,0.00002,0.00084,0.00503
1403638529.727338314056396,0.00284,0.00023,0.00039,0.00077,0.00007,0.00091,0.00521
1403638529.777357339859009,0.00215,0.00011,0.00043,0.00075,0.00009,0.00138,0.00491
1403638529.827369451522827,0.00273,0.00011,0.00026,0.00068,0.00006,0.00086,0.00469
1403638529.877371072769165,0.00248,0.00009,0.00054,0.00053,0.00025,0.00080,0.00469
1403638529.927370786666870,0.00241,0.00012,0.00045,0.00050,0.00028,0.00092,0.00469
1403638529.977380990982056,0.00183,0.00009,0.00152,0.00041,0.00194,0.00108,0.00687
1403638530.027395963668823,0.00213,0.00015,0.00042,0.00057,0.00113,0.00114,0.00555
1403638530.077410221099854,0.00175,0.00010,0.00086,0.00065,0.00030,0.00099,0.00466
1403638530.127434015274048,0.00154,0.00009,0.00014,0.00059,0.00326,0.00091,0.00654
1403638530.177443981170654,0.00147,0.00011,0.00169,0.00102,0.00080,0.00110,0.00618
1403638530.227442502975464,0.00134,0.00011,0.00625,0.00111,0.00103,0.00144,0.01128
1403638530.277447223663330,0.00218,0.00012,0.00237,0.00106,0.00158,0.00099,0.00831
1403638530.327452659606934,0.00146,0.00011,0.00215,0.00130,0.00046,0.00125,0.00674
1403638530.377457618713379,0.00143,0.00010,0.00187,0.00120,0.00003,0.00084,0.00548
1403638530.427456140518188,0.00138,0.00010,0.00219,0.00113,0.00037,0.00106,0.00624
1403638530.477467060089111,0.00160,0.00011,0.00043,0.00116,0.00095,0.00090,0.00515
1403638530.527478933334351,0.00194,0.00015,0.00187,0.00183,0.00133,0.00093,0.00806
1403638530.577484846115112,0.00189,0.00013,0.00210,0.00158,0.00004,0.00088,0.00661
1403638530.627497673034668,0.00140,0.00010,0.00031,0.00145,0.00003,0.00086,0.00414
1403638530.677507162094116,0.00143,0.00011,0.00063,0.00140,0.00004,0.00111,0.00472
1403638530.727510213851929,0.00228,0.00025,0.00056,0.00133,0.00039,0.00101,0.00582
1403638530.777513265609741,0.00185,0.00017,0.00196,0.00133,0.00041,0.00100,0.00672
1403638530.827521085739136,0.00179,0.00011,0.00280,0.00141,0.00038,0.00114,0.00764
1403638530.877532243728638,0.00180,0.00018,0.00256,0.00143,0.00038,0.00094,0.00729
1403638530.927536249160767,0.00164,0.00017,0.00189,0.00143,0.00005,0.00110,0.00628
1403638530.977536916732788,0.00149,0.00013,0.00035,0.00178,0.00005,0.00098,0.00477
1403638531.027533292770386,0.00190,0.00016,0.00107,0.00149,0.00069,0.00094,0.00627
1403638531.077536344528198,0.00182,0.00018,0.00152,0.00188,0.00008,0.00086,0.00635
1403638531.127538204193115,0.00130,0.00010,0.00212,0.00149,0.00038,0.00108,0.00648
1403638531.177534580230713,0.00168,0.00019,0.00200,0.00158,0.00040,0.00121,0.00706
1403638531.227551937103271,0.00165,0.00016,0.00273,0.00183,0.00004,0.00146,0.00787
1403638531.277570247650146,0.00191,0.00013,0.00008,0.00167,0.00002,0.00102,0.00482
1403638531.327589750289917,0.00150,0.00011,0.00157,0.00148,0.00002,0.00092,0.00561
1403638531.377571105957031,0.00149,0.00012,0.00188,0.00157,0.00003,0.00110,0.00619
1403638531.427554845809937,0.00188,0.00014,0.00267,0.00151,0.00073,0.00101,0.00794
1403638531.477560997009277,0.00172,0.00013,0.00049,0.00167,0.00002,0.00123,0.00526
1403638531.527566432952881,0.00174,0.00013,0.00095,0.00171,0.00036,0.00102,0.00591
1403638531.577564477920532,0.00133,0.00010,0.00013,0.00179,0.00000,0.00094,0.00429
1403638531.627558708190918,0.00152,0.00014,0.00052,0.00180,0.00000,0.00100,0.00499
1403638531.677559375762939,0.00147,0.00012,0.00014,0.00185,0.00000,0.00120,0.00477
1403638531.727561712265015,0.00192,0.00015,0.00027,0.00188,0.00000,0.00134,0.00557
1403638531.777563571929932,0.00171,0.00017,0.00040,0.00185,0.00000,0.00103,0.00517
1403638531.827564239501953,0.00165,0.00014,0.00032,0.00182,0.00000,0.00095,0.00488
1403638531.877565622329712,0.00163,0.00017,0.00018,0.00217,0.00000,0.00099,0.00515
1403638531.927564859390259,0.00157,0.00014,0.00014,0.00191,0.00000,0.00124,0.00500
1403638531.977566480636597,0.00177,0.00014,0.00031,0.00185,0.00000,0.00104,0.00511
1403638532.027568101882935,0.00198,0.00028,0.00126,0.00187,0.00000,0.00101,0.00641
1403638532.077569007873535,0.00145,0.00012,0.00021,0.00180,0.00000,0.00092,0.00450
1403638532.127570867538452,0.00156,0.00014,0.00017,0.00184,0.00000,0.00128,0.00499
1403638532.177572965621948,0.00158,0.00013,0.00015,0.00188,0.00000,0.00190,0.00564
1403638532.227573633193970,0.00178,0.00017,0.00029,0.00187,0.00000,0.00114,0.00525
1403638532.277574777603149,0.00142,0.00013,0.00014,0.00186,0.00000,0.00156,0.00511
1403638532.327576160430908,0.00159,0.00013,0.00026,0.00184,0.00000,0.00101,0.00482
1403638532.377578020095825,0.00130,0.00011,0.00036,0.00181,0.00000,0.00091,0.00449
1403638532.427578210830688,0.00163,0.00017,0.00032,0.00185,0.00000,0.00106,0.00504
