# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715528.816435575485229,0.00297,0.00006,0.00028,0.00000,0.00000,0.00078,0.00410
1403715528.868311882019043,0.00228,0.00007,0.00120,0.00000,0.00165,0.00108,0.00628
1403715528.914585828781128,0.00199,0.00010,0.00165,0.00014,0.00000,0.00069,0.00458
1403715528.961502075195312,0.00226,0.00008,0.00187,0.00011,0.00000,0.00079,0.00511
1403715529.012063026428223,0.00159,0.00007,0.00151,0.00010,0.00000,0.00081,0.00409
1403715529.061803817749023,0.00226,0.00019,0.00095,0.00007,0.00000,0.00094,0.00441
1403715529.111739158630371,0.00193,0.00009,0.00094,0.00007,0.00000,0.00085,0.00387
1403715529.162443637847900,0.00201,0.00007,0.00130,0.00007,0.00000,0.00078,0.00424
1403715529.212877273559570,0.00197,0.00009,0.00103,0.00007,0.00000,0.00088,0.00404
1403715529.263101816177368,0.00206,0.00008,0.00154,0.00005,0.00116,0.00094,0.00584
1403715529.313240289688110,0.00188,0.00008,0.00130,0.00013,0.00077,0.00088,0.00504
1403715529.363463878631592,0.00165,0.00007,0.00145,0.00019,0.00195,0.00082,0.00614
1403715529.413419246673584,0.00229,0.00015,0.00180,0.00070,0.00311,0.00098,0.00903
1403715529.463291168212891,0.00199,0.00010,0.00121,0.00044,0.00548,0.00128,0.01050
1403715529.513303995132446,0.00279,0.00027,0.00357,0.00109,0.00212,0.00102,0.01086
1403715529.563347101211548,0.00278,0.00023,0.00379,0.00132,0.00096,0.00110,0.01018
1403715529.613285779953003,0.00192,0.00013,0.00032,0.00098,0.00056,0.00099,0.00490
1403715529.663251399993896,0.00176,0.00010,0.00064,0.00098,0.00110,0.00111,0.00569
1403715529.713222503662109,0.00236,0.00026,0.00250,0.00106,0.00309,0.00142,0.01069
1403715529.763194799423218,0.00245,0.00016,0.00477,0.00145,0.00101,0.00108,0.01092
1403715529.813227891921997,0.00186,0.00013,0.00352,0.00161,0.00036,0.00110,0.00858
1403715529.863264083862305,0.00210,0.00014,0.00257,0.00147,0.00000,0.00103,0.00731
1403715529.913223743438721,0.00183,0.00011,0.00257,0.00138,0.00038,0.00152,0.00779
1403715529.963220357894897,0.00235,0.00015,0.00362,0.00150,0.00041,0.00160,0.00964
1403715530.013129949569702,0.00292,0.00016,0.00398,0.00136,0.00108,0.00116,0.01066
1403715530.062978982925415,0.00242,0.00024,0.00324,0.00165,0.00044,0.00150,0.00950
1403715530.112961292266846,0.00198,0.00016,0.00398,0.00160,0.00001,0.00128,0.00901
1403715530.163127660751343,0.00226,0.00019,0.00339,0.00140,0.00125,0.00171,0.01019
1403715530.213304758071899,0.00202,0.00015,0.00064,0.00167,0.00039,0.00135,0.00622
1403715530.263454914093018,0.00218,0.00015,0.00140,0.00159,0.00071,0.00116,0.00719
1403715530.313532114028931,0.00290,0.00019,0.00277,0.00182,0.00000,0.00149,0.00917
1403715530.363504171371460,0.00177,0.00012,0.00310,0.00168,0.00000,0.00126,0.00794
1403715530.413512706756592,0.00258,0.00021,0.00467,0.00199,0.00041,0.00141,0.01128
1403715530.463454484939575,0.00295,0.00027,0.00371,0.00179,0.00000,0.00141,0.01013
1403715530.513313531875610,0.00250,0.00014,0.00340,0.00162,0.00035,0.00137,0.00938
1403715530.563308715820312,0.00322,0.00022,0.00306,0.00166,0.00000,0.00143,0.00959
1403715530.613317728042603,0.00233,0.00021,0.00672,0.00174,0.00040,0.00118,0.01258
1403715530.663299798965454,0.00187,0.00011,0.00277,0.00177,0.00008,0.00187,0.00847
1403715530.713232040405273,0.00309,0.00026,0.00754,0.00190,0.00038,0.00146,0.01464
1403715530.763194799423218,0.00250,0.00013,0.00448,0.00190,0.00000,0.00152,0.01053
1403715530.813169479370117,0.00351,0.00019,0.00188,0.00167,0.00000,0.00131,0.00855
1403715530.863126993179321,0.00400,0.00022,0.00290,0.00145,0.00000,0.00120,0.00977
1403715530.913124084472656,0.00265,0.00012,0.00220,0.00144,0.00066,0.00169,0.00876
1403715530.963074207305908,0.00287,0.00032,0.00331,0.00182,0.00046,0.00252,0.01130
1403715531.013052463531494,0.00248,0.00018,0.00277,0.00156,0.00068,0.00173,0.00941
1403715531.062961578369141,0.00231,0.00012,0.00353,0.00168,0.00000,0.00132,0.00897
1403715531.112901926040649,0.00191,0.00014,0.00214,0.00169,0.00001,0.00166,0.00756
1403715531.162888526916504,0.00215,0.00019,0.00264,0.00156,0.00044,0.00183,0.00882
1403715531.212912082672119,0.00185,0.00011,0.00361,0.00145,0.00067,0.00110,0.00880
1403715531.262833356857300,0.00188,0.00011,0.00257,0.00145,0.00070,0.00174,0.00845
1403715531.312824726104736,0.00338,0.00026,0.00445,0.00150,0.00101,0.00127,0.01188
1403715531.362681150436401,0.00179,0.00012,0.00530,0.00168,0.00037,0.00123,0.01048
1403715531.412738561630249,0.00186,0.00012,0.00195,0.00165,0.00046,0.00152,0.00756
1403715531.462756156921387,0.00264,0.00018,0.00445,0.00186,0.00063,0.00149,0.01125
1403715531.512709140777588,0.00276,0.00025,0.00346,0.00177,0.00000,0.00163,0.00988
1403715531.562646389007568,0.00196,0.00011,0.00251,0.00156,0.00072,0.00147,0.00833
1403715531.612528800964355,0.00207,0.00016,0.00246,0.00163,0.00056,0.00169,0.00858
1403715531.662449836730957,0.00201,0.00017,0.00231,0.00161,0.00059,0.00220,0.00890
1403715531.712445497512817,0.00342,0.00017,0.00159,0.00166,0.00000,0.00122,0.00806
