# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393217.055760383605957,0.00124,0.00007,0.00011,0.00000,0.00000,0.00080,0.00221
1413393217.105760574340820,0.00170,0.00008,0.00038,0.00000,0.00042,0.00098,0.00357
1413393217.156380891799927,0.00135,0.00007,0.00034,0.00000,0.00000,0.00054,0.00229
1413393217.206578731536865,0.00114,0.00007,0.00088,0.00000,0.00000,0.00058,0.00267
1413393217.256578683853149,0.00128,0.00008,0.00003,0.00000,0.00000,0.00058,0.00197
1413393217.306578636169434,0.00125,0.00009,0.00003,0.00000,0.00000,0.00057,0.00194
1413393217.356578826904297,0.00133,0.00007,0.00002,0.00000,0.00000,0.00059,0.00201
1413393217.406578779220581,0.00164,0.00015,0.00004,0.00000,0.00000,0.00129,0.00313
1413393217.456557989120483,0.00142,0.00007,0.00001,0.00000,0.00260,0.00093,0.00505
1413393217.506617546081543,0.00126,0.00008,0.00003,0.00020,0.00043,0.00071,0.00271
1413393217.556629180908203,0.00127,0.00008,0.00003,0.00025,0.00046,0.00075,0.00283
1413393217.606802225112915,0.00134,0.00009,0.00003,0.00031,0.00001,0.00075,0.00253
1413393217.656704664230347,0.00137,0.00009,0.00002,0.00029,0.00023,0.00073,0.00273
1413393217.707609653472900,0.00154,0.00008,0.00193,0.00030,0.00424,0.00086,0.00896
1413393217.757475137710571,0.00129,0.00014,0.00259,0.00088,0.00344,0.00110,0.00943
1413393217.807805776596069,0.00161,0.00012,0.00350,0.00225,0.00061,0.00129,0.00938
1413393217.857783794403076,0.00192,0.00026,0.00090,0.00158,0.00039,0.00118,0.00624
1413393217.907764911651611,0.00180,0.00022,0.00064,0.00213,0.00001,0.00127,0.00608
1413393217.957779645919800,0.00139,0.00011,0.00035,0.00155,0.00038,0.00090,0.00468
1413393218.007808446884155,0.00156,0.00010,0.00003,0.00166,0.00000,0.00078,0.00414
1413393218.057911872863770,0.00156,0.00015,0.00151,0.00167,0.00000,0.00154,0.00642
1413393218.108005285263062,0.00177,0.00020,0.00056,0.00167,0.00000,0.00122,0.00543
1413393218.157974243164062,0.00159,0.00017,0.00090,0.00149,0.00000,0.00096,0.00511
1413393218.208067178726196,0.00142,0.00013,0.00021,0.00154,0.00000,0.00093,0.00424
1413393218.257915258407593,0.00156,0.00015,0.00153,0.00147,0.00002,0.00117,0.00590
1413393218.307635068893433,0.00159,0.00014,0.00344,0.00141,0.00129,0.00103,0.00891
1413393218.357079029083252,0.00210,0.00017,0.00381,0.00172,0.00000,0.00164,0.00944
1413393218.406520843505859,0.00172,0.00014,0.00668,0.00176,0.00000,0.00122,0.01152
1413393218.456645488739014,0.00212,0.00018,0.00171,0.00164,0.00000,0.00094,0.00660
1413393218.506540775299072,0.00154,0.00013,0.00121,0.00171,0.00000,0.00090,0.00550
1413393218.556564092636108,0.00179,0.00021,0.00092,0.00171,0.00000,0.00130,0.00592
1413393218.606533050537109,0.00189,0.00018,0.00102,0.00333,0.00000,0.00111,0.00752
