# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413394887.255760431289673,0.00165,0.00006,0.00019,0.00000,0.00000,0.00075,0.00265
1413394887.305760383605957,0.00161,0.00006,0.00023,0.00000,0.00024,0.00061,0.00275
1413394887.355760574340820,0.00153,0.00006,0.00024,0.00000,0.00000,0.00046,0.00230
1413394887.405760526657104,0.00136,0.00007,0.00012,0.00000,0.00000,0.00059,0.00215
1413394887.455760478973389,0.00119,0.00007,0.00003,0.00000,0.00000,0.00068,0.00196
1413394887.505760431289673,0.00134,0.00008,0.00004,0.00000,0.00000,0.00061,0.00208
1413394887.555760383605957,0.00141,0.00007,0.00005,0.00000,0.00000,0.00061,0.00214
1413394887.605760574340820,0.00126,0.00008,0.00003,0.00000,0.00000,0.00073,0.00209
1413394887.655994653701782,0.00118,0.00007,0.00012,0.00000,0.00033,0.00064,0.00233
1413394887.705668926239014,0.00139,0.00008,0.00004,0.00005,0.00147,0.00067,0.00370
1413394887.755759477615356,0.00124,0.00009,0.00015,0.00015,0.00094,0.00076,0.00334
1413394887.805763006210327,0.00133,0.00009,0.00035,0.00092,0.00049,0.00109,0.00427
1413394887.855928659439087,0.00208,0.00011,0.00040,0.00029,0.00192,0.00083,0.00563
1413394887.906312465667725,0.00115,0.00009,0.00498,0.00062,0.00639,0.00090,0.01413
1413394887.956475496292114,0.00139,0.00016,0.00514,0.00161,0.00000,0.00106,0.00937
1413394888.006932020187378,0.00387,0.00016,0.00469,0.00164,0.00000,0.00096,0.01132
1413394888.057063579559326,0.00195,0.00023,0.00243,0.00169,0.00000,0.00092,0.00722
1413394888.107121229171753,0.00130,0.00011,0.00173,0.00142,0.00000,0.00092,0.00548
1413394888.157087326049805,0.00162,0.00020,0.00263,0.00222,0.00001,0.00099,0.00767
1413394888.206684350967407,0.00242,0.00025,0.00079,0.00208,0.00054,0.00150,0.00759
1413394888.256686687469482,0.00237,0.00017,0.00039,0.00121,0.00121,0.00142,0.00678
1413394888.306689977645874,0.00134,0.00013,0.00030,0.00117,0.00096,0.00087,0.00476
1413394888.356758117675781,0.00141,0.00013,0.00026,0.00120,0.00008,0.00084,0.00391
1413394888.406747341156006,0.00137,0.00010,0.00015,0.00119,0.00212,0.00085,0.00578
1413394888.456789493560791,0.00141,0.00011,0.00049,0.00151,0.00000,0.00101,0.00452
1413394888.506817817687988,0.00202,0.00021,0.00357,0.00159,0.00002,0.00129,0.00871
1413394888.556816101074219,0.00231,0.00022,0.00571,0.00168,0.00040,0.00140,0.01172
1413394888.606762886047363,0.00160,0.00013,0.00375,0.00155,0.00000,0.00133,0.00836
1413394888.656754493713379,0.00219,0.00024,0.00125,0.00161,0.00044,0.00111,0.00684
1413394888.706710577011108,0.00196,0.00019,0.00237,0.00145,0.00000,0.00161,0.00758
1413394888.756732225418091,0.00155,0.00015,0.00161,0.00137,0.00038,0.00087,0.00593
1413394888.806759119033813,0.00201,0.00013,0.00151,0.00126,0.00099,0.00111,0.00701
