# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403636582.015077352523804,0.25848,0.00009,0.00049,0.00000,0.00000,0.00151,0.26057
1403636582.064046144485474,0.24761,0.00008,0.00108,0.00000,0.00000,0.00114,0.24992
1403636582.113770246505737,0.25358,0.00009,0.00112,0.00000,0.00000,0.00106,0.25585
1403636582.163127422332764,0.25555,0.00009,0.00104,0.00000,0.00000,0.00133,0.25801
1403636582.213133811950684,0.26206,0.00009,0.00126,0.00000,0.00000,0.00180,0.26521
1403636582.263690710067749,0.24794,0.00010,0.00089,0.00000,0.00000,0.00125,0.25019
1403636582.313569545745850,0.26879,0.00011,0.00088,0.00000,0.00000,0.00148,0.27126
1403636582.362922430038452,0.25486,0.00010,0.00116,0.00000,0.00000,0.00168,0.25780
1403636582.412790536880493,0.25134,0.00015,0.00203,0.00000,0.00000,0.00158,0.25510
1403636582.463024377822876,0.25438,0.00013,0.00139,0.00000,0.00000,0.00184,0.25773
1403636582.513796567916870,0.25620,0.00014,0.00163,0.00000,0.00000,0.00240,0.26037
1403636582.563603639602661,0.25465,0.00012,0.00185,0.00000,0.00000,0.00175,0.25837
1403636582.613288879394531,0.25319,0.00013,0.00157,0.00000,0.00000,0.00156,0.25644
1403636582.663233518600464,0.24914,0.00015,0.00290,0.00000,0.00000,0.00183,0.25403
1403636582.713048219680786,0.25229,0.00011,0.00170,0.00000,0.00000,0.00165,0.25575
1403636582.763073444366455,0.24808,0.00013,0.00149,0.00000,0.00052,0.00182,0.25204
1403636582.813152313232422,0.25103,0.00015,0.00133,0.00006,0.00022,0.00265,0.25544
1403636582.863037586212158,0.24993,0.00011,0.00140,0.00007,0.00089,0.00203,0.25444
1403636582.913091421127319,0.26092,0.00010,0.00158,0.00010,0.00039,0.00144,0.26453
1403636582.963371038436890,0.25980,0.00014,0.00189,0.00009,0.00056,0.00151,0.26399
1403636583.013293027877808,0.25403,0.00015,0.00166,0.00015,0.00021,0.00203,0.25823
1403636583.062996864318848,0.26161,0.00011,0.00174,0.00012,0.00002,0.00277,0.26637
1403636583.112805366516113,0.26225,0.00017,0.00130,0.00013,0.00065,0.00302,0.26753
1403636583.162733793258667,0.26014,0.00012,0.00132,0.00009,0.00098,0.00239,0.26504
1403636583.212718486785889,0.25490,0.00013,0.00099,0.00013,0.00042,0.00208,0.25864
1403636583.262757539749146,0.25044,0.00011,0.00117,0.00012,0.00022,0.00160,0.25366
1403636583.312778472900391,0.25912,0.00013,0.00069,0.00010,0.00005,0.00178,0.26187
1403636583.362763404846191,0.26157,0.00013,0.00076,0.00010,0.00002,0.00173,0.26433
1403636583.412797451019287,0.25970,0.00011,0.00086,0.00007,0.00008,0.00155,0.26237
1403636583.462785243988037,0.25932,0.00013,0.00084,0.00007,0.00024,0.00156,0.26216
1403636583.512855291366577,0.26393,0.00012,0.00141,0.00005,0.00057,0.00271,0.26879
1403636583.562844276428223,0.24092,0.00011,0.00071,0.00008,0.00041,0.00171,0.24395
1403636583.612847089767456,0.26286,0.00011,0.00181,0.00011,0.00057,0.00185,0.26730
1403636583.662834882736206,0.25804,0.00010,0.00114,0.00010,0.00025,0.00153,0.26117
1403636583.712808132171631,0.25798,0.00011,0.00091,0.00009,0.00020,0.00148,0.26078
1403636583.762748956680298,0.24685,0.00015,0.00168,0.00008,0.00055,0.00177,0.25107
1403636583.812685012817383,0.25050,0.00013,0.00156,0.00010,0.00022,0.00179,0.25429
1403636583.862633466720581,0.25403,0.00011,0.00123,0.00007,0.00058,0.00165,0.25767
1403636583.912666559219360,0.25072,0.00024,0.00252,0.00011,0.00058,0.00273,0.25691
1403636583.962710618972778,0.25400,0.00011,0.00147,0.00012,0.00110,0.00186,0.25867
1403636584.012832880020142,0.26500,0.00018,0.00229,0.00015,0.00000,0.00201,0.26963
1403636584.062953472137451,0.27200,0.00010,0.00139,0.00011,0.00057,0.00164,0.27582
1403636584.112966060638428,0.26004,0.00011,0.00126,0.00014,0.00040,0.00165,0.26361
1403636584.162929534912109,0.26496,0.00013,0.00149,0.00017,0.00041,0.00177,0.26893
1403636584.212881803512573,0.25931,0.00011,0.00150,0.00016,0.00064,0.00167,0.26340
1403636584.262868642807007,0.25902,0.00017,0.00149,0.00019,0.00002,0.00179,0.26267
1403636584.312867641448975,0.24161,0.00011,0.00139,0.00019,0.00027,0.00165,0.24521
1403636584.362884998321533,0.25111,0.00013,0.00145,0.00016,0.00003,0.00182,0.25470
1403636584.412939310073853,0.25500,0.00011,0.00163,0.00016,0.00044,0.00213,0.25948
1403636584.463010311126709,0.26039,0.00018,0.00209,0.00017,0.00043,0.00221,0.26548
1403636584.513014078140259,0.25768,0.00011,0.00170,0.00017,0.00003,0.00239,0.26208
1403636584.562995195388794,0.25317,0.00012,0.00194,0.00013,0.00135,0.00170,0.25842
1403636584.613018035888672,0.25155,0.00011,0.00172,0.00016,0.00023,0.00168,0.25546
1403636584.663007020950317,0.25616,0.00011,0.00146,0.00017,0.00044,0.00171,0.26006
1403636584.713007926940918,0.24209,0.00012,0.00156,0.00014,0.00003,0.00177,0.24569
1403636584.763029575347900,0.25472,0.00017,0.00191,0.00019,0.00064,0.00248,0.26012
1403636584.813040494918823,0.26031,0.00017,0.00228,0.00018,0.00035,0.00291,0.26621
1403636584.863062858581543,0.25646,0.00017,0.00139,0.00012,0.00001,0.00183,0.25998
1403636584.913046360015869,0.24665,0.00011,0.00122,0.00012,0.00000,0.00262,0.25072
1403636584.963076114654541,0.25491,0.00013,0.00100,0.00010,0.00039,0.00166,0.25818
1403636585.013096809387207,0.25999,0.00010,0.00089,0.00008,0.00021,0.00155,0.26284
1403636585.063105106353760,0.26267,0.00011,0.00082,0.00009,0.00039,0.00164,0.26571
1403636585.112979412078857,0.26460,0.00017,0.00127,0.00017,0.00095,0.00158,0.26875
1403636585.162953853607178,0.25298,0.00015,0.00091,0.00017,0.00063,0.00230,0.25714
1403636585.212940931320190,0.26189,0.00012,0.00083,0.00015,0.00002,0.00261,0.26562
1403636585.262922525405884,0.26692,0.00010,0.00064,0.00010,0.00023,0.00172,0.26972
1403636585.312917709350586,0.25647,0.00011,0.00090,0.00017,0.00005,0.00237,0.26007
1403636585.362928628921509,0.25265,0.00013,0.00060,0.00016,0.00007,0.00213,0.25575
1403636585.412946939468384,0.25587,0.00012,0.00101,0.00010,0.00024,0.00161,0.25894
1403636585.462951898574829,0.25761,0.00010,0.00090,0.00012,0.00022,0.00155,0.26050
1403636585.512950181961060,0.25945,0.00011,0.00067,0.00014,0.00041,0.00154,0.26231
1403636585.562964439392090,0.25865,0.00012,0.00085,0.00011,0.00021,0.00156,0.26150
1403636585.613016843795776,0.26575,0.00009,0.00135,0.00012,0.00020,0.00156,0.26909
1403636585.663062334060669,0.25494,0.00012,0.00124,0.00015,0.00081,0.00224,0.25951
1403636585.713095188140869,0.25283,0.00011,0.00146,0.00020,0.00026,0.00203,0.25690
1403636585.763102769851685,0.25153,0.00010,0.00135,0.00024,0.00089,0.00179,0.25590
1403636585.813101291656494,0.24622,0.00013,0.00103,0.00025,0.00063,0.00182,0.25009
1403636585.863091945648193,0.25096,0.00013,0.00148,0.00030,0.00129,0.00203,0.25618
1403636585.913072347640991,0.26161,0.00011,0.00124,0.00048,0.00099,0.00225,0.26669
1403636585.963105201721191,0.24506,0.00016,0.00152,0.00053,0.00093,0.00156,0.24976
1403636586.013165950775146,0.26015,0.00011,0.00129,0.00053,0.00028,0.00165,0.26401
1403636586.063195228576660,0.26231,0.00012,0.00107,0.00047,0.00028,0.00180,0.26606
1403636586.113187551498413,0.24967,0.00013,0.00071,0.00037,0.00024,0.00158,0.25271
1403636586.163192510604858,0.26164,0.00013,0.00073,0.00026,0.00047,0.00170,0.26493
1403636586.213231801986694,0.25758,0.00015,0.00085,0.00019,0.00119,0.00157,0.26153
1403636586.263236284255981,0.25978,0.00012,0.00085,0.00029,0.00068,0.00166,0.26338
1403636586.313313722610474,0.26276,0.00013,0.00088,0.00025,0.00146,0.00152,0.26700
1403636586.363311529159546,0.27026,0.00012,0.00080,0.00032,0.00027,0.00191,0.27369
1403636586.413356781005859,0.26872,0.00015,0.00115,0.00031,0.00092,0.00201,0.27326
1403636586.463397502899170,0.26604,0.00013,0.00172,0.00022,0.00102,0.00235,0.27150
1403636586.513428688049316,0.27750,0.00012,0.00090,0.00029,0.00130,0.00160,0.28172
1403636586.563449859619141,0.27762,0.00018,0.00110,0.00062,0.00179,0.00162,0.28294
1403636586.613476753234863,0.26789,0.00011,0.00112,0.00056,0.00144,0.00167,0.27279
1403636586.663529872894287,0.27196,0.00013,0.00174,0.00068,0.00122,0.00161,0.27734
1403636586.713544607162476,0.27104,0.00020,0.00154,0.00083,0.00063,0.00271,0.27696
1403636586.763539552688599,0.28973,0.00014,0.00121,0.00070,0.00057,0.00203,0.29438
1403636586.813541412353516,0.26454,0.00016,0.00172,0.00057,0.00060,0.00185,0.26943
1403636586.863514900207520,0.28070,0.00016,0.00093,0.00046,0.00026,0.00159,0.28410
1403636586.913489580154419,0.27313,0.00011,0.00123,0.00054,0.00053,0.00212,0.27767
1403636586.963457345962524,0.26513,0.00019,0.00150,0.00055,0.00071,0.00179,0.26987
1403636587.013412714004517,0.26348,0.00013,0.00115,0.00062,0.00219,0.00178,0.26936
1403636587.063387632369995,0.26899,0.00012,0.00147,0.00086,0.00181,0.00166,0.27491
1403636587.113369464874268,0.26667,0.00013,0.00105,0.00090,0.00113,0.00165,0.27153
1403636587.163358449935913,0.26269,0.00013,0.00157,0.00082,0.00060,0.00161,0.26742
1403636587.213354825973511,0.25891,0.00017,0.00068,0.00078,0.00081,0.00165,0.26300
1403636587.263367652893066,0.26029,0.00014,0.00110,0.00060,0.00197,0.00184,0.26594
1403636587.313372373580933,0.25935,0.00012,0.00167,0.00076,0.00126,0.00149,0.26464
1403636587.363381862640381,0.25484,0.00012,0.00122,0.00074,0.00122,0.00152,0.25966
1403636587.413371324539185,0.26457,0.00012,0.00195,0.00078,0.00100,0.00150,0.26992
1403636587.463370800018311,0.25793,0.00016,0.00213,0.00052,0.00070,0.00151,0.26296
1403636587.513366222381592,0.26163,0.00012,0.00193,0.00037,0.00026,0.00178,0.26610
1403636587.563362360000610,0.25637,0.00012,0.00199,0.00016,0.00024,0.00163,0.26050
1403636587.613355875015259,0.25954,0.00012,0.00175,0.00009,0.00054,0.00202,0.26406
1403636587.663351774215698,0.25849,0.00010,0.00120,0.00011,0.00022,0.00172,0.26186
1403636587.713341712951660,0.24808,0.00011,0.00146,0.00013,0.00041,0.00192,0.25211
1403636587.763351440429688,0.25911,0.00011,0.00146,0.00016,0.00079,0.00157,0.26320
1403636587.813368320465088,0.26300,0.00017,0.00219,0.00024,0.00121,0.00171,0.26851
1403636587.863394975662231,0.25604,0.00012,0.00181,0.00030,0.00106,0.00161,0.26094
1403636587.913429975509644,0.25894,0.00011,0.00188,0.00029,0.00084,0.00160,0.26365
1403636587.963445901870728,0.25544,0.00014,0.00196,0.00024,0.00043,0.00155,0.25976
1403636588.013442993164062,0.26308,0.00011,0.00178,0.00025,0.00023,0.00151,0.26697
1403636588.063456058502197,0.25507,0.00015,0.00151,0.00029,0.00063,0.00182,0.25948
1403636588.113454580307007,0.25959,0.00017,0.00180,0.00023,0.00045,0.00157,0.26381
1403636588.163470983505249,0.25495,0.00012,0.00149,0.00024,0.00043,0.00176,0.25899
1403636588.213472366333008,0.25511,0.00013,0.00187,0.00021,0.00022,0.00180,0.25935
1403636588.263473749160767,0.25359,0.00013,0.00206,0.00018,0.00000,0.00169,0.25766
1403636588.313478946685791,0.25472,0.00015,0.00269,0.00024,0.00057,0.00235,0.26072
1403636588.363479375839233,0.26647,0.00012,0.00146,0.00020,0.00042,0.00164,0.27031
1403636588.413475990295410,0.25994,0.00016,0.00192,0.00024,0.00063,0.00177,0.26467
1403636588.463476896286011,0.25442,0.00014,0.00155,0.00022,0.00065,0.00179,0.25878
1403636588.513482093811035,0.26077,0.00012,0.00157,0.00024,0.00044,0.00200,0.26515
1403636588.563469171524048,0.26693,0.00012,0.00154,0.00031,0.00110,0.00220,0.27221
1403636588.613467216491699,0.24943,0.00015,0.00079,0.00031,0.00054,0.00233,0.25357
1403636588.663459539413452,0.24884,0.00011,0.00101,0.00028,0.00049,0.00175,0.25248
1403636588.713458061218262,0.25410,0.00011,0.00142,0.00021,0.00045,0.00183,0.25812
1403636588.763457775115967,0.25827,0.00011,0.00154,0.00020,0.00024,0.00167,0.26203
