# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637134.538319110870361,0.26540,0.00011,0.00090,0.00000,0.00000,0.00126,0.26767
1403637134.588319063186646,0.25852,0.00018,0.00285,0.00000,0.00014,0.00124,0.26294
1403637134.638319015502930,0.25844,0.00013,0.00275,0.00000,0.00000,0.00141,0.26272
1403637134.688318967819214,0.26525,0.00010,0.00224,0.00000,0.00000,0.00130,0.26889
1403637134.738318920135498,0.25937,0.00014,0.00296,0.00000,0.00000,0.00158,0.26404
1403637134.788319110870361,0.26484,0.00013,0.00225,0.00000,0.00000,0.00150,0.26872
1403637134.833646774291992,0.25816,0.00011,0.00282,0.00000,0.00000,0.00137,0.26246
1403637134.883840084075928,0.24537,0.00012,0.00250,0.00000,0.00000,0.00313,0.25112
1403637134.936374187469482,0.25556,0.00010,0.00147,0.00000,0.00000,0.00180,0.25894
1403637134.987441778182983,0.26294,0.00011,0.00143,0.00000,0.00018,0.00190,0.26657
1403637135.037874460220337,0.25030,0.00030,0.00141,0.00003,0.00034,0.00171,0.25408
1403637135.089171886444092,0.26038,0.00011,0.00120,0.00006,0.00019,0.00171,0.26366
1403637135.138822078704834,0.26786,0.00010,0.00162,0.00007,0.00021,0.00182,0.27169
1403637135.188607692718506,0.26226,0.00011,0.00156,0.00008,0.00088,0.00177,0.26665
1403637135.238309860229492,0.25949,0.00012,0.00143,0.00007,0.00055,0.00207,0.26374
1403637135.288505792617798,0.26078,0.00010,0.00141,0.00007,0.00037,0.00176,0.26449
1403637135.338694095611572,0.26516,0.00013,0.00112,0.00006,0.00021,0.00158,0.26826
1403637135.389496564865112,0.25615,0.00012,0.00134,0.00006,0.00021,0.00170,0.25958
1403637135.440189838409424,0.24874,0.00010,0.00086,0.00006,0.00021,0.00153,0.25150
1403637135.490707874298096,0.24826,0.00018,0.00113,0.00006,0.00064,0.00155,0.25182
1403637135.540724515914917,0.26014,0.00014,0.00143,0.00012,0.00060,0.00214,0.26457
1403637135.590667724609375,0.25620,0.00017,0.00140,0.00012,0.00039,0.00177,0.26005
1403637135.640625715255737,0.26362,0.00011,0.00171,0.00010,0.00000,0.00285,0.26839
1403637135.690454483032227,0.25526,0.00018,0.00154,0.00011,0.00000,0.00196,0.25904
1403637135.740264892578125,0.25505,0.00011,0.00120,0.00010,0.00000,0.00169,0.25814
1403637135.790044546127319,0.26751,0.00015,0.00157,0.00007,0.00000,0.00239,0.27169
1403637135.839744329452515,0.25104,0.00011,0.00158,0.00004,0.00020,0.00175,0.25472
1403637135.889488220214844,0.26429,0.00011,0.00163,0.00005,0.00021,0.00176,0.26804
1403637135.939284324645996,0.26212,0.00011,0.00115,0.00004,0.00021,0.00181,0.26544
1403637135.989004611968994,0.26495,0.00011,0.00099,0.00006,0.00038,0.00175,0.26824
1403637136.038734912872314,0.26475,0.00011,0.00084,0.00010,0.00060,0.00212,0.26852
1403637136.088598728179932,0.26914,0.00017,0.00107,0.00011,0.00062,0.00185,0.27296
1403637136.138555288314819,0.26197,0.00012,0.00081,0.00013,0.00028,0.00190,0.26522
1403637136.188585519790649,0.25002,0.00011,0.00086,0.00009,0.00004,0.00164,0.25277
1403637136.238626956939697,0.25079,0.00011,0.00099,0.00009,0.00040,0.00149,0.25386
1403637136.288726806640625,0.25310,0.00016,0.00111,0.00012,0.00045,0.00178,0.25672
1403637136.338789939880371,0.25748,0.00014,0.00169,0.00012,0.00056,0.00203,0.26201
1403637136.388829231262207,0.24902,0.00011,0.00115,0.00011,0.00046,0.00220,0.25304
1403637136.438860893249512,0.24873,0.00011,0.00177,0.00011,0.00073,0.00211,0.25356
1403637136.488877773284912,0.25459,0.00016,0.00210,0.00013,0.00059,0.00192,0.25950
1403637136.538938283920288,0.25152,0.00015,0.00178,0.00016,0.00023,0.00169,0.25553
1403637136.588857889175415,0.25949,0.00011,0.00151,0.00013,0.00023,0.00160,0.26306
1403637136.638926506042480,0.25662,0.00011,0.00179,0.00007,0.00070,0.00174,0.26104
1403637136.688931465148926,0.26120,0.00010,0.00083,0.00008,0.00020,0.00151,0.26392
1403637136.738860607147217,0.26365,0.00015,0.00137,0.00016,0.00094,0.00155,0.26782
1403637136.788834810256958,0.25693,0.00013,0.00154,0.00011,0.00039,0.00212,0.26123
