# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403638133.245096921920776,0.24757,0.00009,0.00028,0.00000,0.00000,0.00107,0.24901
1403638133.295097112655640,0.27329,0.00012,0.00045,0.00000,0.00000,0.00131,0.27517
1403638133.345097064971924,0.24801,0.00008,0.00043,0.00000,0.00000,0.00122,0.24975
1403638133.395097017288208,0.26927,0.00014,0.00080,0.00000,0.00000,0.00210,0.27231
1403638133.445096969604492,0.26874,0.00010,0.00060,0.00000,0.00000,0.00152,0.27096
1403638133.495096921920776,0.26458,0.00011,0.00055,0.00000,0.00000,0.00149,0.26674
1403638133.545097112655640,0.25224,0.00010,0.00051,0.00000,0.00000,0.00131,0.25417
1403638133.596417188644409,0.26670,0.00012,0.00067,0.00000,0.00000,0.00198,0.26947
1403638133.646710395812988,0.26980,0.00011,0.00084,0.00000,0.00000,0.00200,0.27275
1403638133.697001218795776,0.26779,0.00049,0.00072,0.00000,0.00000,0.00221,0.27121
1403638133.747001171112061,0.27259,0.00010,0.00053,0.00000,0.00000,0.00166,0.27488
1403638133.797483205795288,0.26219,0.00010,0.00068,0.00000,0.00000,0.00152,0.26450
1403638133.847483158111572,0.25404,0.00010,0.00055,0.00000,0.00000,0.00188,0.25658
1403638133.897682905197144,0.25499,0.00014,0.00095,0.00000,0.00000,0.00200,0.25808
1403638133.947328090667725,0.25491,0.00015,0.00128,0.00000,0.00000,0.00159,0.25793
1403638133.997219800949097,0.26206,0.00011,0.00047,0.00000,0.00033,0.00162,0.26460
1403638134.047199726104736,0.25701,0.00010,0.00050,0.00005,0.00027,0.00151,0.25945
1403638134.096563339233398,0.25942,0.00010,0.00048,0.00005,0.00032,0.00152,0.26189
1403638134.146495103836060,0.24798,0.00011,0.00049,0.00007,0.00005,0.00218,0.25088
1403638134.196268081665039,0.25194,0.00010,0.00045,0.00006,0.00005,0.00179,0.25440
1403638134.246588706970215,0.26047,0.00009,0.00056,0.00003,0.00012,0.00157,0.26284
1403638134.296560525894165,0.26218,0.00010,0.00063,0.00000,0.00006,0.00181,0.26477
1403638134.346719741821289,0.26901,0.00012,0.00066,0.00000,0.00010,0.00195,0.27184
1403638134.396719694137573,0.26146,0.00012,0.00050,0.00000,0.00013,0.00165,0.26385
1403638134.446719646453857,0.26548,0.00010,0.00045,0.00000,0.00005,0.00159,0.26768
1403638134.496479511260986,0.26028,0.00010,0.00058,0.00000,0.00007,0.00188,0.26292
1403638134.546479701995850,0.26484,0.00010,0.00046,0.00000,0.00008,0.00158,0.26706
1403638134.596214771270752,0.26346,0.00009,0.00059,0.00000,0.00029,0.00160,0.26603
1403638134.645931243896484,0.26329,0.00010,0.00048,0.00006,0.00044,0.00175,0.26612
1403638134.695992708206177,0.26972,0.00010,0.00045,0.00008,0.00007,0.00234,0.27276
1403638134.746153593063354,0.25532,0.00010,0.00058,0.00005,0.00001,0.00183,0.25790
1403638134.796144008636475,0.26243,0.00013,0.00049,0.00009,0.00030,0.00193,0.26538
1403638134.845963716506958,0.26573,0.00016,0.00121,0.00009,0.00085,0.00247,0.27051
1403638134.895819902420044,0.26717,0.00014,0.00059,0.00014,0.00005,0.00272,0.27082
1403638134.945673227310181,0.27277,0.00014,0.00095,0.00006,0.00060,0.00163,0.27616
1403638134.995885372161865,0.27561,0.00011,0.00046,0.00009,0.00028,0.00163,0.27818
1403638135.045899868011475,0.27367,0.00016,0.00072,0.00007,0.00010,0.00198,0.27671
1403638135.095872163772583,0.26794,0.00015,0.00074,0.00007,0.00048,0.00232,0.27170
1403638135.145844221115112,0.25885,0.00011,0.00059,0.00009,0.00025,0.00211,0.26201
1403638135.195563554763794,0.27751,0.00010,0.00071,0.00011,0.00040,0.00164,0.28047
1403638135.245534181594849,0.27093,0.00011,0.00044,0.00018,0.00006,0.00180,0.27352
1403638135.295576333999634,0.26008,0.00012,0.00043,0.00020,0.00011,0.00178,0.26272
1403638135.345611333847046,0.25424,0.00011,0.00042,0.00018,0.00008,0.00160,0.25663
1403638135.395598888397217,0.26127,0.00012,0.00049,0.00016,0.00015,0.00161,0.26379
1403638135.445588827133179,0.25994,0.00013,0.00057,0.00012,0.00014,0.00250,0.26342
1403638135.495654582977295,0.27297,0.00011,0.00043,0.00013,0.00011,0.00170,0.27545
1403638135.545681953430176,0.26266,0.00011,0.00048,0.00009,0.00008,0.00180,0.26522
1403638135.595680236816406,0.26872,0.00011,0.00046,0.00011,0.00011,0.00167,0.27118
1403638135.645700216293335,0.26424,0.00011,0.00044,0.00009,0.00013,0.00156,0.26658
1403638135.695690393447876,0.26502,0.00010,0.00040,0.00009,0.00005,0.00166,0.26733
1403638135.745702028274536,0.25972,0.00011,0.00044,0.00009,0.00007,0.00190,0.26233
1403638135.795673370361328,0.26540,0.00011,0.00046,0.00009,0.00007,0.00164,0.26777
1403638135.845698595046997,0.25949,0.00013,0.00054,0.00011,0.00007,0.00172,0.26206
1403638135.895695209503174,0.26389,0.00011,0.00059,0.00005,0.00030,0.00196,0.26691
