# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393219.955760478973389,0.26409,0.00009,0.00032,0.00000,0.00000,0.00098,0.26548
1413393220.006144523620605,0.26273,0.00009,0.00074,0.00000,0.00000,0.00107,0.26464
1413393220.054697990417480,0.26122,0.00009,0.00094,0.00000,0.00000,0.00108,0.26332
1413393220.103132009506226,0.25274,0.00011,0.00093,0.00000,0.00000,0.00132,0.25510
1413393220.153724908828735,0.26005,0.00010,0.00080,0.00000,0.00000,0.00156,0.26252
1413393220.203563928604126,0.25176,0.00009,0.00071,0.00000,0.00000,0.00124,0.25380
1413393220.254369974136353,0.25637,0.00010,0.00076,0.00000,0.00000,0.00125,0.25848
1413393220.305016279220581,0.26143,0.00011,0.00096,0.00000,0.00000,0.00178,0.26428
1413393220.354257106781006,0.26167,0.00010,0.00155,0.00000,0.00000,0.00162,0.26494
1413393220.404334545135498,0.25321,0.00010,0.00160,0.00000,0.00000,0.00186,0.25677
1413393220.454172611236572,0.25674,0.00010,0.00097,0.00000,0.00000,0.00155,0.25936
1413393220.504537820816040,0.25915,0.00010,0.00147,0.00000,0.00000,0.00160,0.26231
1413393220.554381132125854,0.24756,0.00012,0.00125,0.00000,0.00000,0.00193,0.25086
1413393220.604459047317505,0.25091,0.00010,0.00096,0.00000,0.00000,0.00169,0.25367
1413393220.654479980468750,0.25790,0.00010,0.00124,0.00000,0.00000,0.00156,0.26081
1413393220.704574108123779,0.27291,0.00011,0.00063,0.00000,0.00028,0.00229,0.27622
1413393220.754853963851929,0.24981,0.00010,0.00056,0.00005,0.00037,0.00154,0.25243
1413393220.805085659027100,0.26227,0.00014,0.00083,0.00006,0.00005,0.00172,0.26507
1413393220.855182170867920,0.26136,0.00010,0.00053,0.00009,0.00026,0.00168,0.26403
1413393220.905268430709839,0.25992,0.00010,0.00058,0.00008,0.00043,0.00152,0.26263
1413393220.955940008163452,0.26001,0.00012,0.00058,0.00013,0.00100,0.00157,0.26342
1413393221.006312847137451,0.26157,0.00015,0.00077,0.00017,0.00024,0.00151,0.26441
1413393221.056462764739990,0.27015,0.00011,0.00064,0.00016,0.00045,0.00162,0.27314
1413393221.106735229492188,0.26254,0.00011,0.00062,0.00019,0.00028,0.00183,0.26557
1413393221.156827926635742,0.26053,0.00010,0.00058,0.00016,0.00008,0.00164,0.26309
1413393221.206587076187134,0.26750,0.00013,0.00055,0.00015,0.00008,0.00156,0.26997
1413393221.256570339202881,0.26549,0.00010,0.00070,0.00009,0.00010,0.00161,0.26810
1413393221.306417942047119,0.26292,0.00011,0.00065,0.00009,0.00007,0.00176,0.26559
1413393221.356612443923950,0.25907,0.00011,0.00092,0.00007,0.00002,0.00180,0.26199
1413393221.406439065933228,0.25991,0.00011,0.00083,0.00012,0.00005,0.00166,0.26269
1413393221.456331491470337,0.26077,0.00012,0.00074,0.00005,0.00022,0.00155,0.26344
1413393221.506396532058716,0.26298,0.00013,0.00096,0.00007,0.00039,0.00248,0.26701
1413393221.556339502334595,0.24141,0.00011,0.00092,0.00007,0.00109,0.00165,0.24524
1413393221.606301069259644,0.25346,0.00010,0.00057,0.00011,0.00041,0.00162,0.25629
1413393221.656342506408691,0.27207,0.00011,0.00052,0.00014,0.00024,0.00164,0.27471
1413393221.706131219863892,0.26140,0.00011,0.00105,0.00011,0.00022,0.00159,0.26448
1413393221.756082057952881,0.26571,0.00012,0.00060,0.00012,0.00025,0.00167,0.26847
1413393221.805921792984009,0.27205,0.00016,0.00100,0.00009,0.00063,0.00191,0.27584
1413393221.855906486511230,0.26121,0.00017,0.00133,0.00013,0.00008,0.00230,0.26523
1413393221.906051635742188,0.26856,0.00023,0.00068,0.00016,0.00027,0.00246,0.27236
1413393221.956158876419067,0.27035,0.00012,0.00061,0.00016,0.00031,0.00193,0.27348
1413393222.006249904632568,0.27110,0.00011,0.00052,0.00016,0.00026,0.00165,0.27380
1413393222.056435823440552,0.26929,0.00012,0.00057,0.00021,0.00006,0.00198,0.27222
1413393222.106593608856201,0.26019,0.00011,0.00055,0.00019,0.00008,0.00169,0.26280
1413393222.156961679458618,0.25926,0.00010,0.00051,0.00019,0.00049,0.00161,0.26217
1413393222.207163333892822,0.26011,0.00013,0.00057,0.00025,0.00001,0.00198,0.26306
1413393222.257225275039673,0.25657,0.00011,0.00056,0.00017,0.00011,0.00173,0.25925
