# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.304302692413330,0.26453,0.00012,0.00114,0.00000,0.00000,0.00115,0.26694
1413393890.356471061706543,0.26303,0.00009,0.00237,0.00000,0.00083,0.00138,0.26770
1413393890.406721353530884,0.25470,0.00016,0.00319,0.00012,0.00000,0.00131,0.25948
1413393890.457709550857544,0.26251,0.00011,0.00319,0.00012,0.00000,0.00163,0.26756
1413393890.507622480392456,0.25618,0.00014,0.00420,0.00010,0.00000,0.00185,0.26246
1413393890.557241678237915,0.25408,0.00013,0.00342,0.00008,0.00000,0.00141,0.25911
1413393890.606794595718384,0.24967,0.00011,0.00286,0.00006,0.00000,0.00138,0.25409
1413393890.656652450561523,0.25090,0.00014,0.00267,0.00005,0.00000,0.00301,0.25678
1413393890.706433534622192,0.26095,0.00011,0.00125,0.00006,0.00104,0.00218,0.26559
1413393890.756593704223633,0.26078,0.00015,0.00129,0.00011,0.00092,0.00186,0.26512
1413393890.806707620620728,0.25850,0.00011,0.00090,0.00016,0.00078,0.00154,0.26199
1413393890.856631517410278,0.25962,0.00016,0.00145,0.00024,0.00108,0.00185,0.26441
1413393890.906583786010742,0.26009,0.00012,0.00115,0.00018,0.00060,0.00181,0.26395
1413393890.956535100936890,0.25406,0.00014,0.00104,0.00020,0.00046,0.00229,0.25819
1413393891.006554603576660,0.25082,0.00011,0.00107,0.00022,0.00061,0.00188,0.25471
1413393891.056445837020874,0.25661,0.00015,0.00123,0.00018,0.00061,0.00165,0.26044
1413393891.106429576873779,0.25610,0.00018,0.00137,0.00019,0.00059,0.00152,0.25996
1413393891.156418323516846,0.26199,0.00014,0.00120,0.00025,0.00025,0.00168,0.26552
1413393891.206417083740234,0.26101,0.00013,0.00086,0.00023,0.00041,0.00160,0.26424
1413393891.256392478942871,0.26116,0.00013,0.00113,0.00028,0.00083,0.00175,0.26528
1413393891.306376218795776,0.25500,0.00017,0.00201,0.00032,0.00068,0.00184,0.26002
1413393891.356321096420288,0.24238,0.00015,0.00197,0.00023,0.00026,0.00157,0.24657
1413393891.406320095062256,0.24861,0.00016,0.00121,0.00022,0.00061,0.00191,0.25273
1413393891.456336736679077,0.24089,0.00016,0.00129,0.00036,0.00037,0.00244,0.24552
1413393891.506039857864380,0.24797,0.00028,0.00235,0.00025,0.00000,0.00214,0.25299
1413393891.555830717086792,0.25281,0.00015,0.00142,0.00017,0.00024,0.00275,0.25754
1413393891.605725288391113,0.25331,0.00014,0.00089,0.00018,0.00023,0.00176,0.25651
1413393891.655619859695435,0.25601,0.00023,0.00093,0.00021,0.00000,0.00203,0.25941
1413393891.705580711364746,0.24762,0.00016,0.00097,0.00019,0.00000,0.00206,0.25100
1413393891.755377054214478,0.24961,0.00014,0.00137,0.00014,0.00022,0.00190,0.25338
1413393891.805374622344971,0.24971,0.00011,0.00109,0.00015,0.00000,0.00172,0.25279
1413393891.855525255203247,0.25781,0.00014,0.00175,0.00015,0.00024,0.00234,0.26244
1413393891.905445098876953,0.26364,0.00014,0.00206,0.00009,0.00054,0.00180,0.26828
1413393891.955496549606323,0.25111,0.00021,0.00230,0.00014,0.00000,0.00289,0.25665
1413393892.005529642105103,0.25871,0.00015,0.00165,0.00013,0.00024,0.00245,0.26334
1413393892.055611848831177,0.26222,0.00022,0.00204,0.00011,0.00022,0.00203,0.26684
1413393892.105664014816284,0.25973,0.00013,0.00178,0.00009,0.00000,0.00216,0.26389
1413393892.155749559402466,0.25289,0.00014,0.00149,0.00006,0.00000,0.00177,0.25636
1413393892.205780506134033,0.25675,0.00016,0.00129,0.00005,0.00000,0.00168,0.25993
1413393892.255800724029541,0.25547,0.00020,0.00171,0.00005,0.00036,0.00164,0.25942
1413393892.305863142013550,0.26079,0.00016,0.00194,0.00005,0.00020,0.00170,0.26484
1413393892.355792284011841,0.25731,0.00016,0.00214,0.00008,0.00000,0.00205,0.26175
1413393892.405795335769653,0.26755,0.00012,0.00180,0.00004,0.00067,0.00172,0.27190
1413393892.455741882324219,0.26078,0.00013,0.00134,0.00009,0.00077,0.00186,0.26496
1413393892.505701303482056,0.26029,0.00011,0.00136,0.00015,0.00058,0.00173,0.26423
1413393892.555694103240967,0.25897,0.00019,0.00234,0.00015,0.00040,0.00177,0.26381
1413393892.605664730072021,0.26352,0.00022,0.00240,0.00017,0.00062,0.00181,0.26875
1413393892.655677556991577,0.27418,0.00015,0.00193,0.00016,0.00136,0.00177,0.27954
1413393892.705732107162476,0.26626,0.00012,0.00222,0.00023,0.00126,0.00261,0.27270
1413393892.755743026733398,0.26096,0.00022,0.00316,0.00037,0.00110,0.00345,0.26926
1413393892.805740356445312,0.25542,0.00015,0.00201,0.00023,0.00026,0.00198,0.26004
1413393892.855741262435913,0.27461,0.00013,0.00187,0.00015,0.00000,0.00177,0.27853
1413393892.905730485916138,0.26892,0.00013,0.00182,0.00010,0.00040,0.00166,0.27302
1413393892.955734729766846,0.28194,0.00017,0.00170,0.00010,0.00022,0.00256,0.28668
1413393893.005737781524658,0.26186,0.00018,0.00225,0.00007,0.00028,0.00199,0.26662
1413393893.055749654769897,0.25933,0.00013,0.00175,0.00007,0.00000,0.00278,0.26407
1413393893.105759859085083,0.26801,0.00016,0.00196,0.00006,0.00000,0.00175,0.27194
1413393893.155786275863647,0.24687,0.00013,0.00176,0.00005,0.00022,0.00284,0.25188
1413393893.205799818038940,0.27462,0.00012,0.00177,0.00005,0.00052,0.00175,0.27883
1413393893.255806684494019,0.25885,0.00017,0.00158,0.00009,0.00021,0.00194,0.26283
1413393893.305823564529419,0.25189,0.00015,0.00214,0.00010,0.00000,0.00248,0.25678
1413393893.355814456939697,0.25559,0.00014,0.00186,0.00008,0.00021,0.00181,0.25969
1413393893.405872821807861,0.25788,0.00014,0.00164,0.00008,0.00184,0.00175,0.26332
1413393893.455884456634521,0.26327,0.00012,0.00223,0.00020,0.00103,0.00184,0.26868
1413393893.505907535552979,0.26090,0.00014,0.00227,0.00022,0.00250,0.00232,0.26835
1413393893.555902719497681,0.26628,0.00025,0.00277,0.00055,0.00078,0.00200,0.27264
1413393893.605918407440186,0.27052,0.00021,0.00295,0.00041,0.00178,0.00210,0.27797
1413393893.655934333801270,0.26304,0.00017,0.00219,0.00063,0.00130,0.00203,0.26936
1413393893.705948829650879,0.26122,0.00014,0.00187,0.00067,0.00055,0.00160,0.26605
1413393893.755960702896118,0.26296,0.00014,0.00239,0.00048,0.00073,0.00162,0.26833
1413393893.805944204330444,0.26120,0.00020,0.00256,0.00036,0.00048,0.00155,0.26635
1413393893.855934619903564,0.26511,0.00015,0.00306,0.00028,0.00046,0.00182,0.27087
1413393893.905914068222046,0.25375,0.00013,0.00177,0.00015,0.00061,0.00153,0.25794
1413393893.955887794494629,0.26832,0.00014,0.00197,0.00011,0.00039,0.00171,0.27263
1413393894.005885839462280,0.27269,0.00021,0.00306,0.00021,0.00034,0.00369,0.28020
1413393894.055881023406982,0.25526,0.00014,0.00196,0.00009,0.00074,0.00274,0.26093
1413393894.105912446975708,0.25599,0.00014,0.00190,0.00013,0.00022,0.00200,0.26038
1413393894.155920028686523,0.25528,0.00013,0.00158,0.00013,0.00076,0.00187,0.25975
1413393894.205928325653076,0.26104,0.00013,0.00182,0.00014,0.00021,0.00148,0.26483
1413393894.255944490432739,0.25866,0.00016,0.00188,0.00014,0.00061,0.00169,0.26314
1413393894.305944204330444,0.25642,0.00018,0.00167,0.00014,0.00040,0.00172,0.26053
1413393894.355934619903564,0.25957,0.00023,0.00321,0.00030,0.00077,0.00205,0.26614
1413393894.405934810638428,0.26866,0.00014,0.00155,0.00020,0.00061,0.00161,0.27277
1413393894.455929279327393,0.26287,0.00013,0.00199,0.00025,0.00106,0.00179,0.26810
1413393894.505927085876465,0.26282,0.00015,0.00205,0.00036,0.00110,0.00177,0.26824
1413393894.555925607681274,0.24758,0.00016,0.00219,0.00053,0.00103,0.00183,0.25332
1413393894.605927467346191,0.26339,0.00016,0.00188,0.00059,0.00098,0.00181,0.26880
1413393894.655928373336792,0.26473,0.00014,0.00160,0.00061,0.00052,0.00158,0.26919
1413393894.705914020538330,0.25925,0.00017,0.00218,0.00048,0.00165,0.00163,0.26534
1413393894.755914449691772,0.25783,0.00014,0.00214,0.00050,0.00071,0.00166,0.26298
1413393894.805904865264893,0.24541,0.00016,0.00242,0.00053,0.00058,0.00241,0.25152
1413393894.855909585952759,0.25725,0.00013,0.00226,0.00026,0.00129,0.00273,0.26392
1413393894.905894041061401,0.25167,0.00013,0.00164,0.00038,0.00074,0.00169,0.25625
1413393894.955883502960205,0.25733,0.00013,0.00162,0.00037,0.00088,0.00155,0.26190
1413393895.005857944488525,0.26145,0.00018,0.00233,0.00045,0.00067,0.00166,0.26675
1413393895.055842161178589,0.26605,0.00019,0.00253,0.00032,0.00046,0.00210,0.27165
1413393895.105839729309082,0.27632,0.00017,0.00196,0.00023,0.00044,0.00288,0.28200
1413393895.155846834182739,0.27017,0.00031,0.00231,0.00021,0.00118,0.00175,0.27593
1413393895.205859184265137,0.26746,0.00012,0.00184,0.00025,0.00024,0.00185,0.27176
1413393895.255873441696167,0.26003,0.00013,0.00191,0.00023,0.00062,0.00194,0.26486
1413393895.305863142013550,0.26677,0.00013,0.00206,0.00021,0.00137,0.00183,0.27238
1413393895.355862617492676,0.25679,0.00012,0.00218,0.00025,0.00101,0.00163,0.26198
1413393895.405857086181641,0.25958,0.00013,0.00231,0.00032,0.00066,0.00232,0.26531
1413393895.455846309661865,0.25809,0.00013,0.00219,0.00035,0.00067,0.00181,0.26325
1413393895.505844831466675,0.24613,0.00017,0.00183,0.00020,0.00023,0.00203,0.25060
1413393895.555842638015747,0.25335,0.00015,0.00194,0.00017,0.00042,0.00185,0.25790
1413393895.605824232101440,0.28221,0.00013,0.00208,0.00014,0.00075,0.00165,0.28696
1413393895.655816793441772,0.26428,0.00015,0.00229,0.00016,0.00132,0.00161,0.26980
1413393895.705821990966797,0.26727,0.00013,0.00225,0.00018,0.00023,0.00161,0.27168
1413393895.755820512771606,0.27022,0.00014,0.00241,0.00015,0.00022,0.00183,0.27496
1413393895.805832147598267,0.26642,0.00017,0.00190,0.00011,0.00059,0.00200,0.27118
1413393895.855844020843506,0.25783,0.00014,0.00225,0.00014,0.00027,0.00319,0.26382
1413393895.905837774276733,0.25280,0.00013,0.00204,0.00009,0.00037,0.00170,0.25713
1413393895.955833435058594,0.25417,0.00012,0.00206,0.00011,0.00040,0.00165,0.25850
1413393896.005833387374878,0.25572,0.00014,0.00181,0.00013,0.00041,0.00211,0.26032
1413393896.055827140808105,0.25677,0.00015,0.00151,0.00010,0.00039,0.00188,0.26081
1413393896.105827808380127,0.24480,0.00013,0.00198,0.00012,0.00024,0.00167,0.24894
1413393896.155828714370728,0.24350,0.00015,0.00165,0.00009,0.00057,0.00233,0.24830
1413393896.205825805664062,0.23448,0.00013,0.00120,0.00007,0.00038,0.00156,0.23782
1413393896.255825519561768,0.25754,0.00015,0.00205,0.00016,0.00076,0.00228,0.26295
1413393896.305832862854004,0.24668,0.00013,0.00102,0.00010,0.00055,0.00174,0.25022
1413393896.355834722518921,0.25451,0.00013,0.00119,0.00013,0.00000,0.00206,0.25802
1413393896.405836105346680,0.25047,0.00013,0.00128,0.00012,0.00043,0.00313,0.25557
1413393896.455829620361328,0.24047,0.00013,0.00180,0.00013,0.00000,0.00170,0.24422
1413393896.505835056304932,0.25619,0.00013,0.00099,0.00012,0.00039,0.00173,0.25955
1413393896.555832624435425,0.26936,0.00014,0.00126,0.00012,0.00056,0.00172,0.27315
1413393896.605830669403076,0.26226,0.00014,0.00085,0.00018,0.00028,0.00179,0.26550
1413393896.655828475952148,0.25973,0.00013,0.00083,0.00015,0.00058,0.00193,0.26336
