# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413394890.555760383605957,0.23763,0.00010,0.00038,0.00000,0.00000,0.00096,0.23907
1413394890.605760574340820,0.24972,0.00013,0.00078,0.00000,0.00000,0.00113,0.25176
1413394890.655760526657104,0.24514,0.00010,0.00054,0.00000,0.00000,0.00130,0.24708
1413394890.705760478973389,0.26634,0.00013,0.00082,0.00000,0.00000,0.00117,0.26846
1413394890.755760431289673,0.26750,0.00012,0.00065,0.00000,0.00000,0.00113,0.26940
1413394890.808606386184692,0.24302,0.00011,0.00077,0.00000,0.00000,0.00109,0.24500
1413394890.856005430221558,0.23696,0.00010,0.00100,0.00000,0.00000,0.00125,0.23931
1413394890.909013748168945,0.23993,0.00014,0.00127,0.00000,0.00000,0.00242,0.24376
1413394890.958686113357544,0.23905,0.00010,0.00092,0.00000,0.00000,0.00131,0.24138
1413394891.010008811950684,0.24685,0.00013,0.00126,0.00000,0.00000,0.00228,0.25052
1413394891.060008764266968,0.24718,0.00012,0.00066,0.00000,0.00000,0.00147,0.24943
1413394891.110567331314087,0.23660,0.00013,0.00085,0.00000,0.00000,0.00164,0.23922
1413394891.161696672439575,0.25806,0.00013,0.00113,0.00000,0.00000,0.00166,0.26099
1413394891.213214159011841,0.26439,0.00012,0.00104,0.00000,0.00000,0.00183,0.26738
1413394891.263242483139038,0.26624,0.00012,0.00091,0.00000,0.00000,0.00179,0.26907
1413394891.313287019729614,0.25582,0.00010,0.00094,0.00000,0.00000,0.00177,0.25864
1413394891.363476753234863,0.25248,0.00013,0.00119,0.00000,0.00025,0.00282,0.25686
1413394891.413679122924805,0.26163,0.00012,0.00131,0.00004,0.00000,0.00180,0.26490
1413394891.462895393371582,0.26105,0.00013,0.00144,0.00002,0.00000,0.00266,0.26531
1413394891.512912034988403,0.26255,0.00027,0.00179,0.00005,0.00000,0.00276,0.26742
1413394891.562856674194336,0.24887,0.00013,0.00106,0.00003,0.00000,0.00193,0.25201
1413394891.611768722534180,0.25076,0.00010,0.00149,0.00003,0.00000,0.00142,0.25380
1413394891.661720752716064,0.25712,0.00013,0.00114,0.00002,0.00000,0.00181,0.26022
1413394891.711141824722290,0.24910,0.00017,0.00206,0.00000,0.00000,0.00267,0.25401
1413394891.759840488433838,0.25043,0.00012,0.00171,0.00000,0.00000,0.00162,0.25389
1413394891.808806419372559,0.25193,0.00014,0.00179,0.00000,0.00021,0.00186,0.25592
1413394891.858437299728394,0.23732,0.00011,0.00145,0.00003,0.00019,0.00159,0.24070
1413394891.908153057098389,0.24501,0.00012,0.00149,0.00004,0.00000,0.00186,0.24851
1413394891.958104848861694,0.23289,0.00017,0.00175,0.00003,0.00000,0.00146,0.23629
1413394892.008166790008545,0.23760,0.00010,0.00089,0.00003,0.00040,0.00152,0.24055
1413394892.058096647262573,0.23466,0.00010,0.00141,0.00003,0.00016,0.00149,0.23786
1413394892.108134746551514,0.22970,0.00011,0.00141,0.00000,0.00000,0.00158,0.23280
1413394892.158144474029541,0.22964,0.00011,0.00105,0.00000,0.00000,0.00149,0.23230
1413394892.207972764968872,0.24847,0.00010,0.00151,0.00000,0.00007,0.00153,0.25168
1413394892.258069992065430,0.23694,0.00010,0.00113,0.00000,0.00000,0.00141,0.23959
1413394892.308106660842896,0.24111,0.00011,0.00112,0.00000,0.00000,0.00258,0.24493
1413394892.358071088790894,0.23171,0.00016,0.00113,0.00000,0.00022,0.00282,0.23604
1413394892.408176183700562,0.23349,0.00012,0.00124,0.00003,0.00020,0.00213,0.23721
1413394892.458191871643066,0.23489,0.00015,0.00182,0.00007,0.00000,0.00198,0.23892
1413394892.508059263229370,0.22213,0.00015,0.00179,0.00007,0.00000,0.00275,0.22688
1413394892.557930469512939,0.23779,0.00010,0.00053,0.00006,0.00022,0.00143,0.24014
1413394892.607882022857666,0.24246,0.00013,0.00084,0.00006,0.00000,0.00169,0.24518
1413394892.657892942428589,0.23805,0.00013,0.00074,0.00006,0.00000,0.00199,0.24096
1413394892.707594871520996,0.23599,0.00010,0.00081,0.00006,0.00038,0.00171,0.23904
1413394892.757724523544312,0.24108,0.00013,0.00123,0.00004,0.00026,0.00149,0.24423
1413394892.807667732238770,0.23633,0.00011,0.00071,0.00006,0.00022,0.00239,0.23982
1413394892.857589244842529,0.24533,0.00010,0.00069,0.00007,0.00037,0.00143,0.24799
1413394892.907441139221191,0.23469,0.00010,0.00152,0.00007,0.00000,0.00151,0.23790
1413394892.957355976104736,0.27072,0.00011,0.00124,0.00007,0.00022,0.00174,0.27410
1413394893.007207155227661,0.26252,0.00012,0.00131,0.00007,0.00040,0.00175,0.26618
1413394893.057070493698120,0.25676,0.00014,0.00187,0.00007,0.00000,0.00159,0.26043
1413394893.106987714767456,0.26284,0.00012,0.00139,0.00004,0.00036,0.00154,0.26630
1413394893.156962871551514,0.26204,0.00010,0.00158,0.00006,0.00000,0.00152,0.26530
1413394893.206950426101685,0.26631,0.00013,0.00116,0.00006,0.00054,0.00186,0.27007
1413394893.256916761398315,0.26675,0.00013,0.00164,0.00009,0.00021,0.00169,0.27051
1413394893.306909322738647,0.26740,0.00013,0.00090,0.00009,0.00060,0.00178,0.27090
1413394893.356883525848389,0.24590,0.00017,0.00261,0.00016,0.00024,0.00154,0.25063
1413394893.406791448593140,0.24254,0.00013,0.00143,0.00013,0.00076,0.00193,0.24692
1413394893.456766128540039,0.25755,0.00011,0.00113,0.00013,0.00112,0.00161,0.26166
1413394893.506757497787476,0.27225,0.00017,0.00180,0.00021,0.00046,0.00259,0.27749
