# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403636860.901666402816772,0.00436,0.00007,0.00028,0.00000,0.00000,0.00068,0.00540
1403636860.951474189758301,0.00402,0.00007,0.00078,0.00000,0.00000,0.00060,0.00547
1403636861.000351190567017,0.00392,0.00006,0.00053,0.00000,0.00000,0.00053,0.00504
1403636861.050839900970459,0.00433,0.00007,0.00043,0.00000,0.00000,0.00066,0.00549
1403636861.102005481719971,0.00435,0.00008,0.00056,0.00000,0.00000,0.00073,0.00571
1403636861.152023792266846,0.00424,0.00008,0.00063,0.00000,0.00000,0.00063,0.00559
1403636861.202413082122803,0.00436,0.00008,0.00086,0.00000,0.00000,0.00066,0.00596
1403636861.252606391906738,0.00426,0.00007,0.00061,0.00000,0.00000,0.00080,0.00575
1403636861.302486181259155,0.00416,0.00007,0.00060,0.00000,0.00000,0.00098,0.00581
1403636861.352190017700195,0.00441,0.00008,0.00055,0.00000,0.00000,0.00091,0.00595
1403636861.401534557342529,0.00434,0.00006,0.00059,0.00000,0.00000,0.00085,0.00585
1403636861.451151609420776,0.00463,0.00008,0.00058,0.00000,0.00000,0.00093,0.00622
1403636861.501054286956787,0.00471,0.00008,0.00050,0.00000,0.00000,0.00090,0.00619
1403636861.551232576370239,0.00452,0.00007,0.00054,0.00000,0.00000,0.00100,0.00613
1403636861.600703001022339,0.00471,0.00008,0.00052,0.00000,0.00000,0.00089,0.00620
1403636861.650957107543945,0.00462,0.00007,0.00035,0.00000,0.00034,0.00086,0.00625
1403636861.700965642929077,0.00467,0.00009,0.00049,0.00000,0.00023,0.00090,0.00638
1403636861.751262664794922,0.00471,0.00008,0.00046,0.00003,0.00003,0.00099,0.00631
1403636861.801494598388672,0.00453,0.00007,0.00058,0.00003,0.00022,0.00105,0.00648
1403636861.851465940475464,0.00464,0.00008,0.00066,0.00004,0.00006,0.00098,0.00645
1403636861.901602745056152,0.00436,0.00007,0.00077,0.00003,0.00017,0.00074,0.00616
1403636861.951205730438232,0.00481,0.00008,0.00077,0.00005,0.00001,0.00087,0.00660
1403636862.001137733459473,0.00421,0.00007,0.00056,0.00005,0.00018,0.00082,0.00588
1403636862.050976276397705,0.00414,0.00008,0.00110,0.00003,0.00000,0.00088,0.00623
1403636862.100668191909790,0.00441,0.00007,0.00066,0.00000,0.00000,0.00092,0.00607
1403636862.150570869445801,0.00411,0.00008,0.00079,0.00000,0.00000,0.00071,0.00569
1403636862.200332641601562,0.00420,0.00009,0.00083,0.00000,0.00017,0.00087,0.00616
1403636862.250323057174683,0.00459,0.00008,0.00062,0.00003,0.00000,0.00085,0.00616
1403636862.300135850906372,0.00462,0.00008,0.00095,0.00003,0.00000,0.00104,0.00672
1403636862.350338459014893,0.00456,0.00007,0.00060,0.00003,0.00017,0.00086,0.00630
1403636862.400263071060181,0.00479,0.00006,0.00037,0.00002,0.00000,0.00076,0.00601
1403636862.450392961502075,0.00541,0.00007,0.00083,0.00000,0.00000,0.00093,0.00724
1403636862.500454187393188,0.00423,0.00007,0.00069,0.00000,0.00002,0.00071,0.00571
1403636862.550473928451538,0.00420,0.00009,0.00058,0.00000,0.00000,0.00094,0.00580
1403636862.600539684295654,0.00421,0.00008,0.00067,0.00000,0.00000,0.00076,0.00571
1403636862.650468349456787,0.00438,0.00006,0.00076,0.00000,0.00000,0.00096,0.00617
1403636862.700416564941406,0.00442,0.00008,0.00072,0.00000,0.00000,0.00093,0.00615
1403636862.750523090362549,0.00441,0.00007,0.00058,0.00000,0.00001,0.00073,0.00579
1403636862.800574064254761,0.00473,0.00009,0.00071,0.00000,0.00000,0.00096,0.00649
1403636862.850592613220215,0.00455,0.00008,0.00053,0.00000,0.00000,0.00079,0.00595
1403636862.900589704513550,0.00438,0.00009,0.00058,0.00000,0.00000,0.00099,0.00604
1403636862.950622320175171,0.00455,0.00008,0.00065,0.00000,0.00000,0.00088,0.00617
1403636863.000674247741699,0.00450,0.00007,0.00079,0.00000,0.00000,0.00078,0.00613
1403636863.050745010375977,0.00471,0.00010,0.00086,0.00000,0.00000,0.00107,0.00675
1403636863.100757360458374,0.00449,0.00007,0.00066,0.00000,0.00017,0.00087,0.00626
1403636863.150734424591064,0.00472,0.00008,0.00059,0.00003,0.00000,0.00110,0.00651
1403636863.200671672821045,0.00468,0.00007,0.00048,0.00003,0.00049,0.00102,0.00676
1403636863.250696420669556,0.00462,0.00009,0.00042,0.00008,0.00037,0.00112,0.00670
1403636863.300830364227295,0.00495,0.00008,0.00087,0.00007,0.00004,0.00090,0.00691
1403636863.350833892822266,0.00473,0.00008,0.00080,0.00005,0.00003,0.00102,0.00671
1403636863.400857686996460,0.00485,0.00007,0.00059,0.00005,0.00039,0.00091,0.00687
1403636863.450891494750977,0.00446,0.00006,0.00038,0.00006,0.00035,0.00078,0.00608
1403636863.500869274139404,0.00470,0.00010,0.00069,0.00006,0.00001,0.00100,0.00656
1403636863.550870656967163,0.00446,0.00008,0.00051,0.00005,0.00000,0.00090,0.00600
1403636863.600864171981812,0.00423,0.00008,0.00049,0.00003,0.00000,0.00092,0.00574
1403636863.650794029235840,0.00403,0.00007,0.00087,0.00003,0.00000,0.00075,0.00575
1403636863.700773954391479,0.00488,0.00007,0.00095,0.00000,0.00000,0.00091,0.00681
1403636863.750782489776611,0.00395,0.00008,0.00113,0.00000,0.00000,0.00081,0.00596
1403636863.800787210464478,0.00430,0.00007,0.00052,0.00000,0.00000,0.00068,0.00558
1403636863.850808858871460,0.00482,0.00009,0.00081,0.00000,0.00000,0.00102,0.00674
1403636863.900744199752808,0.00464,0.00008,0.00055,0.00000,0.00000,0.00087,0.00614
1403636863.950772047042847,0.00449,0.00008,0.00067,0.00000,0.00000,0.00083,0.00608
1403636864.000822305679321,0.00411,0.00008,0.00065,0.00000,0.00000,0.00085,0.00570
1403636864.050797224044800,0.00399,0.00007,0.00073,0.00000,0.00000,0.00081,0.00560
1403636864.100775480270386,0.00389,0.00007,0.00063,0.00000,0.00034,0.00089,0.00582
1403636864.150774478912354,0.00406,0.00007,0.00059,0.00003,0.00017,0.00080,0.00572
1403636864.200831174850464,0.00450,0.00007,0.00096,0.00003,0.00000,0.00088,0.00644
1403636864.250769853591919,0.00468,0.00007,0.00091,0.00000,0.00001,0.00096,0.00663
1403636864.300801277160645,0.00484,0.00007,0.00063,0.00000,0.00000,0.00095,0.00650
1403636864.350810766220093,0.00466,0.00008,0.00055,0.00000,0.00000,0.00105,0.00635
1403636864.400817155838013,0.00471,0.00009,0.00068,0.00000,0.00000,0.00102,0.00649
1403636864.450816631317139,0.00456,0.00007,0.00067,0.00000,0.00000,0.00096,0.00627
1403636864.500813007354736,0.00446,0.00009,0.00060,0.00000,0.00000,0.00088,0.00602
1403636864.550807237625122,0.00442,0.00007,0.00068,0.00000,0.00000,0.00083,0.00601
1403636864.600813150405884,0.00453,0.00008,0.00087,0.00000,0.00000,0.00106,0.00654
1403636864.650837659835815,0.00448,0.00007,0.00076,0.00000,0.00000,0.00110,0.00641
1403636864.700872898101807,0.00455,0.00007,0.00041,0.00000,0.00017,0.00100,0.00621
1403636864.750864028930664,0.00454,0.00007,0.00035,0.00004,0.00018,0.00104,0.00623
1403636864.800797700881958,0.00467,0.00007,0.00036,0.00004,0.00035,0.00088,0.00637
1403636864.850761413574219,0.00483,0.00009,0.00090,0.00006,0.00002,0.00100,0.00690
1403636864.900765419006348,0.00461,0.00008,0.00042,0.00002,0.00002,0.00094,0.00610
1403636864.950768232345581,0.00462,0.00008,0.00059,0.00003,0.00002,0.00100,0.00634
1403636865.000777721405029,0.00457,0.00008,0.00063,0.00003,0.00003,0.00106,0.00639
1403636865.050755500793457,0.00453,0.00007,0.00043,0.00002,0.00000,0.00076,0.00582
1403636865.100744724273682,0.00573,0.00008,0.00086,0.00003,0.00001,0.00104,0.00775
1403636865.150749206542969,0.00456,0.00007,0.00125,0.00003,0.00000,0.00079,0.00670
1403636865.200742483139038,0.00476,0.00010,0.00078,0.00003,0.00001,0.00092,0.00660
1403636865.250725746154785,0.00452,0.00008,0.00053,0.00003,0.00000,0.00089,0.00604
1403636865.300707101821899,0.00452,0.00006,0.00052,0.00000,0.00000,0.00101,0.00612
1403636865.350673198699951,0.00490,0.00009,0.00092,0.00000,0.00000,0.00098,0.00690
1403636865.400668621063232,0.00476,0.00007,0.00093,0.00000,0.00000,0.00076,0.00653
1403636865.450667142868042,0.00509,0.00009,0.00069,0.00000,0.00001,0.00109,0.00698
1403636865.500646591186523,0.00468,0.00007,0.00097,0.00000,0.00000,0.00091,0.00664
1403636865.550645351409912,0.00484,0.00009,0.00070,0.00000,0.00000,0.00109,0.00672
1403636865.600636243820190,0.00491,0.00008,0.00060,0.00000,0.00000,0.00085,0.00644
1403636865.650695562362671,0.00464,0.00007,0.00096,0.00000,0.00001,0.00092,0.00660
1403636865.700734376907349,0.00462,0.00008,0.00112,0.00000,0.00018,0.00089,0.00690
1403636865.750747203826904,0.00429,0.00007,0.00068,0.00003,0.00000,0.00071,0.00577
