# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637134.538319110870361,0.00464,0.00005,0.00052,0.00000,0.00000,0.00108,0.00629
1403637134.588319063186646,0.00467,0.00006,0.00119,0.00000,0.00006,0.00150,0.00748
1403637134.638319015502930,0.00470,0.00006,0.00112,0.00000,0.00000,0.00128,0.00717
1403637134.688318967819214,0.00488,0.00007,0.00142,0.00000,0.00000,0.00141,0.00778
1403637134.738318920135498,0.00488,0.00007,0.00101,0.00000,0.00000,0.00120,0.00716
1403637134.788319110870361,0.00384,0.00008,0.00152,0.00000,0.00000,0.00133,0.00677
1403637134.833729982376099,0.00405,0.00007,0.00130,0.00000,0.00000,0.00117,0.00659
1403637134.884272575378418,0.00373,0.00006,0.00122,0.00000,0.00000,0.00262,0.00764
1403637134.934535503387451,0.00389,0.00009,0.00086,0.00000,0.00000,0.00133,0.00618
1403637134.984650611877441,0.00384,0.00009,0.00058,0.00000,0.00000,0.00146,0.00597
1403637135.035465478897095,0.00365,0.00009,0.00061,0.00000,0.00000,0.00129,0.00563
1403637135.087063312530518,0.00357,0.00007,0.00046,0.00000,0.00018,0.00111,0.00539
1403637135.137850522994995,0.00401,0.00008,0.00081,0.00003,0.00000,0.00157,0.00650
1403637135.187375545501709,0.00424,0.00007,0.00067,0.00000,0.00001,0.00123,0.00622
1403637135.237349271774292,0.00475,0.00008,0.00068,0.00000,0.00000,0.00161,0.00713
1403637135.287661075592041,0.00422,0.00007,0.00056,0.00000,0.00000,0.00124,0.00609
1403637135.337629556655884,0.00325,0.00008,0.00051,0.00000,0.00000,0.00125,0.00509
1403637135.387638092041016,0.00478,0.00008,0.00048,0.00000,0.00000,0.00126,0.00660
1403637135.437551498413086,0.00358,0.00008,0.00040,0.00000,0.00001,0.00122,0.00528
1403637135.487797498703003,0.00331,0.00007,0.00046,0.00000,0.00000,0.00141,0.00526
1403637135.538136482238770,0.00386,0.00008,0.00051,0.00000,0.00000,0.00122,0.00567
1403637135.588777780532837,0.00373,0.00008,0.00054,0.00000,0.00000,0.00135,0.00571
1403637135.638859987258911,0.00410,0.00010,0.00053,0.00000,0.00000,0.00139,0.00612
1403637135.688934803009033,0.00433,0.00007,0.00040,0.00000,0.00000,0.00122,0.00602
1403637135.738925457000732,0.00436,0.00009,0.00062,0.00000,0.00000,0.00156,0.00663
1403637135.788837432861328,0.00446,0.00008,0.00064,0.00000,0.00001,0.00136,0.00655
1403637135.838186025619507,0.00462,0.00007,0.00049,0.00000,0.00000,0.00153,0.00673
1403637135.887637615203857,0.00490,0.00008,0.00085,0.00000,0.00001,0.00143,0.00727
1403637135.936922788619995,0.00457,0.00007,0.00049,0.00000,0.00000,0.00137,0.00649
1403637135.983337879180908,0.00483,0.00009,0.00036,0.00000,0.00052,0.00143,0.00722
1403637136.033129930496216,0.00475,0.00007,0.00037,0.00004,0.00002,0.00138,0.00664
1403637136.082227468490601,0.00475,0.00008,0.00040,0.00003,0.00022,0.00146,0.00694
1403637136.131299972534180,0.00428,0.00008,0.00050,0.00002,0.00023,0.00131,0.00641
1403637136.181299924850464,0.00398,0.00009,0.00044,0.00003,0.00004,0.00141,0.00599
1403637136.230741739273071,0.00395,0.00008,0.00070,0.00001,0.00001,0.00130,0.00605
1403637136.280761957168579,0.00419,0.00007,0.00042,0.00000,0.00001,0.00116,0.00585
1403637136.330686092376709,0.00448,0.00009,0.00072,0.00000,0.00017,0.00129,0.00675
1403637136.380678415298462,0.00426,0.00007,0.00062,0.00000,0.00001,0.00125,0.00622
1403637136.430855035781860,0.00328,0.00008,0.00059,0.00000,0.00000,0.00134,0.00530
1403637136.480899572372437,0.00342,0.00009,0.00062,0.00000,0.00001,0.00124,0.00538
1403637136.531050443649292,0.00362,0.00007,0.00046,0.00000,0.00000,0.00104,0.00518
1403637136.581208467483521,0.00439,0.00009,0.00055,0.00000,0.00000,0.00139,0.00641
1403637136.631306886672974,0.00443,0.00007,0.00046,0.00000,0.00000,0.00128,0.00624
1403637136.681395292282104,0.00448,0.00010,0.00050,0.00000,0.00000,0.00129,0.00636
1403637136.731392860412598,0.00379,0.00009,0.00048,0.00000,0.00001,0.00122,0.00559
1403637136.781399965286255,0.00343,0.00007,0.00038,0.00000,0.00000,0.00105,0.00493
1403637136.831777811050415,0.00361,0.00009,0.00058,0.00000,0.00000,0.00133,0.00560
1403637136.882083177566528,0.00374,0.00008,0.00048,0.00000,0.00000,0.00121,0.00551
1403637136.932170391082764,0.00413,0.00006,0.00043,0.00000,0.00000,0.00125,0.00587
1403637136.982161521911621,0.00607,0.00014,0.00066,0.00000,0.00002,0.00150,0.00839
1403637137.032163619995117,0.00408,0.00007,0.00032,0.00000,0.00000,0.00111,0.00558
1403637137.082190513610840,0.00429,0.00008,0.00042,0.00000,0.00000,0.00148,0.00628
1403637137.132199525833130,0.00474,0.00008,0.00057,0.00000,0.00000,0.00129,0.00667
1403637137.182368993759155,0.00471,0.00008,0.00063,0.00000,0.00000,0.00148,0.00690
1403637137.232455492019653,0.00668,0.00012,0.00074,0.00000,0.00000,0.00203,0.00958
1403637137.282638549804688,0.00467,0.00009,0.00056,0.00000,0.00000,0.00144,0.00676
