# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403638523.327829599380493,0.00458,0.00006,0.00020,0.00000,0.00000,0.00126,0.00609
1403638523.377829551696777,0.00503,0.00007,0.00042,0.00000,0.00003,0.00118,0.00673
1403638523.427829504013062,0.00648,0.00009,0.00053,0.00000,0.00000,0.00108,0.00819
1403638523.477829456329346,0.00430,0.00008,0.00047,0.00000,0.00000,0.00103,0.00586
1403638523.527829408645630,0.00429,0.00008,0.00045,0.00000,0.00000,0.00106,0.00588
1403638523.577829599380493,0.00397,0.00010,0.00052,0.00000,0.00000,0.00105,0.00564
1403638523.627829551696777,0.00386,0.00008,0.00039,0.00000,0.00000,0.00080,0.00513
1403638523.677829504013062,0.00448,0.00007,0.00042,0.00000,0.00000,0.00137,0.00635
1403638523.727829456329346,0.00619,0.00010,0.00046,0.00000,0.00001,0.00219,0.00895
1403638523.777677536010742,0.00523,0.00012,0.00065,0.00000,0.00001,0.00155,0.00756
1403638523.825201034545898,0.00470,0.00009,0.00048,0.00000,0.00020,0.00226,0.00773
1403638523.876589298248291,0.00448,0.00010,0.00053,0.00004,0.00026,0.00181,0.00722
1403638523.926539897918701,0.00568,0.00010,0.00082,0.00000,0.00000,0.00153,0.00813
1403638523.975149631500244,0.00412,0.00012,0.00059,0.00000,0.00022,0.00125,0.00630
1403638524.024736642837524,0.00400,0.00008,0.00058,0.00000,0.00003,0.00143,0.00612
1403638524.074966669082642,0.00467,0.00010,0.00057,0.00000,0.00003,0.00196,0.00733
1403638524.125547170639038,0.00496,0.00009,0.00056,0.00000,0.00003,0.00165,0.00729
1403638524.175547122955322,0.00412,0.00011,0.00067,0.00000,0.00000,0.00156,0.00646
1403638524.225549697875977,0.00389,0.00008,0.00044,0.00000,0.00002,0.00150,0.00593
1403638524.275422811508179,0.00468,0.00015,0.00075,0.00000,0.00001,0.00142,0.00701
1403638524.325423002243042,0.00425,0.00019,0.00083,0.00000,0.00002,0.00157,0.00687
1403638524.375422716140747,0.00560,0.00012,0.00042,0.00000,0.00000,0.00110,0.00724
1403638524.425422668457031,0.00444,0.00012,0.00053,0.00000,0.00002,0.00169,0.00681
1403638524.475218534469604,0.00584,0.00010,0.00047,0.00000,0.00001,0.00203,0.00846
1403638524.525549650192261,0.00483,0.00020,0.00089,0.00000,0.00000,0.00132,0.00724
1403638524.581049919128418,0.00540,0.00009,0.00046,0.00000,0.00023,0.00131,0.00749
1403638524.630805492401123,0.00635,0.00022,0.00080,0.00010,0.00005,0.00325,0.01077
1403638524.680609703063965,0.00580,0.00010,0.00045,0.00004,0.00000,0.00184,0.00822
1403638524.730326652526855,0.00474,0.00012,0.00059,0.00003,0.00003,0.00129,0.00680
1403638524.779415369033813,0.00546,0.00008,0.00052,0.00003,0.00001,0.00143,0.00754
1403638524.827839612960815,0.00483,0.00011,0.00044,0.00003,0.00027,0.00215,0.00783
1403638524.877470493316650,0.00635,0.00014,0.00053,0.00009,0.00000,0.00254,0.00966
1403638524.924934387207031,0.00480,0.00008,0.00042,0.00002,0.00022,0.00145,0.00700
1403638524.974934339523315,0.00457,0.00009,0.00048,0.00002,0.00006,0.00158,0.00681
1403638525.024934291839600,0.00464,0.00013,0.00060,0.00000,0.00006,0.00157,0.00701
1403638525.074934482574463,0.00473,0.00014,0.00046,0.00000,0.00004,0.00185,0.00721
1403638525.124934434890747,0.00548,0.00012,0.00043,0.00000,0.00006,0.00114,0.00724
1403638525.174934387207031,0.00423,0.00009,0.00039,0.00000,0.00009,0.00126,0.00607
1403638525.224934339523315,0.00462,0.00016,0.00057,0.00000,0.00012,0.00132,0.00679
1403638525.274934291839600,0.00492,0.00009,0.00037,0.00000,0.00004,0.00281,0.00824
1403638525.324934482574463,0.00553,0.00013,0.00043,0.00000,0.00006,0.00117,0.00732
1403638525.374934434890747,0.00443,0.00011,0.00036,0.00000,0.00007,0.00161,0.00658
1403638525.424934387207031,0.00586,0.00010,0.00032,0.00000,0.00002,0.00135,0.00765
1403638525.474934339523315,0.00691,0.00021,0.00083,0.00000,0.00002,0.00154,0.00951
1403638525.525000095367432,0.00445,0.00009,0.00038,0.00000,0.00001,0.00096,0.00589
1403638525.574875831604004,0.00476,0.00015,0.00091,0.00000,0.00007,0.00242,0.00831
1403638525.625093698501587,0.00434,0.00014,0.00062,0.00000,0.00002,0.00274,0.00787
1403638525.675065517425537,0.00454,0.00011,0.00065,0.00000,0.00000,0.00141,0.00671
1403638525.725093841552734,0.00522,0.00011,0.00059,0.00000,0.00000,0.00124,0.00716
1403638525.775048017501831,0.00478,0.00009,0.00062,0.00000,0.00001,0.00248,0.00799
1403638525.825056552886963,0.00501,0.00011,0.00054,0.00000,0.00000,0.00188,0.00754
1403638525.875015735626221,0.00733,0.00011,0.00056,0.00000,0.00000,0.00135,0.00936
1403638525.924878358840942,0.00461,0.00008,0.00053,0.00000,0.00001,0.00102,0.00626
1403638525.974088668823242,0.00430,0.00012,0.00080,0.00000,0.00001,0.00265,0.00789
1403638526.022755861282349,0.00445,0.00009,0.00076,0.00000,0.00003,0.00168,0.00702
1403638526.072312593460083,0.00444,0.00015,0.00101,0.00000,0.00002,0.00151,0.00713
1403638526.122324228286743,0.00429,0.00011,0.00059,0.00000,0.00002,0.00128,0.00629
1403638526.172348260879517,0.00434,0.00009,0.00066,0.00000,0.00002,0.00145,0.00656
1403638526.222315549850464,0.00410,0.00010,0.00072,0.00000,0.00002,0.00134,0.00628
1403638526.272365331649780,0.00390,0.00012,0.00059,0.00000,0.00002,0.00183,0.00647
1403638526.322352647781372,0.00426,0.00010,0.00053,0.00000,0.00008,0.00144,0.00642
1403638526.372379779815674,0.00628,0.00016,0.00090,0.00000,0.00003,0.00162,0.00898
1403638526.422487258911133,0.00634,0.00012,0.00052,0.00000,0.00004,0.00169,0.00873
1403638526.472487211227417,0.00422,0.00009,0.00040,0.00000,0.00006,0.00145,0.00623
1403638526.522487163543701,0.00424,0.00009,0.00054,0.00000,0.00002,0.00131,0.00620
