# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715279.262142896652222,0.00435,0.00007,0.00021,0.00000,0.00000,0.00144,0.00607
1403715279.312143087387085,0.00409,0.00008,0.00046,0.00000,0.00003,0.00126,0.00591
1403715279.362143039703369,0.00405,0.00007,0.00039,0.00000,0.00000,0.00137,0.00589
1403715279.412142992019653,0.00398,0.00008,0.00038,0.00000,0.00000,0.00097,0.00542
1403715279.462142944335938,0.00449,0.00015,0.00066,0.00000,0.00000,0.00106,0.00635
1403715279.512142896652222,0.00474,0.00010,0.00051,0.00000,0.00000,0.00128,0.00664
1403715279.562143087387085,0.00414,0.00007,0.00038,0.00000,0.00000,0.00100,0.00559
1403715279.612143039703369,0.00582,0.00012,0.00057,0.00000,0.00000,0.00179,0.00830
1403715279.662142992019653,0.00444,0.00009,0.00039,0.00000,0.00004,0.00125,0.00621
1403715279.712142944335938,0.00484,0.00009,0.00041,0.00000,0.00003,0.00117,0.00654
1403715279.762142896652222,0.00439,0.00008,0.00041,0.00000,0.00004,0.00127,0.00620
1403715279.812143087387085,0.00540,0.00007,0.00034,0.00000,0.00001,0.00114,0.00697
1403715279.862143039703369,0.00424,0.00008,0.00039,0.00000,0.00002,0.00120,0.00593
1403715279.912142992019653,0.00422,0.00010,0.00049,0.00000,0.00014,0.00138,0.00635
1403715279.962142944335938,0.00601,0.00014,0.00046,0.00000,0.00008,0.00237,0.00905
1403715280.012142896652222,0.00409,0.00008,0.00031,0.00000,0.00000,0.00095,0.00543
1403715280.062143087387085,0.00615,0.00019,0.00075,0.00000,0.00007,0.00156,0.00871
1403715280.112143039703369,0.00424,0.00010,0.00111,0.00000,0.00000,0.00270,0.00816
1403715280.162142992019653,0.00414,0.00008,0.00032,0.00000,0.00002,0.00117,0.00573
1403715280.212142944335938,0.00380,0.00007,0.00030,0.00000,0.00002,0.00089,0.00508
1403715280.263732433319092,0.00391,0.00007,0.00029,0.00000,0.00023,0.00108,0.00558
1403715280.314633846282959,0.00419,0.00012,0.00045,0.00006,0.00039,0.00201,0.00723
1403715280.364007234573364,0.00496,0.00009,0.00049,0.00008,0.00040,0.00160,0.00763
1403715280.413379669189453,0.00613,0.00015,0.00089,0.00010,0.00030,0.00177,0.00934
1403715280.462700128555298,0.00533,0.00010,0.00069,0.00006,0.00000,0.00131,0.00750
1403715280.512598276138306,0.00489,0.00010,0.00078,0.00006,0.00068,0.00137,0.00788
1403715280.562674283981323,0.00464,0.00015,0.00194,0.00018,0.00092,0.00112,0.00896
1403715280.612786769866943,0.00595,0.00012,0.00078,0.00012,0.00000,0.00186,0.00884
1403715280.662966489791870,0.00436,0.00010,0.00086,0.00010,0.00036,0.00129,0.00708
1403715280.712922334671021,0.00535,0.00009,0.00102,0.00011,0.00021,0.00176,0.00856
1403715280.763006448745728,0.00434,0.00010,0.00084,0.00011,0.00020,0.00125,0.00683
1403715280.813075780868530,0.00422,0.00009,0.00076,0.00011,0.00000,0.00133,0.00651
1403715280.863020658493042,0.00489,0.00012,0.00142,0.00014,0.00054,0.00171,0.00881
1403715280.912979602813721,0.00511,0.00011,0.00107,0.00010,0.00000,0.00128,0.00768
1403715280.962762832641602,0.00429,0.00007,0.00063,0.00006,0.00018,0.00105,0.00629
1403715281.012536525726318,0.00426,0.00009,0.00074,0.00008,0.00020,0.00137,0.00673
1403715281.062337398529053,0.00774,0.00010,0.00053,0.00008,0.00036,0.00135,0.01017
1403715281.112144470214844,0.00436,0.00008,0.00061,0.00009,0.00000,0.00124,0.00638
1403715281.162082910537720,0.00454,0.00007,0.00056,0.00008,0.00035,0.00112,0.00673
1403715281.211993217468262,0.00449,0.00010,0.00139,0.00012,0.00021,0.00161,0.00791
1403715281.262309551239014,0.00545,0.00010,0.00058,0.00015,0.00021,0.00127,0.00776
1403715281.312558889389038,0.00526,0.00009,0.00067,0.00014,0.00019,0.00129,0.00764
1403715281.362510442733765,0.00469,0.00007,0.00034,0.00014,0.00053,0.00110,0.00688
1403715281.412601470947266,0.00470,0.00012,0.00093,0.00016,0.00022,0.00176,0.00789
1403715281.462556838989258,0.00465,0.00009,0.00085,0.00012,0.00090,0.00160,0.00821
