# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.934057950973511,0.00517,0.00009,0.00046,0.00000,0.00000,0.00172,0.00744
1403715893.984057903289795,0.00544,0.00011,0.00080,0.00000,0.00002,0.00149,0.00785
1403715894.034058094024658,0.00575,0.00007,0.00051,0.00000,0.00000,0.00103,0.00736
1403715894.084058046340942,0.00442,0.00008,0.00047,0.00000,0.00000,0.00122,0.00619
1403715894.134057998657227,0.00620,0.00013,0.00083,0.00000,0.00000,0.00158,0.00875
1403715894.184889554977417,0.00523,0.00022,0.00154,0.00000,0.00000,0.00188,0.00887
1403715894.234889507293701,0.00448,0.00011,0.00078,0.00000,0.00000,0.00093,0.00631
1403715894.285077571868896,0.00439,0.00014,0.00093,0.00000,0.00000,0.00164,0.00710
1403715894.333324432373047,0.00577,0.00012,0.00105,0.00000,0.00000,0.00274,0.00969
1403715894.384268999099731,0.00527,0.00011,0.00098,0.00000,0.00064,0.00141,0.00841
1403715894.433653831481934,0.00682,0.00016,0.00110,0.00004,0.00018,0.00118,0.00947
1403715894.483308792114258,0.00657,0.00011,0.00123,0.00006,0.00000,0.00193,0.00991
1403715894.532679557800293,0.00487,0.00009,0.00117,0.00004,0.00067,0.00196,0.00879
1403715894.582647800445557,0.00460,0.00010,0.00106,0.00007,0.00101,0.00122,0.00806
1403715894.632697343826294,0.00515,0.00016,0.00153,0.00014,0.00000,0.00207,0.00905
1403715894.682594537734985,0.00528,0.00012,0.00122,0.00021,0.00035,0.00338,0.01057
1403715894.732488632202148,0.00482,0.00009,0.00101,0.00011,0.00022,0.00143,0.00767
1403715894.782376289367676,0.00450,0.00013,0.00137,0.00013,0.00000,0.00287,0.00900
1403715894.832379579544067,0.00501,0.00011,0.00105,0.00011,0.00046,0.00229,0.00904
1403715894.882311820983887,0.00643,0.00011,0.00114,0.00010,0.00053,0.00188,0.01019
1403715894.932322263717651,0.00414,0.00009,0.00085,0.00012,0.00000,0.00205,0.00724
1403715894.982379436492920,0.00456,0.00014,0.00124,0.00009,0.00020,0.00180,0.00802
1403715895.032438278198242,0.00751,0.00013,0.00112,0.00007,0.00000,0.00179,0.01062
1403715895.082459211349487,0.00600,0.00024,0.00126,0.00007,0.00020,0.00214,0.00990
1403715895.132524967193604,0.00509,0.00016,0.00141,0.00009,0.00041,0.00235,0.00950
1403715895.182574272155762,0.00448,0.00011,0.00082,0.00008,0.00043,0.00187,0.00779
1403715895.232630491256714,0.00505,0.00010,0.00063,0.00009,0.00021,0.00132,0.00740
1403715895.282733917236328,0.00440,0.00013,0.00115,0.00009,0.00020,0.00245,0.00843
1403715895.332793712615967,0.00503,0.00014,0.00105,0.00009,0.00019,0.00214,0.00864
1403715895.382829666137695,0.00587,0.00009,0.00071,0.00006,0.00023,0.00171,0.00866
1403715895.432901620864868,0.00451,0.00008,0.00078,0.00006,0.00038,0.00132,0.00714
1403715895.482916593551636,0.00462,0.00016,0.00107,0.00008,0.00000,0.00228,0.00821
1403715895.532913446426392,0.00917,0.00010,0.00101,0.00007,0.00022,0.00189,0.01245
1403715895.582905769348145,0.00493,0.00008,0.00069,0.00009,0.00020,0.00131,0.00730
1403715895.632918357849121,0.00475,0.00010,0.00117,0.00011,0.00000,0.00200,0.00813
1403715895.682943820953369,0.00493,0.00010,0.00089,0.00006,0.00021,0.00322,0.00940
1403715895.732960939407349,0.00576,0.00011,0.00087,0.00005,0.00018,0.00172,0.00869
1403715895.782973766326904,0.00454,0.00009,0.00045,0.00008,0.00059,0.00159,0.00734
1403715895.832987546920776,0.00500,0.00014,0.00088,0.00007,0.00000,0.00175,0.00784
1403715895.882992267608643,0.00738,0.00011,0.00148,0.00008,0.00023,0.00269,0.01197
1403715895.933008193969727,0.00548,0.00008,0.00067,0.00005,0.00018,0.00130,0.00777
1403715895.983004570007324,0.00560,0.00012,0.00119,0.00006,0.00000,0.00201,0.00898
1403715896.032975435256958,0.00667,0.00015,0.00090,0.00008,0.00031,0.00312,0.01124
1403715896.082978963851929,0.00698,0.00015,0.00135,0.00006,0.00020,0.00222,0.01096
1403715896.132978916168213,0.00516,0.00011,0.00082,0.00004,0.00000,0.00239,0.00853
1403715896.183010101318359,0.00602,0.00008,0.00062,0.00004,0.00020,0.00197,0.00894
1403715896.233026504516602,0.00547,0.00009,0.00079,0.00005,0.00000,0.00131,0.00772
1403715896.283008098602295,0.00476,0.00014,0.00121,0.00004,0.00000,0.00268,0.00884
1403715896.332983732223511,0.00484,0.00010,0.00088,0.00003,0.00000,0.00130,0.00716
1403715896.383008480072021,0.00486,0.00009,0.00064,0.00003,0.00000,0.00171,0.00733
1403715896.433045148849487,0.00477,0.00008,0.00057,0.00000,0.00000,0.00111,0.00652
1403715896.483297348022461,0.00499,0.00013,0.00107,0.00000,0.00037,0.00257,0.00913
1403715896.533361196517944,0.00559,0.00015,0.00106,0.00007,0.00000,0.00196,0.00883
1403715896.583466768264771,0.00519,0.00011,0.00078,0.00002,0.00000,0.00167,0.00777
1403715896.633563995361328,0.00517,0.00010,0.00077,0.00002,0.00000,0.00153,0.00758
1403715896.683774709701538,0.00590,0.00010,0.00055,0.00000,0.00023,0.00225,0.00902
1403715896.733774662017822,0.00544,0.00008,0.00052,0.00003,0.00000,0.00219,0.00825
1403715896.783774852752686,0.00525,0.00010,0.00048,0.00000,0.00000,0.00135,0.00718
1403715896.834012269973755,0.00496,0.00010,0.00075,0.00000,0.00020,0.00237,0.00838
1403715896.884027004241943,0.00803,0.00012,0.00102,0.00012,0.00002,0.00180,0.01111
1403715896.933979272842407,0.00523,0.00012,0.00074,0.00004,0.00024,0.00135,0.00772
1403715896.983976840972900,0.00482,0.00008,0.00051,0.00006,0.00024,0.00174,0.00746
1403715897.033995151519775,0.00559,0.00011,0.00086,0.00005,0.00000,0.00321,0.00983
1403715897.084068298339844,0.00503,0.00008,0.00065,0.00004,0.00000,0.00206,0.00787
1403715897.134186267852783,0.00568,0.00008,0.00061,0.00004,0.00018,0.00114,0.00773
1403715897.184259653091431,0.00469,0.00013,0.00141,0.00005,0.00000,0.00286,0.00914
