# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.153061389923096,0.00257,0.00006,0.00031,0.00000,0.00000,0.00115,0.00409
1413393890.206833839416504,0.00248,0.00006,0.00063,0.00000,0.00055,0.00094,0.00467
1413393890.256915807723999,0.00245,0.00007,0.00065,0.00006,0.00000,0.00053,0.00375
1413393890.307067871093750,0.00236,0.00007,0.00046,0.00006,0.00000,0.00089,0.00384
1413393890.357275962829590,0.00246,0.00009,0.00065,0.00008,0.00000,0.00072,0.00400
1413393890.407338380813599,0.00245,0.00008,0.00054,0.00006,0.00000,0.00079,0.00393
1413393890.457012414932251,0.00226,0.00007,0.00054,0.00007,0.00000,0.00057,0.00352
1413393890.506511926651001,0.00240,0.00010,0.00057,0.00007,0.00000,0.00107,0.00420
1413393890.556387901306152,0.00242,0.00009,0.00044,0.00007,0.00000,0.00070,0.00373
1413393890.606400251388550,0.00235,0.00008,0.00044,0.00007,0.00019,0.00084,0.00397
1413393890.656497240066528,0.00234,0.00006,0.00029,0.00007,0.00020,0.00076,0.00374
1413393890.706578254699707,0.00232,0.00010,0.00044,0.00010,0.00038,0.00085,0.00419
1413393890.756815910339355,0.00221,0.00009,0.00026,0.00014,0.00038,0.00077,0.00385
1413393890.807019233703613,0.00231,0.00007,0.00027,0.00015,0.00056,0.00082,0.00419
1413393890.857260942459106,0.00235,0.00007,0.00026,0.00017,0.00022,0.00085,0.00392
1413393890.907209873199463,0.00249,0.00010,0.00017,0.00021,0.00022,0.00090,0.00409
1413393890.957120418548584,0.00251,0.00009,0.00014,0.00020,0.00023,0.00081,0.00398
1413393891.006926059722900,0.00241,0.00008,0.00012,0.00019,0.00059,0.00077,0.00415
1413393891.056869029998779,0.00246,0.00009,0.00010,0.00025,0.00021,0.00098,0.00409
1413393891.106711387634277,0.00267,0.00009,0.00017,0.00022,0.00021,0.00083,0.00419
1413393891.156581401824951,0.00246,0.00007,0.00018,0.00020,0.00080,0.00056,0.00428
1413393891.206536054611206,0.00269,0.00008,0.00036,0.00031,0.00026,0.00099,0.00468
1413393891.256462097167969,0.00285,0.00010,0.00062,0.00030,0.00044,0.00089,0.00521
1413393891.306581735610962,0.00274,0.00009,0.00069,0.00014,0.00001,0.00071,0.00437
1413393891.356744766235352,0.00265,0.00006,0.00045,0.00003,0.00001,0.00058,0.00379
1413393891.406863927841187,0.00233,0.00008,0.00017,0.00003,0.00000,0.00080,0.00341
1413393891.456902980804443,0.00205,0.00008,0.00015,0.00004,0.00000,0.00102,0.00335
1413393891.506914138793945,0.00370,0.00009,0.00019,0.00002,0.00000,0.00059,0.00459
